substation,category,subcategory,units,per_unit_peak_kw,design_peak_kw,share_of_design_peak_pct
Dhanmondi,residential,lower_middle,4788,0.35,1675.8,1.4
Dhanmondi,residential,middle,17157,0.95,16299.1,13.6
Dhanmondi,residential,upper_middle,17955,2.6,46683.0,38.96
Dhanmondi,commercial,commercial_shop,6290,3.0,18870.0,15.75
Dhanmondi,commercial,office_smb,790,8.0,6320.0,5.27
Dhanmondi,educational,school,466,18.0,8388.0,7.0
Dhanmondi,health,hospital::Labaid Specialized Hospital,1,2000.0,2000.0,1.67
Dhanmondi,health,hospital::Labaid Cardiac Hospital,1,900.0,900.0,0.75
Dhanmondi,health,hospital::Popular Medical College Hospital,1,1600.0,1600.0,1.34
Dhanmondi,health,hospital::Ibn Sina Hospital Dhanmondi,1,1300.0,1300.0,1.08
Dhanmondi,health,hospital::Anwer Khan Modern Hospital,1,1200.0,1200.0,1.0
Dhanmondi,health,hospital::Bangladesh Medical College Hosp.,1,1100.0,1100.0,0.92
Dhanmondi,health,hospital::Central Hospital Dhanmondi,1,900.0,900.0,0.75
Dhanmondi,health,hospital::Gonoshasthaya Nagar Hospital,1,700.0,700.0,0.58
Dhanmondi,health,hospital::City Hospital Ltd,1,700.0,700.0,0.58
Dhanmondi,health,hospital::Medinova Medical Services,1,600.0,600.0,0.5
Dhanmondi,health,hospital::Renaissance Hospital,1,500.0,500.0,0.42
Dhanmondi,health,hospital::Comfort Diagnostic Centre,1,500.0,500.0,0.42
Dhanmondi,health,clinic_small,30,80.0,2400.0,2.0
Dhanmondi,industrial,workshop,100,12.0,1200.0,1.0
Dhanmondi,infrastructure,wasa_pump,18,150.0,2700.0,2.25
Dhanmondi,infrastructure,streetlight_block,175,12.0,2100.0,1.75
Dhanmondi,infrastructure,mosque,120,10.0,1200.0,1.0
