substation,category,subcategory,units_initial,scalable,per_unit_mean_daily_peak_kw,units_2024,k_2024,units_2025,k_2025,units_2026,k_2026
Dhanmondi,residential,lower_middle,4788,True,0.35,6351,1.3263,6489,1.3553,4889,1.021
Dhanmondi,residential,middle,17157,True,0.95,22756,1.3263,23254,1.3553,17517,1.021
Dhanmondi,residential,upper_middle,17955,True,2.6,23815,1.3263,24335,1.3553,18332,1.021
Dhanmondi,commercial,commercial_shop,6290,True,3.0,8343,1.3263,8525,1.3553,6422,1.021
Dhanmondi,commercial,office_smb,790,True,8.0,1048,1.3263,1071,1.3553,807,1.021
Dhanmondi,educational,school,466,True,18.0,618,1.3263,632,1.3553,476,1.021
Dhanmondi,health,hospital::Labaid Specialized Hospital,1,False,2000.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Labaid Cardiac Hospital,1,False,900.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Popular Medical College Hospital,1,False,1600.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Ibn Sina Hospital Dhanmondi,1,False,1300.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Anwer Khan Modern Hospital,1,False,1200.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Bangladesh Medical College Hosp.,1,False,1100.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Central Hospital Dhanmondi,1,False,900.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Gonoshasthaya Nagar Hospital,1,False,700.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::City Hospital Ltd,1,False,700.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Medinova Medical Services,1,False,600.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Renaissance Hospital,1,False,500.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,hospital::Comfort Diagnostic Centre,1,False,500.0,1,1.0,1,1.0,1,1.0
Dhanmondi,health,clinic_small,30,True,80.0,40,1.3263,41,1.3553,31,1.021
Dhanmondi,industrial,workshop,100,True,12.0,133,1.3263,136,1.3553,102,1.021
Dhanmondi,infrastructure,wasa_pump,18,True,150.0,24,1.3263,24,1.3553,18,1.021
Dhanmondi,infrastructure,streetlight_block,175,True,12.0,232,1.3263,237,1.3553,179,1.021
Dhanmondi,infrastructure,mosque,120,True,10.0,159,1.3263,163,1.3553,123,1.021
