substation,category,subcategory,units_initial,scalable,per_unit_mean_daily_peak_kw,units_2024,k_2024,units_2025,k_2025,units_2026,k_2026
Kalyanpur,residential,lower_middle,22610,True,0.35,28682,1.2685,26948,1.1918,29426,1.3015
Kalyanpur,residential,middle,32300,True,0.95,40974,1.2685,38497,1.1918,42037,1.3015
Kalyanpur,residential,upper_middle,9690,True,2.6,12292,1.2685,11549,1.1918,12611,1.3015
Kalyanpur,commercial,commercial_shop,4110,True,3.0,5214,1.2685,4899,1.1918,5349,1.3015
Kalyanpur,commercial,office_smb,510,True,8.0,647,1.2685,608,1.1918,664,1.3015
Kalyanpur,educational,school,215,True,18.0,273,1.2685,256,1.1918,280,1.3015
Kalyanpur,health,clinic_small,24,True,80.0,30,1.2685,29,1.1918,31,1.3015
Kalyanpur,industrial,workshop,480,True,12.0,609,1.2685,572,1.1918,625,1.3015
Kalyanpur,infrastructure,wasa_pump,14,True,150.0,18,1.2685,17,1.1918,18,1.3015
Kalyanpur,infrastructure,streetlight_block,141,True,12.0,179,1.2685,168,1.1918,184,1.3015
Kalyanpur,infrastructure,mosque,97,True,10.0,123,1.2685,116,1.1918,126,1.3015
