household_id,substation,tier,household_size,monthly_income_bdt,appliance_name,unit_index,category,rated_power_w,actual_power_w,duty_cycle,quantity,meter_id,appliance_id
DHH0001,Dhanmondi,lower_middle,4,22465,ceiling_fan,1,Curtailable,75,83.2,0.85,2,DSM0001,DSM0001_ceiling_fan_1
DHH0001,Dhanmondi,lower_middle,4,22465,refrigerator,1,Critical,150,201.7,0.42,1,DSM0001,DSM0001_refrigerator_1
DHH0001,Dhanmondi,lower_middle,4,22465,led_light,1,Critical,10,11.2,1.0,4,DSM0001,DSM0001_led_light_1
DHH0001,Dhanmondi,lower_middle,4,22465,electric_kettle,1,Schedulable,1800,1995.9,0.9,1,DSM0001,DSM0001_electric_kettle_1
DHH0001,Dhanmondi,lower_middle,4,22465,electric_iron,1,Schedulable,1000,932.3,0.8,1,DSM0001,DSM0001_electric_iron_1
DHH0001,Dhanmondi,lower_middle,4,22465,router_charger_standby,1,Critical,18,14.2,1.0,1,DSM0001,DSM0001_router_charger_standby_1
DHH0002,Dhanmondi,lower_middle,3,15176,ceiling_fan,1,Curtailable,75,72.9,0.85,2,DSM0002,DSM0002_ceiling_fan_1
DHH0002,Dhanmondi,lower_middle,3,15176,table_fan,1,Curtailable,45,43.5,0.8,1,DSM0002,DSM0002_table_fan_1
DHH0002,Dhanmondi,lower_middle,3,15176,deep_freezer,1,Critical,180,158.9,0.5,1,DSM0002,DSM0002_deep_freezer_1
DHH0002,Dhanmondi,lower_middle,3,15176,led_light,1,Critical,10,7.3,1.0,5,DSM0002,DSM0002_led_light_1
DHH0002,Dhanmondi,lower_middle,3,15176,tube_light,1,Critical,36,38.3,1.0,2,DSM0002,DSM0002_tube_light_1
DHH0002,Dhanmondi,lower_middle,3,15176,tv_led,1,Curtailable,60,72.2,1.0,1,DSM0002,DSM0002_tv_led_1
DHH0002,Dhanmondi,lower_middle,3,15176,router_charger_standby,1,Critical,18,13.3,1.0,1,DSM0002,DSM0002_router_charger_standby_1
DHH0003,Dhanmondi,lower_middle,2,17492,ceiling_fan,1,Curtailable,75,79.7,0.85,2,DSM0003,DSM0003_ceiling_fan_1
DHH0003,Dhanmondi,lower_middle,2,17492,table_fan,1,Curtailable,45,51.5,0.8,1,DSM0003,DSM0003_table_fan_1
DHH0003,Dhanmondi,lower_middle,2,17492,refrigerator,1,Critical,150,110.8,0.42,1,DSM0003,DSM0003_refrigerator_1
DHH0003,Dhanmondi,lower_middle,2,17492,led_light,1,Critical,10,10.3,1.0,4,DSM0003,DSM0003_led_light_1
DHH0003,Dhanmondi,lower_middle,2,17492,tv_led,1,Curtailable,60,80.9,1.0,1,DSM0003,DSM0003_tv_led_1
DHH0003,Dhanmondi,lower_middle,2,17492,rice_cooker,1,Schedulable,650,643.0,0.6,1,DSM0003,DSM0003_rice_cooker_1
DHH0003,Dhanmondi,lower_middle,2,17492,blender_mixer,1,Schedulable,400,491.3,0.9,1,DSM0003,DSM0003_blender_mixer_1
DHH0003,Dhanmondi,lower_middle,2,17492,electric_iron,1,Schedulable,1000,1058.4,0.8,1,DSM0003,DSM0003_electric_iron_1
DHH0004,Dhanmondi,lower_middle,5,21653,ceiling_fan,1,Curtailable,75,60.4,0.85,2,DSM0004,DSM0004_ceiling_fan_1
DHH0004,Dhanmondi,lower_middle,5,21653,refrigerator,1,Critical,150,157.6,0.42,1,DSM0004,DSM0004_refrigerator_1
DHH0004,Dhanmondi,lower_middle,5,21653,deep_freezer,1,Critical,180,194.3,0.5,1,DSM0004,DSM0004_deep_freezer_1
DHH0004,Dhanmondi,lower_middle,5,21653,led_light,1,Critical,10,12.2,1.0,5,DSM0004,DSM0004_led_light_1
