household_id,substation,tier,household_size,monthly_income_bdt,appliance_name,unit_index,category,rated_power_w,actual_power_w,duty_cycle,quantity,meter_id,appliance_id
KHH0001,Kalyanpur,lower_middle,4,26181,ceiling_fan,1,Curtailable,75,55.1,0.85,1,KSM0001,KSM0001_ceiling_fan_1
KHH0001,Kalyanpur,lower_middle,4,26181,table_fan,1,Curtailable,45,47.7,0.8,1,KSM0001,KSM0001_table_fan_1
KHH0001,Kalyanpur,lower_middle,4,26181,refrigerator,1,Critical,150,188.7,0.42,1,KSM0001,KSM0001_refrigerator_1
KHH0001,Kalyanpur,lower_middle,4,26181,led_light,1,Critical,10,12.9,1.0,4,KSM0001,KSM0001_led_light_1
KHH0001,Kalyanpur,lower_middle,4,26181,electric_kettle,1,Schedulable,1800,1896.3,0.9,1,KSM0001,KSM0001_electric_kettle_1
KHH0001,Kalyanpur,lower_middle,4,26181,blender_mixer,1,Schedulable,400,452.5,0.9,1,KSM0001,KSM0001_blender_mixer_1
KHH0001,Kalyanpur,lower_middle,4,26181,computer_laptop,1,Curtailable,80,72.8,1.0,1,KSM0001,KSM0001_computer_laptop_1
KHH0001,Kalyanpur,lower_middle,4,26181,router_charger_standby,1,Critical,18,18.2,1.0,1,KSM0001,KSM0001_router_charger_standby_1
KHH0001,Kalyanpur,lower_middle,4,26181,exhaust_fan,1,Curtailable,35,40.4,0.9,1,KSM0001,KSM0001_exhaust_fan_1
KHH0002,Kalyanpur,lower_middle,6,30319,ceiling_fan,1,Curtailable,75,86.2,0.85,2,KSM0002,KSM0002_ceiling_fan_1
KHH0002,Kalyanpur,lower_middle,6,30319,table_fan,1,Curtailable,45,45.1,0.8,1,KSM0002,KSM0002_table_fan_1
KHH0002,Kalyanpur,lower_middle,6,30319,refrigerator,1,Critical,150,156.5,0.42,1,KSM0002,KSM0002_refrigerator_1
KHH0002,Kalyanpur,lower_middle,6,30319,led_light,1,Critical,10,9.4,1.0,4,KSM0002,KSM0002_led_light_1
KHH0002,Kalyanpur,lower_middle,6,30319,tv_led,1,Curtailable,60,57.9,1.0,1,KSM0002,KSM0002_tv_led_1
KHH0002,Kalyanpur,lower_middle,6,30319,computer_laptop,1,Curtailable,80,69.8,1.0,1,KSM0002,KSM0002_computer_laptop_1
KHH0002,Kalyanpur,lower_middle,6,30319,router_charger_standby,1,Critical,18,22.0,1.0,1,KSM0002,KSM0002_router_charger_standby_1
