date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2019-11-01,135.0,118.099,118.099,142.796,123.619,149.609,127.351,154.317,125.921,153.821,122.744,151.445,117.948,146.667,113.914,142.926,116.061,145.443,121.98,151.362,125.217,154.352,124.022,152.799,121.18,149.836,117.398,145.832,112.732,141.139,114.837,143.219
2019-11-02,143.0,125.537,125.537,150.233,126.994,152.985,124.656,151.621,121.897,149.796,118.688,147.39,113.507,142.226,115.928,144.94,123.347,152.729,125.084,154.466,122.536,151.672,120.229,149.006,117.075,145.731,112.636,141.07,114.588,142.995,122.26,150.642
2019-11-03,150.0,126.242,126.242,150.939,125.544,151.535,121.896,148.862,120.016,147.915,118.004,146.705,115.476,144.195,118.781,147.793,124.276,153.658,123.502,152.884,120.414,149.549,118.542,147.319,116.265,144.921,114.173,142.608,117.853,146.26,123.57,151.952
2019-11-04,129.0,130.059,130.059,154.755,126.752,152.742,121.945,148.91,121.393,149.293,121.396,150.098,121.236,149.955,124.572,153.584,127.857,157.239,124.244,153.626,120.563,149.698,119.823,148.6,119.417,148.073,119.434,147.868,123.766,152.173,127.243,155.625
2019-11-05,148.0,126.041,126.041,150.737,121.053,147.043,116.972,143.938,118.385,146.285,121.021,149.723,122.769,151.488,125.391,154.403,126.002,155.385,120.55,149.932,117.051,146.187,118.146,146.923,120.33,148.986,122.112,150.546,125.326,153.733,126.133,154.515
2019-11-06,140.0,122.034,122.034,146.73,118.92,144.91,117.55,144.516,119.448,147.348,122.247,150.949,122.988,151.707,122.817,151.829,122.269,151.651,118.943,148.325,117.51,146.645,119.252,148.029,121.875,150.531,122.974,151.409,122.725,151.132,122.328,150.71
2019-11-07,106.0,108.99,108.99,133.686,117.248,143.238,126.504,153.47,127.606,155.505,125.282,153.983,125.854,154.573,116.776,145.788,108.142,137.524,116.333,145.715,125.726,154.861,126.355,155.132,123.996,152.652,124.836,153.27,116.135,144.542,107.719,136.101
2019-11-08,118.0,113.679,113.679,138.375,118.731,144.722,122.295,149.261,121.19,149.089,118.415,147.117,114.288,143.007,110.294,139.306,111.711,141.093,117.128,146.509,120.465,149.6,119.54,148.317,117.058,145.715,113.816,142.251,109.317,137.724,110.787,139.169
2019-11-09,84.0,116.36,116.36,141.056,117.057,143.048,114.669,141.635,112.762,140.661,110.414,139.116,106.693,135.412,109.043,138.055,114.873,144.255,115.606,144.988,113.416,142.551,111.76,140.537,109.293,137.949,106.041,134.476,108.237,136.644,114.368,142.75
2019-11-10,129.0,104.651,104.651,129.348,103.602,129.593,102.344,129.31,102.514,130.414,102.84,131.541,101.618,130.337,102.741,131.753,105.715,135.097,104.393,133.775,103.014,132.15,103.014,131.791,103.077,131.733,102.455,130.889,103.571,131.978,106.296,134.678
