date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2019-11-01,90.0,86.664,86.664,99.916,86.913,101.339,87.256,102.438,87.585,103.25,87.559,103.493,87.594,103.804,87.62,104.08,87.878,104.492,87.967,104.729,87.831,104.83,87.931,104.787,87.827,104.702,87.594,104.464,87.537,104.478,87.4,104.591
2019-11-02,102.0,85.679,85.679,98.931,85.895,100.321,86.205,101.387,86.494,102.16,86.441,102.375,86.494,102.704,86.517,102.976,86.729,103.343,86.81,103.571,86.717,103.716,86.764,103.621,86.675,103.551,86.472,103.342,86.423,103.365,86.311,103.502
2019-11-03,102.0,88.054,88.054,101.305,88.113,102.539,88.291,103.473,88.477,104.143,88.333,104.267,88.435,104.645,88.43,104.89,88.483,105.098,88.517,105.278,88.517,105.517,88.436,105.293,88.336,105.212,88.221,105.091,88.175,105.116,88.114,105.305
2019-11-04,102.0,90.734,90.734,103.985,90.64,105.066,90.732,105.914,90.866,106.531,90.607,106.541,90.77,106.979,90.73,107.19,90.669,107.283,90.665,107.426,90.714,107.713,90.535,107.391,90.402,107.277,90.344,107.214,90.276,107.218,90.248,107.438
2019-11-05,105.0,92.061,92.061,105.312,91.888,106.314,91.973,107.155,92.102,107.768,91.779,107.713,91.969,108.179,91.908,108.367,91.799,108.414,91.785,108.547,91.843,108.842,91.627,108.483,91.469,108.345,91.429,108.299,91.332,108.273,91.318,108.508
2019-11-06,99.0,93.073,93.073,106.325,92.731,107.157,92.747,107.929,92.806,108.472,92.362,108.296,92.599,108.809,92.497,108.956,92.233,108.847,92.203,108.965,92.338,109.337,91.995,108.852,91.815,108.691,91.853,108.723,91.727,108.669,91.761,108.952
2019-11-07,93.0,93.223,93.223,106.474,92.769,107.195,92.711,107.893,92.713,108.379,92.201,108.135,92.466,108.675,92.339,108.798,91.939,108.554,91.921,108.683,92.12,109.119,91.682,108.538,91.488,108.364,91.6,108.47,91.476,108.418,91.541,108.731
2019-11-08,90.0,90.444,90.444,103.696,90.018,104.444,89.962,105.144,89.968,105.634,89.466,105.4,89.715,105.924,89.59,106.049,89.183,105.797,89.216,105.977,89.408,106.407,88.977,105.833,88.794,105.669,88.921,105.792,88.814,105.756,88.862,106.052
2019-11-09,81.0,86.036,86.036,99.287,85.691,100.117,85.652,100.834,85.673,101.338,85.218,101.152,85.428,101.637,85.318,101.777,84.934,101.548,85.02,101.781,85.199,102.198,84.813,101.669,84.653,101.529,84.798,101.668,84.718,101.659,84.722,101.913
2019-11-10,93.0,80.843,80.843,94.095,80.774,95.2,80.852,96.034,80.95,96.616,80.73,96.664,80.811,97.02,80.774,97.233,80.581,97.196,80.719,97.481,80.792,97.791,80.635,97.492,80.54,97.416,80.64,97.51,80.61,97.552,80.539,97.73
