substation,horizon_days,r2,rmse,mae,sigma_k_mw,z_beta_sigma_mw
Dhanmondi,1,0.6661290839077515,16.812934635948178,12.922168166630101,19.2706,24.6963
Dhanmondi,2,0.6210471441894732,17.908425490320703,13.954428625439126,20.2805,25.9906
Dhanmondi,3,0.5954591482421374,18.492374666395033,14.179978206179603,21.0415,26.9658
Dhanmondi,4,0.5223094481802455,20.084524697400457,15.572789943251395,21.77,27.8994
Dhanmondi,5,0.4874389165464511,20.80032152008764,16.089898201404303,22.396,28.7016
Dhanmondi,6,0.5098589363889465,20.343076826859637,15.262654458461496,22.4095,28.719
Dhanmondi,7,0.48856673655533256,20.7744996764255,15.60182129614701,22.6381,29.0119
Dhanmondi,8,0.4834443142690765,20.87594842726086,15.554761394950003,22.9271,29.3822
Dhanmondi,9,0.4527291431472731,21.478026856553925,16.366842829717204,22.9268,29.3818
Dhanmondi,10,0.4660909515588354,21.20481245498161,16.12686210350438,22.7344,29.1353
Dhanmondi,11,0.4298985962833993,21.89074836757518,16.838894937027725,22.4548,28.777
Dhanmondi,12,0.4249893449345722,21.976060522612674,17.010212948828922,22.3605,28.6561
Dhanmondi,13,0.4617433523241705,21.262679247902646,16.048938091449568,22.1875,28.4344
Dhanmondi,14,0.4500530680583431,21.479108396351354,16.25150515463947,22.1661,28.407
Dhanmondi,15,0.44315947763090313,21.60438951416106,16.27005523247594,22.1468,28.3822
