timestamp,household_id,substation,tier,tou_period,tou_multiplier,tou_rate_bdt_kwh,predicted_load_w,optimised_load_w,power_deviation_w,power_deviation_ratio,price_multiplier_norm,appliance_alpha,molp_alpha,action_taken,is_stress_day,energy_shifted_kwh,energy_curtailed_kwh,substation_pred_peak_mw
2024-01-01,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,196.8,137.1,59.8,0.3037,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.035,96.95
2024-01-02,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,157.2,130.3,26.9,0.1714,0.5,0.4,0.8,SHIFT,0,0.162,0.0,93.9
2024-01-03,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,162.0,132.1,29.9,0.1846,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.162,0.018,91.49
2024-01-04,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,209.4,128.6,80.8,0.3859,0.5,0.4,0.8,SHIFT,0,0.485,0.0,86.21
2024-01-05,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,188.4,131.6,56.8,0.3016,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,96.11
2024-01-06,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,137.0,134.0,2.9,0.0215,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.0,0.018,99.04
2024-01-07,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,183.7,129.8,53.9,0.2933,0.5,0.4,0.8,SHIFT,0,0.323,0.0,92.93
2024-01-08,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,158.2,131.3,26.9,0.1703,0.5,0.4,0.8,SHIFT,0,0.162,0.0,91.71
2024-01-09,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,209.7,128.9,80.8,0.3855,0.5,0.4,0.8,SHIFT,0,0.485,0.0,90.89
2024-01-10,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,156.1,129.2,26.9,0.1726,0.5,0.4,0.8,SHIFT,0,0.162,0.0,95.74
2024-01-11,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,185.5,128.7,56.8,0.3064,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,90.77
2024-01-12,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,151.4,124.5,26.9,0.1779,0.5,0.4,0.8,SHIFT,0,0.162,0.0,102.4
2024-01-13,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,186.7,129.9,56.8,0.3044,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,107.32
2024-01-14,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,203.7,122.8,80.8,0.3969,0.5,0.4,0.8,SHIFT,0,0.485,0.0,99.76
2024-01-17,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,150.3,123.4,26.9,0.1793,0.5,0.4,0.8,SHIFT,0,0.162,0.0,96.33
2024-01-18,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,218.2,131.4,86.7,0.3976,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.485,0.035,87.73
2024-01-20,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,181.8,127.9,53.9,0.2964,0.5,0.4,0.8,SHIFT,0,0.323,0.0,99.41
2024-01-21,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,206.4,125.6,80.8,0.3916,0.5,0.4,0.8,SHIFT,0,0.485,0.0,95.26
2024-01-22,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,175.8,121.9,53.9,0.3066,0.5,0.4,0.8,SHIFT,0,0.323,0.0,92.62
2024-01-23,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,183.4,126.6,56.8,0.3098,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,90.26
2024-01-24,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,152.1,125.1,26.9,0.1772,0.5,0.4,0.8,SHIFT,0,0.162,0.0,89.86
2024-01-25,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,206.9,126.1,80.8,0.3906,0.5,0.4,0.8,SHIFT,0,0.485,0.0,85.3
2024-01-26,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,183.0,129.1,53.9,0.2944,0.5,0.4,0.8,SHIFT,0,0.323,0.0,94.9
2024-01-27,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,193.7,133.9,59.8,0.3087,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.035,98.02
2024-01-28,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,169.6,133.8,35.8,0.2111,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.162,0.053,96.02
2024-01-29,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,186.6,129.8,56.8,0.3045,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,94.52
2024-01-30,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,189.5,132.6,56.8,0.3,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,94.05
2024-01-31,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,218.4,134.6,83.8,0.3837,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.485,0.018,93.16
2024-02-01,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,188.2,131.4,56.8,0.302,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,88.3
2024-02-02,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,187.6,130.7,56.8,0.303,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,97.79
2024-02-03,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,189.1,132.3,56.8,0.3005,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,101.2
2024-02-04,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,162.3,132.5,29.9,0.1841,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.162,0.018,99.18
2024-02-05,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,160.9,131.0,29.9,0.1858,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.162,0.018,99.73
2024-02-06,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,181.5,127.6,53.9,0.297,0.5,0.4,0.8,SHIFT,0,0.323,0.0,98.28
2024-02-07,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,187.8,130.9,56.8,0.3027,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.018,96.8
2024-02-08,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,204.9,124.1,80.8,0.3945,0.5,0.4,0.8,SHIFT,0,0.485,0.0,89.38
2024-02-10,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,192.6,132.8,59.8,0.3104,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.035,102.5
2024-02-11,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,195.5,135.7,59.8,0.3059,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.035,101.52
2024-02-12,DHH0001,Dhanmondi,lower_middle,peak,1.35,9.72,194.4,134.6,59.8,0.3075,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.323,0.035,104.08
