household_id,substation,tier,alpha,baseline_cost_bdt,optimised_cost_bdt,saving_pct,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,qoe_score
DHH0001,Dhanmondi,lower_middle,0.8,36150.0,32645.0,9.7,320.1,220.3,1521.0,95.79
DHH0002,Dhanmondi,lower_middle,0.8,28814.0,26169.0,9.18,0.0,261.5,1046.0,96.37
DHH0003,Dhanmondi,lower_middle,0.8,33186.0,27770.0,16.32,412.9,374.2,2322.0,93.0
DHH0004,Dhanmondi,lower_middle,0.8,45692.0,42294.0,7.44,352.5,197.8,1496.0,96.73
DHH0005,Dhanmondi,lower_middle,0.8,35796.0,31970.0,10.69,300.1,261.3,1645.0,95.4
DHH0006,Dhanmondi,lower_middle,0.8,35687.0,32523.0,8.86,422.9,146.5,1432.0,95.99
DHH0007,Dhanmondi,lower_middle,0.8,38702.0,35804.0,7.49,0.0,286.0,1144.0,97.04
DHH0008,Dhanmondi,lower_middle,0.8,37679.0,31164.0,17.29,719.9,362.9,2891.0,92.33
DHH0009,Dhanmondi,lower_middle,0.8,39977.0,35133.0,12.12,744.6,187.0,2237.0,94.4
DHH0010,Dhanmondi,lower_middle,0.8,38664.0,34094.0,11.82,483.1,262.7,2017.0,94.78
DHH0011,Dhanmondi,lower_middle,0.8,35274.0,31811.0,9.82,311.0,219.6,1500.0,95.75
DHH0012,Dhanmondi,lower_middle,0.8,30076.0,27112.0,9.86,0.0,293.5,1174.0,96.1
DHH0013,Dhanmondi,lower_middle,0.8,25766.0,22630.0,12.17,0.0,309.4,1238.0,95.2
DHH0014,Dhanmondi,lower_middle,0.8,35706.0,31065.0,13.0,53.2,209.0,942.0,97.36
DHH0015,Dhanmondi,middle,0.6,56628.0,49649.0,12.33,861.2,318.2,5672.0,89.98
DHH0016,Dhanmondi,middle,0.6,173511.0,144720.0,16.59,468.5,1455.6,12063.0,93.05
DHH0017,Dhanmondi,middle,0.6,62740.0,53724.0,14.37,1221.7,367.1,7457.0,88.11
DHH0018,Dhanmondi,middle,0.6,55540.0,46331.0,16.58,895.7,514.2,7183.0,87.07
DHH0019,Dhanmondi,middle,0.6,43989.0,36486.0,17.06,442.2,570.5,5763.0,86.9
DHH0020,Dhanmondi,middle,0.6,25723.0,21360.0,16.96,471.9,247.6,3621.0,85.92
DHH0021,Dhanmondi,middle,0.6,68726.0,58488.0,14.9,983.2,575.3,7960.0,88.42
DHH0022,Dhanmondi,middle,0.6,29628.0,25739.0,13.13,374.8,237.5,3162.0,89.33
DHH0023,Dhanmondi,middle,0.6,82786.0,71042.0,14.19,485.0,850.5,7894.0,90.46
DHH0024,Dhanmondi,middle,0.6,97105.0,81029.0,16.56,780.7,1116.8,10941.0,88.73
DHH0025,Dhanmondi,middle,0.6,70783.0,59518.0,15.92,862.1,716.6,8465.0,88.04
DHH0026,Dhanmondi,middle,0.6,39390.0,33759.0,14.3,297.3,438.9,4262.0,89.18
DHH0027,Dhanmondi,middle,0.6,90885.0,80879.0,11.01,370.2,740.0,6661.0,92.67
DHH0028,Dhanmondi,middle,0.6,51730.0,44328.0,14.31,553.5,478.2,5562.0,89.25
DHH0029,Dhanmondi,middle,0.6,103212.0,88842.0,13.92,921.7,914.0,10084.0,90.23
DHH0030,Dhanmondi,middle,0.6,51969.0,44460.0,14.45,596.0,471.9,5688.0,89.06
DHH0031,Dhanmondi,middle,0.6,57437.0,49077.0,14.55,407.2,625.8,6009.0,89.54
DHH0032,Dhanmondi,middle,0.6,55238.0,46957.0,14.99,793.4,466.8,6441.0,88.34
DHH0033,Dhanmondi,middle,0.6,171733.0,147617.0,14.04,1285.7,864.2,11192.0,93.48
DHH0034,Dhanmondi,middle,0.6,62777.0,57218.0,8.86,648.1,268.2,4470.0,92.88
DHH0035,Dhanmondi,middle,0.6,86870.0,73051.0,15.91,749.5,932.1,9522.0,89.04
DHH0036,Dhanmondi,middle,0.6,44767.0,39183.0,12.47,555.2,336.0,4573.0,89.79
DHH0037,Dhanmondi,middle,0.6,51467.0,44628.0,13.29,372.0,497.2,4968.0,90.35
DHH0038,Dhanmondi,middle,0.6,93387.0,80573.0,13.72,741.7,846.5,8893.0,90.48
DHH0039,Dhanmondi,middle,0.6,88251.0,73038.0,17.24,1042.4,941.7,10762.0,87.81
DHH0040,Dhanmondi,middle,0.6,81568.0,67962.0,16.68,982.6,820.5,9673.0,88.14
DHH0041,Dhanmondi,middle,0.6,66265.0,55734.0,15.89,598.7,752.0,7659.0,88.44
DHH0042,Dhanmondi,middle,0.6,93870.0,80893.0,13.82,1059.6,741.5,9429.0,89.96
DHH0043,Dhanmondi,middle,0.6,54655.0,48433.0,11.38,398.7,427.8,4589.0,91.6
DHH0044,Dhanmondi,middle,0.6,82769.0,69548.0,15.97,1044.7,767.3,9550.0,88.46
DHH0045,Dhanmondi,middle,0.6,52045.0,44234.0,15.01,1155.5,280.5,6586.0,87.35
DHH0046,Dhanmondi,middle,0.6,80510.0,66725.0,17.12,538.9,1014.0,9253.0,88.51
DHH0047,Dhanmondi,middle,0.6,78329.0,66231.0,15.45,692.7,802.2,8387.0,89.29
DHH0048,Dhanmondi,middle,0.6,84175.0,74542.0,11.44,270.3,746.8,6309.0,92.51
DHH0049,Dhanmondi,middle,0.6,59242.0,51202.0,13.57,781.2,449.7,6273.0,89.41
DHH0050,Dhanmondi,middle,0.6,53747.0,46675.0,13.16,422.5,495.8,5161.0,90.4
DHH0051,Dhanmondi,middle,0.6,87563.0,75184.0,14.14,556.9,880.5,8391.0,90.42
DHH0052,Dhanmondi,middle,0.6,42642.0,37577.0,11.88,360.7,359.9,3962.0,90.71
DHH0053,Dhanmondi,middle,0.6,170160.0,148609.0,12.66,636.1,975.9,9376.0,94.49
DHH0054,Dhanmondi,middle,0.6,40515.0,37260.0,8.03,61.6,297.7,2330.0,94.25
DHH0055,Dhanmondi,middle,0.6,50531.0,44343.0,12.24,348.6,443.5,4498.0,91.1
DHH0056,Dhanmondi,middle,0.6,56070.0,47876.0,14.61,724.8,486.1,6302.0,88.76
DHH0057,Dhanmondi,middle,0.6,62508.0,55852.0,10.65,681.3,358.4,5234.0,91.63
DHH0058,Dhanmondi,middle,0.6,62475.0,53385.0,14.55,842.7,522.9,7031.0,88.75
DHH0059,Dhanmondi,middle,0.6,64800.0,55235.0,14.76,927.9,535.0,7457.0,88.49
DHH0060,Dhanmondi,middle,0.6,189144.0,165239.0,12.64,1318.8,659.9,9895.0,94.77
DHH0061,Dhanmondi,middle,0.6,37150.0,32279.0,13.11,396.1,327.5,3877.0,89.56
DHH0062,Dhanmondi,middle,0.6,38990.0,34363.0,11.87,538.3,247.2,3883.0,90.04
DHH0063,Dhanmondi,middle,0.6,32325.0,29116.0,9.93,366.8,173.7,2683.0,91.7
DHH0064,Dhanmondi,middle,0.6,93406.0,79172.0,15.24,1063.7,844.3,10165.0,89.12
