household_id,substation,tier,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq
DHH0001,Dhanmondi,lower_middle,2024-01,826.1,789.0,37.0,4.48,107.2,8.57,0.32,18.4
DHH0002,Dhanmondi,lower_middle,2024-01,680.6,648.7,31.8,4.67,86.5,0.0,3.27,13.1
DHH0003,Dhanmondi,lower_middle,2024-01,741.5,650.4,91.1,12.28,93.1,11.97,4.49,41.9
DHH0004,Dhanmondi,lower_middle,2024-01,1208.8,1142.4,66.4,5.49,155.8,11.46,2.17,31.6
DHH0005,Dhanmondi,lower_middle,2024-01,948.7,876.8,72.0,7.59,119.2,8.74,3.84,32.9
DHH0006,Dhanmondi,lower_middle,2024-01,949.8,887.8,62.0,6.52,120.9,15.18,0.19,31.1
DHH0007,Dhanmondi,lower_middle,2024-01,899.2,870.8,28.4,3.16,118.2,0.0,2.92,11.7
DHH0008,Dhanmondi,lower_middle,2024-01,1061.3,903.3,158.0,14.89,130.3,23.86,6.53,73.9
DHH0009,Dhanmondi,lower_middle,2024-01,1040.2,940.0,100.2,9.63,131.7,22.63,1.08,49.6
DHH0010,Dhanmondi,lower_middle,2024-01,1049.3,953.1,96.2,9.17,131.6,15.07,3.75,45.2
DHH0011,Dhanmondi,lower_middle,2024-01,835.6,793.1,42.5,5.09,106.3,9.87,0.35,21.2
DHH0012,Dhanmondi,lower_middle,2024-01,750.0,706.6,43.5,5.79,92.7,0.0,4.47,17.9
DHH0013,Dhanmondi,lower_middle,2024-01,490.5,468.7,21.8,4.44,61.6,0.0,2.24,9.0
DHH0014,Dhanmondi,lower_middle,2024-01,617.5,600.3,17.2,2.79,38.7,1.52,0.25,4.1
DHH0015,Dhanmondi,middle,2024-01,1523.9,1379.9,144.0,9.45,180.6,25.53,3.65,127.6
DHH0016,Dhanmondi,middle,2024-01,2385.9,2117.7,268.3,11.24,170.4,14.38,9.82,126.3
DHH0017,Dhanmondi,middle,2024-01,1609.1,1413.4,195.7,12.16,189.6,40.59,2.57,180.3
DHH0018,Dhanmondi,middle,2024-01,1335.3,1142.1,193.2,14.47,158.1,29.67,6.77,166.0
DHH0019,Dhanmondi,middle,2024-01,1073.5,915.5,158.0,14.72,132.7,13.44,10.78,129.2
DHH0020,Dhanmondi,middle,2024-01,761.3,649.9,111.4,14.64,94.5,15.34,5.21,97.9
DHH0021,Dhanmondi,middle,2024-01,1637.5,1455.1,182.4,11.14,193.3,32.05,4.74,161.4
DHH0022,Dhanmondi,middle,2024-01,690.7,626.5,64.2,9.29,87.4,11.18,2.05,59.1
DHH0023,Dhanmondi,middle,2024-01,1324.6,1215.3,109.2,8.24,149.4,14.85,4.04,87.7
DHH0024,Dhanmondi,middle,2024-01,1155.8,1016.1,139.7,12.09,128.4,25.98,2.32,120.2
DHH0025,Dhanmondi,middle,2024-01,1370.0,1189.8,180.1,13.15,161.6,28.43,6.0,155.7
DHH0026,Dhanmondi,middle,2024-01,756.8,698.4,58.4,7.72,96.6,8.53,2.53,51.9
DHH0027,Dhanmondi,middle,2024-01,1634.7,1579.5,55.2,3.38,190.5,10.83,0.68,48.1
DHH0028,Dhanmondi,middle,2024-01,1195.9,1079.3,116.5,9.74,140.2,17.5,4.24,99.7
DHH0029,Dhanmondi,middle,2024-01,1911.3,1730.9,180.5,9.44,217.2,28.92,4.89,149.9
DHH0030,Dhanmondi,middle,2024-01,1309.3,1159.7,149.6,11.42,153.7,19.9,6.49,125.0
DHH0031,Dhanmondi,middle,2024-01,1254.2,1137.0,117.2,9.35,148.3,10.81,7.04,92.5
DHH0032,Dhanmondi,middle,2024-01,1352.6,1191.4,161.2,11.92,160.6,25.95,5.16,139.9
DHH0033,Dhanmondi,middle,2024-01,3641.0,3208.6,432.4,11.87,261.5,42.83,7.83,226.1
