date,pred_peak_mw,actual_peak_mw,forecast_error_mw,stress_threshold_mw,is_stress_day
2024-01-01,96.95,80.9,16.05,142.97,0
2024-01-02,93.9,90.0,3.9,142.97,0
2024-01-03,91.49,93.0,-1.51,142.97,0
2024-01-04,86.21,83.0,3.21,142.97,0
2024-01-05,96.11,78.6,17.51,142.97,0
2024-01-06,99.04,58.0,41.04,142.97,0
2024-01-07,92.93,86.0,6.93,142.97,0
2024-01-08,91.71,77.3,14.41,142.97,0
2024-01-09,90.89,150.0,-59.11,142.97,0
2024-01-10,95.74,89.0,6.74,142.97,0
2024-01-11,90.77,110.0,-19.23,142.97,0
2024-01-12,102.4,84.0,18.4,142.97,0
2024-01-13,107.32,85.0,22.32,142.97,0
2024-01-14,99.76,89.0,10.76,142.97,0
2024-01-15,98.0,82.0,16.0,142.97,0
2024-01-16,96.08,90.0,6.08,142.97,0
2024-01-17,96.33,90.0,6.33,142.97,0
2024-01-18,87.73,81.0,6.73,142.97,0
2024-01-19,97.13,87.0,10.13,142.97,0
2024-01-20,99.41,91.0,8.41,142.97,0
2024-01-21,95.26,90.0,5.26,142.97,0
2024-01-22,92.62,81.0,11.62,142.97,0
2024-01-23,90.26,94.0,-3.73,142.97,0
2024-01-24,89.86,95.0,-5.14,142.97,0
2024-01-25,85.3,85.2,0.1,142.97,0
2024-01-26,94.9,88.6,6.3,142.97,0
2024-01-27,98.02,92.0,6.02,142.97,0
2024-01-28,96.02,94.0,2.02,142.97,0
2024-01-29,94.52,96.0,-1.48,142.97,0
2024-01-30,94.05,98.0,-3.95,142.97,0
2024-01-31,93.16,101.0,-7.84,142.97,0
2024-02-01,88.3,88.0,0.3,142.97,0
2024-02-02,97.79,92.2,5.59,142.97,0
2024-02-03,101.2,98.0,3.2,142.97,0
2024-02-04,99.18,98.0,1.18,142.97,0
2024-02-05,99.73,98.0,1.73,142.97,0
2024-02-06,98.28,103.0,-4.72,142.97,0
2024-02-07,96.8,99.0,-2.2,142.97,0
2024-02-08,89.38,83.0,6.38,142.97,0
2024-02-09,98.72,93.0,5.72,142.97,0
2024-02-10,102.5,99.0,3.5,142.97,0
2024-02-11,101.52,112.4,-10.88,142.97,0
2024-02-12,104.08,87.0,17.08,142.97,0
2024-02-13,104.08,101.0,3.08,142.97,0
2024-02-14,101.94,92.1,9.84,142.97,0
2024-02-15,91.48,83.2,8.28,142.97,0
2024-02-16,101.93,95.1,6.83,142.97,0
2024-02-17,107.6,106.0,1.6,142.97,0
2024-02-18,107.64,109.0,-1.36,142.97,0
