timestamp,household_id,substation,tier,tou_period,tou_multiplier,tou_rate_bdt_kwh,predicted_load_w,optimised_load_w,power_deviation_w,power_deviation_ratio,price_multiplier_norm,appliance_alpha,molp_alpha,action_taken,is_stress_day,energy_shifted_kwh,energy_curtailed_kwh,substation_pred_peak_mw
2024-01-01,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,236.2,143.1,93.1,0.394,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.497,0.061,70.1
2024-01-02,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,256.1,151.9,104.3,0.4071,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.497,0.128,69.24
2024-01-03,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,190.4,144.4,46.0,0.2414,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.19,0.086,67.79
2024-01-04,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,211.6,150.8,60.8,0.2874,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.227,0.138,68.27
2024-01-05,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,247.6,147.3,100.4,0.4052,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.497,0.105,66.9
2024-01-06,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,226.0,149.2,76.7,0.3395,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.116,68.92
2024-01-07,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,219.1,146.5,72.6,0.3314,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.092,68.53
2024-01-08,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,213.3,146.9,66.4,0.3113,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.3,0.098,65.34
2024-01-09,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,220.5,143.9,76.6,0.3474,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.381,0.079,66.88
2024-01-10,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,211.4,147.2,64.3,0.3039,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.264,0.122,67.4
2024-01-11,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,235.7,143.5,92.1,0.3909,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.461,0.092,80.06
2024-01-12,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,187.3,139.8,47.6,0.2539,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.19,0.095,72.07
2024-01-13,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,236.2,150.5,85.7,0.3629,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.381,0.134,69.37
2024-01-14,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,211.5,138.8,72.6,0.3435,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.092,71.56
2024-01-15,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,200.9,145.8,55.0,0.2741,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.19,0.14,69.75
2024-01-16,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,186.3,139.3,47.0,0.2524,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.19,0.092,68.65
2024-01-17,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,214.3,143.4,70.9,0.3307,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.3,0.125,68.3
2024-01-18,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,202.5,144.8,57.8,0.2852,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.227,0.12,67.25
2024-01-19,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,274.2,154.7,119.6,0.436,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.571,0.147,66.56
2024-01-20,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,224.9,144.2,80.7,0.3588,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.381,0.104,70.72
2024-01-21,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,234.0,145.2,88.8,0.3795,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.417,0.116,70.45
2024-01-22,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,214.6,136.9,77.7,0.362,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.381,0.086,69.21
2024-01-23,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,246.0,134.6,111.4,0.4529,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.607,0.061,68.92
2024-01-24,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,210.5,142.4,68.1,0.3235,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.307,0.101,69.53
2024-01-25,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,192.1,137.0,55.2,0.287,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.264,0.067,69.29
2024-01-26,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,198.2,141.1,57.1,0.2881,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.264,0.079,67.33
2024-01-27,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,221.2,145.6,75.6,0.3419,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.11,70.51
2024-01-28,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,186.6,137.5,49.0,0.2629,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.227,0.067,71.79
2024-01-29,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,226.9,142.1,84.8,0.3739,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.417,0.092,70.92
2024-01-30,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,176.6,147.1,29.5,0.1671,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.073,0.104,70.64
2024-01-31,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,222.2,144.9,77.3,0.3478,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.381,0.083,69.64
2024-02-01,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,170.0,149.2,20.8,0.1225,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.0,0.125,68.51
2024-02-02,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,211.6,145.7,65.9,0.3114,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.3,0.095,68.64
2024-02-03,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,203.0,146.3,56.7,0.2793,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.227,0.113,70.95
2024-02-04,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,261.0,149.2,111.8,0.4283,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.534,0.137,70.16
2024-02-05,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,193.4,147.5,45.9,0.2374,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.154,0.122,69.59
2024-02-06,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,227.2,148.9,78.3,0.3447,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.126,70.26
2024-02-07,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,203.9,153.0,50.9,0.2496,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.154,0.152,69.1
2024-02-08,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,214.9,140.7,74.2,0.3454,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.344,0.101,69.21
2024-02-09,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,177.9,134.9,42.9,0.2414,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.19,0.067,68.17
2024-02-10,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,285.8,145.2,140.7,0.4921,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.724,0.12,69.34
2024-02-11,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,217.5,154.6,62.9,0.2892,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.227,0.15,73.62
2024-02-12,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,267.7,153.2,114.5,0.4277,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.534,0.153,72.0
2024-02-13,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,266.1,156.1,109.9,0.4132,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.497,0.162,70.71
2024-02-14,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,196.3,154.9,41.4,0.211,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.11,0.138,71.71
2024-02-15,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,200.5,160.3,40.1,0.2001,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.073,0.167,73.01
2024-02-16,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,176.1,148.3,27.8,0.1579,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.073,0.094,73.18
2024-02-17,KHH0001,Kalyanpur,lower_middle,peak,1.35,8.775,298.8,155.1,143.7,0.4809,0.5,0.7,0.8,CURTAIL+SHIFT,0,0.724,0.138,75.49
