household_id,substation,tier,alpha,baseline_cost_bdt,optimised_cost_bdt,saving_pct,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,qoe_score
KHH0001,Kalyanpur,lower_middle,0.8,29455.0,26458.0,10.17,336.3,195.6,1455.0,95.06
KHH0002,Kalyanpur,lower_middle,0.8,26825.0,23474.0,12.49,0.0,365.2,1461.0,94.55
KHH0003,Kalyanpur,lower_middle,0.8,22709.0,18407.0,18.94,511.2,269.6,2101.0,90.75
KHH0004,Kalyanpur,lower_middle,0.8,31570.0,28525.0,9.65,141.0,276.3,1387.0,95.61
KHH0005,Kalyanpur,lower_middle,0.8,13778.0,10975.0,20.34,0.0,305.1,1220.0,91.14
KHH0006,Kalyanpur,lower_middle,0.8,30621.0,27087.0,11.54,335.1,254.9,1690.0,94.48
KHH0007,Kalyanpur,lower_middle,0.8,29610.0,27057.0,8.62,0.0,276.8,1107.0,96.26
KHH0008,Kalyanpur,lower_middle,0.8,11085.0,9780.0,11.77,0.0,141.4,565.0,94.9
KHH0009,Kalyanpur,lower_middle,0.8,15186.0,11856.0,21.93,285.9,251.2,1577.0,89.62
KHH0010,Kalyanpur,lower_middle,0.8,33296.0,29652.0,10.95,379.5,249.1,1755.0,94.73
KHH0011,Kalyanpur,lower_middle,0.8,26925.0,24120.0,10.42,273.1,198.2,1339.0,95.03
KHH0012,Kalyanpur,lower_middle,0.8,21767.0,18473.0,15.13,329.3,231.1,1583.0,92.73
KHH0013,Kalyanpur,lower_middle,0.8,25083.0,22127.0,11.79,0.0,321.3,1285.0,94.88
KHH0014,Kalyanpur,lower_middle,0.8,15681.0,15337.0,2.2,56.7,15.7,176.0,98.88
KHH0015,Kalyanpur,lower_middle,0.8,36099.0,31799.0,11.91,271.3,361.8,1990.0,94.49
KHH0016,Kalyanpur,lower_middle,0.8,34431.0,30487.0,11.45,295.8,314.4,1849.0,94.63
KHH0017,Kalyanpur,lower_middle,0.8,26246.0,22597.0,13.9,440.9,225.9,1786.0,93.2
KHH0018,Kalyanpur,lower_middle,0.8,42999.0,36697.0,14.65,913.3,331.2,3152.0,92.67
KHH0019,Kalyanpur,lower_middle,0.8,25510.0,20351.0,20.23,390.6,411.0,2425.0,90.49
KHH0020,Kalyanpur,lower_middle,0.8,32470.0,26932.0,17.06,235.6,511.1,2516.0,92.25
KHH0021,Kalyanpur,lower_middle,0.8,35893.0,31622.0,11.9,340.3,332.4,2010.0,94.4
KHH0022,Kalyanpur,lower_middle,0.8,37258.0,31340.0,15.88,351.4,507.7,2734.0,92.66
KHH0023,Kalyanpur,lower_middle,0.8,24836.0,20279.0,18.35,534.5,288.0,2221.0,91.06
KHH0024,Kalyanpur,lower_middle,0.8,25372.0,22629.0,10.81,335.3,167.4,1340.0,94.72
KHH0025,Kalyanpur,lower_middle,0.8,29710.0,26680.0,10.2,440.6,157.8,1512.0,94.91
KHH0026,Kalyanpur,lower_middle,0.8,24257.0,21709.0,10.5,388.1,125.7,1279.0,94.73
KHH0027,Kalyanpur,lower_middle,0.8,31229.0,27527.0,11.85,326.2,276.4,1758.0,94.37
KHH0028,Kalyanpur,lower_middle,0.8,20563.0,17687.0,13.99,288.4,201.0,1381.0,93.28
KHH0029,Kalyanpur,lower_middle,0.8,24475.0,22167.0,9.43,0.0,251.6,1006.0,95.89
KHH0030,Kalyanpur,lower_middle,0.8,23126.0,18673.0,19.26,406.7,326.7,2120.0,90.83
KHH0031,Kalyanpur,lower_middle,0.8,30682.0,24868.0,18.95,440.9,461.2,2727.0,91.11
KHH0032,Kalyanpur,lower_middle,0.8,23833.0,19731.0,17.21,339.4,315.2,1940.0,91.86
KHH0033,Kalyanpur,lower_middle,0.8,16877.0,13781.0,18.35,181.8,266.5,1430.0,91.53
KHH0034,Kalyanpur,lower_middle,0.8,28543.0,24615.0,13.76,42.9,412.1,1734.0,93.92
KHH0035,Kalyanpur,lower_middle,0.8,19257.0,16364.0,15.02,602.8,80.0,1526.0,92.08
KHH0036,Kalyanpur,lower_middle,0.8,30684.0,27110.0,11.65,40.1,373.4,1574.0,94.87
KHH0037,Kalyanpur,lower_middle,0.8,32166.0,28347.0,11.87,330.8,287.2,1810.0,94.37
KHH0038,Kalyanpur,lower_middle,0.8,18965.0,15444.0,18.57,0.0,381.2,1525.0,91.96
KHH0039,Kalyanpur,lower_middle,0.8,30461.0,26835.0,11.9,360.4,254.9,1740.0,94.29
KHH0040,Kalyanpur,lower_middle,0.8,21348.0,19802.0,7.24,0.0,169.0,676.0,96.83
KHH0041,Kalyanpur,lower_middle,0.8,43060.0,38822.0,9.84,709.3,185.5,2161.0,94.98
KHH0042,Kalyanpur,lower_middle,0.8,35895.0,29340.0,18.26,821.6,395.1,3224.0,91.02
KHH0043,Kalyanpur,middle,0.6,63404.0,57092.0,9.95,283.8,452.8,4305.0,93.21
KHH0044,Kalyanpur,middle,0.6,42498.0,37901.0,10.82,201.9,330.9,3124.0,92.65
KHH0045,Kalyanpur,middle,0.6,59728.0,49686.0,16.81,961.2,522.2,7500.0,87.44
KHH0046,Kalyanpur,middle,0.6,77284.0,65103.0,15.76,1465.4,513.1,9453.0,87.77
KHH0047,Kalyanpur,middle,0.6,70180.0,63997.0,8.81,400.3,395.2,4367.0,93.78
KHH0048,Kalyanpur,middle,0.6,72416.0,61643.0,14.88,1415.0,405.5,8498.0,88.26
KHH0049,Kalyanpur,middle,0.6,87627.0,78799.0,10.07,1283.9,283.6,7121.0,91.87
KHH0050,Kalyanpur,middle,0.6,91819.0,78361.0,14.66,1669.1,547.8,10511.0,88.55
KHH0051,Kalyanpur,middle,0.6,60244.0,53513.0,11.17,939.7,231.8,5381.0,91.07
KHH0052,Kalyanpur,middle,0.6,61810.0,50963.0,17.55,1560.6,355.5,8731.0,85.87
KHH0053,Kalyanpur,middle,0.6,86345.0,73854.0,14.47,1686.1,452.6,9913.0,88.52
KHH0054,Kalyanpur,middle,0.6,55610.0,46947.0,15.58,459.7,593.8,5995.0,89.22
KHH0055,Kalyanpur,middle,0.6,125114.0,110728.0,11.5,2503.6,300.2,12116.0,90.32
KHH0056,Kalyanpur,middle,0.6,116810.0,98834.0,15.39,2319.7,694.8,14142.0,87.89
KHH0057,Kalyanpur,middle,0.6,57757.0,51697.0,10.49,543.6,327.6,4468.0,92.26
KHH0058,Kalyanpur,middle,0.6,74099.0,62810.0,15.24,1697.2,341.0,9176.0,87.62
KHH0059,Kalyanpur,middle,0.6,39693.0,34710.0,12.55,240.7,351.0,3420.0,91.38
KHH0060,Kalyanpur,middle,0.6,69597.0,58593.0,15.81,1467.6,405.3,8707.0,87.49
KHH0061,Kalyanpur,middle,0.6,117592.0,102254.0,13.04,2369.9,437.5,12542.0,89.33
KHH0062,Kalyanpur,middle,0.6,38524.0,33653.0,12.64,659.5,176.3,3872.0,89.95
KHH0063,Kalyanpur,middle,0.6,52403.0,45561.0,13.06,665.1,349.0,5103.0,90.26
KHH0064,Kalyanpur,middle,0.6,54494.0,46924.0,13.89,448.5,499.4,5290.0,90.29
KHH0065,Kalyanpur,middle,0.6,61163.0,51182.0,16.32,1044.3,481.3,7546.0,87.66
KHH0066,Kalyanpur,middle,0.6,44772.0,39044.0,12.79,708.2,232.9,4463.0,90.03
KHH0067,Kalyanpur,middle,0.6,67478.0,54383.0,19.41,786.0,861.0,9171.0,86.41
KHH0068,Kalyanpur,middle,0.6,82334.0,72977.0,11.36,1370.4,297.0,7561.0,90.82
KHH0069,Kalyanpur,middle,0.6,67010.0,55846.0,16.66,1290.4,489.6,8589.0,87.18
KHH0070,Kalyanpur,middle,0.6,65206.0,56223.0,13.78,1013.0,404.1,6880.0,89.45
KHH0071,Kalyanpur,middle,0.6,44352.0,37861.0,14.64,344.2,444.5,4489.0,89.88
KHH0072,Kalyanpur,middle,0.6,73022.0,62025.0,15.06,1725.8,304.1,9032.0,87.63
KHH0073,Kalyanpur,middle,0.6,58414.0,49851.0,14.66,931.4,399.9,6525.0,88.83
KHH0074,Kalyanpur,middle,0.6,65187.0,55888.0,14.27,1218.4,352.1,7338.0,88.74
KHH0075,Kalyanpur,middle,0.6,88108.0,76912.0,12.71,1235.8,513.7,8539.0,90.31
KHH0076,Kalyanpur,middle,0.6,48972.0,42818.0,12.57,752.5,253.9,4787.0,90.22
KHH0077,Kalyanpur,middle,0.6,63331.0,53569.0,15.41,792.6,560.0,7090.0,88.8
KHH0078,Kalyanpur,middle,0.6,50022.0,42146.0,15.74,818.0,381.7,5944.0,88.12
KHH0079,Kalyanpur,middle,0.6,95738.0,81393.0,14.98,1667.0,624.9,11042.0,88.47
KHH0080,Kalyanpur,middle,0.6,135877.0,117304.0,13.67,2584.2,641.8,14829.0,89.09
KHH0081,Kalyanpur,middle,0.6,48526.0,43222.0,10.93,529.0,265.9,3977.0,91.8
KHH0082,Kalyanpur,middle,0.6,90747.0,79109.0,12.82,1599.7,411.0,9276.0,89.78
KHH0083,Kalyanpur,middle,0.6,77758.0,69285.0,10.9,200.7,677.5,5546.0,92.87
KHH0084,Kalyanpur,middle,0.6,103337.0,89699.0,13.2,1980.3,438.5,10991.0,89.36
KHH0085,Kalyanpur,middle,0.6,54785.0,45245.0,17.41,673.4,586.9,6802.0,87.58
KHH0086,Kalyanpur,middle,0.6,90123.0,79776.0,11.48,1382.0,380.8,8193.0,90.91
KHH0087,Kalyanpur,middle,0.6,77478.0,66371.0,14.34,1424.2,431.4,8716.0,88.75
KHH0088,Kalyanpur,middle,0.6,51069.0,44749.0,12.38,806.6,247.4,4959.0,90.29
KHH0089,Kalyanpur,middle,0.6,66750.0,57831.0,13.36,1076.9,373.3,6920.0,89.63
KHH0090,Kalyanpur,middle,0.6,157496.0,138365.0,12.15,3052.3,508.9,15772.0,89.99
KHH0091,Kalyanpur,middle,0.6,90825.0,78593.0,13.47,1766.4,396.2,9839.0,89.17
KHH0092,Kalyanpur,middle,0.6,79074.0,67137.0,15.1,1170.2,606.6,8927.0,88.71
KHH0093,Kalyanpur,middle,0.6,77259.0,65906.0,14.69,1580.5,392.8,9072.0,88.26
KHH0094,Kalyanpur,middle,0.6,91404.0,80659.0,11.75,1655.7,309.1,8787.0,90.39
KHH0095,Kalyanpur,middle,0.6,44066.0,37813.0,14.19,456.6,378.3,4474.0,89.85
KHH0096,Kalyanpur,middle,0.6,64493.0,55563.0,13.85,762.5,496.7,6527.0,89.88
KHH0097,Kalyanpur,middle,0.6,49855.0,42970.0,13.81,728.4,329.6,5221.0,89.53
KHH0098,Kalyanpur,middle,0.6,86637.0,74286.0,14.26,1636.4,459.7,9764.0,88.73
KHH0099,Kalyanpur,middle,0.6,75106.0,64589.0,14.0,991.0,549.5,7810.0,89.6
KHH0100,Kalyanpur,middle,0.6,59440.0,51080.0,14.07,679.8,479.7,6077.0,89.78
KHH0101,Kalyanpur,middle,0.6,64274.0,56043.0,12.81,1191.4,266.6,6632.0,89.68
KHH0102,Kalyanpur,middle,0.6,52028.0,45821.0,11.93,312.4,433.0,4280.0,91.77
KHH0103,Kalyanpur,upper_middle,0.35,263744.0,263744.0,0.0,0.0,0.0,0.0,100.0
KHH0104,Kalyanpur,upper_middle,0.35,293038.0,293038.0,0.0,0.0,0.0,0.0,100.0
KHH0105,Kalyanpur,upper_middle,0.35,215236.0,215236.0,0.0,0.0,0.0,0.0,100.0
KHH0106,Kalyanpur,upper_middle,0.35,159369.0,159369.0,0.0,0.0,0.0,0.0,100.0
KHH0107,Kalyanpur,upper_middle,0.35,128247.0,128247.0,0.0,0.0,0.0,0.0,100.0
KHH0108,Kalyanpur,upper_middle,0.35,139789.0,139789.0,0.0,0.0,0.0,0.0,100.0
KHH0109,Kalyanpur,upper_middle,0.35,135575.0,135575.0,0.0,0.0,0.0,0.0,100.0
KHH0110,Kalyanpur,upper_middle,0.35,171625.0,171625.0,0.0,0.0,0.0,0.0,100.0
KHH0111,Kalyanpur,upper_middle,0.35,194661.0,194661.0,0.0,0.0,0.0,0.0,100.0
KHH0112,Kalyanpur,upper_middle,0.35,114041.0,114041.0,0.0,0.0,0.0,0.0,100.0
KHH0113,Kalyanpur,upper_middle,0.35,96823.0,96823.0,0.0,0.0,0.0,0.0,100.0
KHH0114,Kalyanpur,upper_middle,0.35,143644.0,143644.0,0.0,0.0,0.0,0.0,100.0
KHH0115,Kalyanpur,upper_middle,0.35,252678.0,252678.0,0.0,0.0,0.0,0.0,100.0
KHH0116,Kalyanpur,upper_middle,0.35,197407.0,197407.0,0.0,0.0,0.0,0.0,100.0
KHH0117,Kalyanpur,upper_middle,0.35,178818.0,178818.0,0.0,0.0,0.0,0.0,100.0
KHH0118,Kalyanpur,upper_middle,0.35,223272.0,223272.0,0.0,0.0,0.0,0.0,100.0
KHH0119,Kalyanpur,upper_middle,0.35,258750.0,258750.0,0.0,0.0,0.0,0.0,100.0
KHH0120,Kalyanpur,upper_middle,0.35,237918.0,237918.0,0.0,0.0,0.0,0.0,100.0
