household_id,substation,tier,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq
KHH0001,Kalyanpur,lower_middle,2024-01,778.6,713.7,64.9,8.33,109.7,10.46,3.13,33.4
KHH0002,Kalyanpur,lower_middle,2024-01,578.7,533.1,45.6,7.88,82.3,0.0,5.2,20.8
KHH0003,Kalyanpur,lower_middle,2024-01,539.0,450.0,89.0,16.52,72.3,16.3,3.51,46.6
KHH0004,Kalyanpur,lower_middle,2024-01,759.8,721.2,38.7,5.09,106.9,5.67,2.1,19.7
KHH0005,Kalyanpur,lower_middle,2024-01,184.9,163.1,21.7,11.76,24.0,0.0,2.48,9.9
KHH0006,Kalyanpur,lower_middle,2024-01,826.6,754.3,72.3,8.74,113.0,10.21,4.08,36.7
KHH0007,Kalyanpur,lower_middle,2024-01,624.8,621.4,3.4,0.55,88.6,0.0,0.39,1.6
KHH0008,Kalyanpur,lower_middle,2024-01,217.2,215.6,1.6,0.74,29.3,0.0,0.18,0.7
KHH0009,Kalyanpur,lower_middle,2024-01,274.8,225.5,49.3,17.94,36.1,7.67,2.49,25.3
KHH0010,Kalyanpur,lower_middle,2024-01,837.8,772.1,65.7,7.84,117.4,12.04,2.58,34.4
KHH0011,Kalyanpur,lower_middle,2024-01,618.1,590.1,28.0,4.53,86.4,7.4,0.18,15.5
KHH0012,Kalyanpur,lower_middle,2024-01,577.9,511.6,66.3,11.47,78.1,9.8,3.56,33.9
KHH0013,Kalyanpur,lower_middle,2024-01,493.7,467.6,26.0,5.28,71.0,0.0,2.97,11.9
KHH0014,Kalyanpur,lower_middle,2024-01,469.1,458.6,10.5,2.24,67.7,1.83,0.45,5.5
KHH0015,Kalyanpur,lower_middle,2024-01,775.9,731.4,44.5,5.74,109.6,8.38,1.66,23.4
KHH0016,Kalyanpur,lower_middle,2024-01,898.3,829.3,69.0,7.68,124.8,9.55,3.97,35.0
KHH0017,Kalyanpur,lower_middle,2024-01,653.0,575.9,77.1,11.81,89.3,13.9,3.13,40.3
KHH0018,Kalyanpur,lower_middle,2024-01,1177.7,1029.4,148.2,12.59,161.6,29.13,5.03,78.4
KHH0019,Kalyanpur,lower_middle,2024-01,635.3,530.0,105.3,16.58,83.9,12.23,7.02,52.5
KHH0020,Kalyanpur,lower_middle,2024-01,578.1,514.7,63.3,10.95,79.8,6.82,4.44,31.4
