date,pred_peak_mw,actual_peak_mw,forecast_error_mw,stress_threshold_mw,is_stress_day
2024-01-01,68.4,66.0,2.4,117.96,0
2024-01-02,67.47,72.0,-4.53,117.96,0
2024-01-03,67.33,66.0,1.33,117.96,0
2024-01-04,67.41,69.0,-1.59,117.96,0
2024-01-05,67.48,63.0,4.48,117.96,0
2024-01-06,67.27,60.0,7.27,117.96,0
2024-01-07,66.36,66.0,0.36,117.96,0
2024-01-08,66.11,69.0,-2.89,117.96,0
2024-01-09,65.76,111.0,-45.24,117.96,0
2024-01-10,68.43,66.0,2.43,117.96,0
2024-01-11,70.59,66.0,4.59,117.96,0
2024-01-12,68.89,75.0,-6.11,117.96,0
2024-01-13,68.88,69.0,-0.12,117.96,0
2024-01-14,68.67,66.0,2.67,117.96,0
2024-01-15,68.0,69.0,-1.0,117.96,0
2024-01-16,67.5,68.0,-0.5,117.96,0
2024-01-17,68.34,69.0,-0.66,117.96,0
2024-01-18,67.58,78.0,-10.42,117.96,0
2024-01-19,68.0,69.0,-1.0,117.96,0
2024-01-20,68.42,69.0,-0.58,117.96,0
2024-01-21,68.33,69.0,-0.67,117.96,0
2024-01-22,67.61,72.0,-4.39,117.96,0
2024-01-23,67.43,72.0,-4.57,117.96,0
2024-01-24,68.09,66.0,2.09,117.96,0
2024-01-25,68.22,75.0,-6.78,117.96,0
2024-01-26,68.85,73.5,-4.65,117.96,0
2024-01-27,69.08,72.0,-2.92,117.96,0
2024-01-28,69.03,71.0,-1.97,117.96,0
2024-01-29,68.37,70.0,-1.63,117.96,0
2024-01-30,67.6,69.0,-1.4,117.96,0
2024-01-31,67.45,72.0,-4.55,117.96,0
2024-02-01,68.3,75.0,-6.7,117.96,0
2024-02-02,68.97,66.0,2.97,117.96,0
2024-02-03,69.1,69.0,0.09,117.96,0
2024-02-04,69.09,69.0,0.09,117.96,0
2024-02-05,69.01,69.0,0.01,117.96,0
2024-02-06,68.27,72.0,-3.73,117.96,0
2024-02-07,68.48,69.0,-0.52,117.96,0
2024-02-08,68.81,69.0,-0.19,117.96,0
2024-02-09,68.73,81.0,-12.27,117.96,0
2024-02-10,69.43,69.0,0.43,117.96,0
2024-02-11,70.66,66.0,4.66,117.96,0
2024-02-12,69.97,72.0,-2.03,117.96,0
2024-02-13,70.13,78.0,-7.87,117.96,0
2024-02-14,71.68,78.0,-6.32,117.96,0
2024-02-15,74.24,78.0,-3.76,117.96,0
2024-02-16,76.23,66.0,10.23,117.96,0
2024-02-17,74.89,68.0,6.89,117.96,0
2024-02-18,73.96,76.0,-2.03,117.96,0
2024-02-19,73.56,90.0,-16.44,117.96,0
2024-02-20,75.21,87.0,-11.79,117.96,0
2024-02-21,78.68,87.0,-8.32,117.96,0
2024-02-22,82.09,75.0,7.09,117.96,0
2024-02-23,80.62,81.0,-0.38,117.96,0
2024-02-24,80.72,78.0,2.72,117.96,0
2024-02-25,81.81,66.0,15.81,117.96,0
2024-02-26,76.55,72.0,4.55,117.96,0
2024-02-27,77.69,75.0,2.69,117.96,0
2024-02-28,79.61,78.0,1.61,117.96,0
2024-02-29,83.04,72.0,11.04,117.96,0
2024-03-01,82.44,90.0,-7.56,117.96,0
2024-03-02,84.7,84.0,0.7,117.96,0
2024-03-03,88.17,69.0,19.17,117.96,0
2024-03-04,85.36,84.0,1.36,117.96,0
2024-03-05,85.41,81.0,4.41,117.96,0
2024-03-06,85.91,81.0,4.91,117.96,0
2024-03-07,86.96,84.0,2.96,117.96,0
2024-03-08,87.82,120.0,-32.18,117.96,0
2024-03-09,93.9,99.0,-5.1,117.96,0
2024-03-10,98.35,105.0,-6.65,117.96,0
2024-03-11,98.42,84.0,14.42,117.96,0
2024-03-12,96.42,93.0,3.42,117.96,0
2024-03-13,95.66,93.0,2.66,117.96,0
2024-03-14,95.04,93.0,2.04,117.96,0
2024-03-15,96.3,96.0,0.31,117.96,0
2024-03-16,98.58,96.0,2.58,117.96,0
2024-03-17,98.52,96.0,2.52,117.96,0
2024-03-18,98.67,96.0,2.67,117.96,0
2024-03-19,96.56,81.0,15.56,117.96,0
2024-03-20,93.09,78.0,15.09,117.96,0
2024-03-21,90.84,78.0,12.84,117.96,0
2024-03-22,90.06,90.0,0.06,117.96,0
2024-03-23,92.88,87.0,5.88,117.96,0
2024-03-24,94.48,96.0,-1.52,117.96,0
2024-03-25,95.09,90.0,5.09,117.96,0
2024-03-26,94.34,93.0,1.34,117.96,0
2024-03-27,94.36,90.0,4.36,117.96,0
2024-03-28,93.99,96.0,-2.01,117.96,0
2024-03-29,94.46,105.0,-10.54,117.96,0
2024-03-30,95.65,105.0,-9.35,117.96,0
2024-03-31,98.26,108.0,-9.74,117.96,0
2024-04-01,102.2,108.0,-5.8,117.96,0
2024-04-02,104.06,114.0,-9.94,117.96,0
2024-04-03,106.87,105.0,1.87,117.96,0
2024-04-04,108.38,102.0,6.38,117.96,0
2024-04-05,106.49,108.0,-1.51,117.96,0
2024-04-06,108.18,108.0,0.18,117.96,0
2024-04-07,107.35,90.0,17.35,117.96,0
2024-04-08,105.0,81.0,24.0,117.96,0
2024-04-09,102.03,81.0,21.03,117.96,0
2024-04-10,99.26,81.0,18.26,117.96,0
2024-04-11,97.55,78.0,19.55,117.96,0
2024-04-12,96.43,75.0,21.43,117.96,0
2024-04-13,97.22,84.0,13.22,117.96,0
2024-04-14,97.38,93.0,4.38,117.96,0
2024-04-15,99.96,96.0,3.96,117.96,0
2024-04-16,101.02,105.0,-3.98,117.96,0
2024-04-17,103.44,114.0,-10.56,117.96,0
2024-04-18,107.41,114.0,-6.59,117.96,0
2024-04-19,110.97,123.0,-12.03,117.96,0
2024-04-20,114.05,123.0,-8.95,117.96,0
2024-04-21,116.22,123.0,-6.78,117.96,0
2024-04-22,114.98,126.0,-11.02,117.96,0
2024-04-23,114.66,126.0,-11.34,117.96,0
2024-04-24,115.71,126.0,-10.29,117.96,0
2024-04-25,116.48,129.0,-12.52,117.96,0
2024-04-26,118.74,132.0,-13.26,117.96,1
2024-04-27,120.42,132.0,-11.58,117.96,1
2024-04-28,122.24,132.0,-9.76,117.96,1
2024-04-29,124.15,132.0,-7.85,117.96,1
2024-04-30,122.93,132.0,-9.07,117.96,1
2024-05-01,123.89,132.0,-8.11,117.96,1
2024-05-02,122.83,132.0,-9.17,117.96,1
2024-05-03,123.21,132.0,-8.79,117.96,1
2024-05-04,125.41,129.0,-3.59,117.96,1
2024-05-05,124.22,96.0,28.22,117.96,1
2024-05-06,118.04,102.0,16.04,117.96,1
2024-05-07,116.8,102.0,14.8,117.96,0
2024-05-08,116.01,114.0,2.01,117.96,0
2024-05-09,118.7,98.0,20.7,117.96,1
2024-05-10,118.81,102.0,16.81,117.96,1
2024-05-11,117.55,105.0,12.55,117.96,0
2024-05-12,117.49,111.0,6.49,117.96,0
2024-05-13,116.27,117.0,-0.73,117.96,0
2024-05-14,117.48,120.0,-2.53,117.96,0
2024-05-15,120.08,132.0,-11.92,117.96,1
2024-05-16,124.39,132.0,-7.61,117.96,1
2024-05-17,127.19,132.0,-4.81,117.96,1
2024-05-18,127.76,123.0,4.76,117.96,1
2024-05-19,125.96,114.0,11.96,117.96,1
2024-05-20,122.26,126.0,-3.74,117.96,1
2024-05-21,121.66,126.0,-4.34,117.96,1
2024-05-22,122.77,126.0,-3.23,117.96,1
2024-05-23,124.73,132.0,-7.27,117.96,1
2024-05-24,126.1,132.0,-5.9,117.96,1
2024-05-25,127.17,132.0,-4.83,117.96,1
2024-05-26,126.78,111.0,15.78,117.96,1
2024-05-27,120.18,105.0,15.18,117.96,1
2024-05-28,117.95,111.0,6.95,117.96,0
2024-05-29,119.59,120.0,-0.41,117.96,1
2024-05-30,121.47,120.0,1.47,117.96,1
2024-05-31,123.43,120.0,3.43,117.96,1
2024-06-01,123.48,120.0,3.47,117.96,1
2024-06-02,123.48,117.0,6.48,117.96,1
2024-06-03,121.41,120.0,1.41,117.96,1
2024-06-04,120.42,120.0,0.42,117.96,1
2024-06-05,120.89,126.0,-5.11,117.96,1
2024-06-06,122.29,114.0,8.29,117.96,1
2024-06-07,122.12,121.0,1.12,117.96,1
2024-06-08,122.31,120.0,2.31,117.96,1
2024-06-09,123.0,105.0,18.0,117.96,1
2024-06-10,120.55,123.0,-2.45,117.96,1
2024-06-11,120.5,123.0,-2.5,117.96,1
2024-06-12,121.18,120.0,1.17,117.96,1
2024-06-13,121.36,132.0,-10.64,117.96,1
2024-06-14,121.43,108.0,13.43,117.96,1
2024-06-15,118.36,102.0,16.36,117.96,1
2024-06-16,114.68,105.0,9.68,117.96,0
2024-06-17,111.89,102.0,9.89,117.96,0
2024-06-18,109.63,93.0,16.63,117.96,0
2024-06-19,107.3,78.0,29.3,117.96,0
2024-06-20,107.66,87.0,20.66,117.96,0
2024-06-21,108.45,93.0,15.45,117.96,0
2024-06-22,108.24,100.5,7.74,117.96,0
2024-06-23,109.22,108.0,1.22,117.96,0
2024-06-24,110.89,111.0,-0.11,117.96,0
2024-06-25,112.27,114.0,-1.73,117.96,0
2024-06-26,113.24,114.0,-0.76,117.96,0
2024-06-27,114.38,114.0,0.39,117.96,0
2024-06-28,114.76,114.0,0.76,117.96,0
2024-06-29,114.28,111.0,3.28,117.96,0
2024-06-30,113.94,108.0,5.94,117.96,0
2024-07-01,111.27,102.0,9.27,117.96,0
2024-07-02,108.93,99.0,9.93,117.96,0
2024-07-03,107.9,99.0,8.91,117.96,0
2024-07-04,107.84,99.0,8.84,117.96,0
2024-07-05,107.79,108.0,-0.21,117.96,0
2024-07-06,109.44,120.0,-10.56,117.96,0
2024-07-07,112.67,117.0,-4.33,117.96,0
2024-07-08,114.13,123.0,-8.87,117.96,0
2024-07-09,114.89,114.0,0.89,117.96,0
2024-07-10,115.03,93.0,22.03,117.96,0
2024-07-11,112.82,105.0,7.82,117.96,0
2024-07-12,111.28,114.0,-2.72,117.96,0
2024-07-13,113.13,120.0,-6.87,117.96,0
2024-07-14,116.36,117.0,-0.64,117.96,0
2024-07-15,117.3,117.0,0.3,117.96,0
2024-07-16,117.3,123.0,-5.7,117.96,0
2024-07-17,117.26,121.71,-4.45,117.96,0
