substation,alpha,mean_saving_pct,mean_discomfort_bdt,sgo_profit_delta_bdt
Kalyanpur,0.0,0.0,0.0,0.0
Kalyanpur,0.1,0.0,0.0,0.0
Kalyanpur,0.2,0.0,0.0,0.0
Kalyanpur,0.3,0.6,53.4,-440.0
Kalyanpur,0.4,8.253,2093.7,65120.0
Kalyanpur,0.5,12.362,5689.1,141947.0
Kalyanpur,0.6,13.688,9303.5,154145.0
Kalyanpur,0.7,13.688,9303.5,154145.0
Kalyanpur,0.8,13.688,9303.5,154145.0
Kalyanpur,0.9,13.688,9303.5,154145.0
Kalyanpur,1.0,13.688,9303.5,154145.0
Dhanmondi,0.0,0.0,0.0,0.0
Dhanmondi,0.1,0.0,0.0,0.0
Dhanmondi,0.2,0.0,0.0,0.0
Dhanmondi,0.3,0.161,16.0,-132.0
Dhanmondi,0.4,4.418,1452.9,25099.0
Dhanmondi,0.5,9.392,7563.0,-1282.0
Dhanmondi,0.6,13.425,19775.7,39936.0
Dhanmondi,0.7,13.425,19775.7,39936.0
Dhanmondi,0.8,13.425,19775.7,39936.0
Dhanmondi,0.9,13.425,19775.7,39936.0
Dhanmondi,1.0,13.425,19775.7,39936.0
