timestamp,household_id,substation,tier,tou_period,tou_multiplier,tou_rate_bdt_kwh,predicted_load_w,optimised_load_w,power_deviation_w,power_deviation_ratio,price_multiplier_norm,appliance_alpha,molp_alpha,action_taken,is_stress_day,energy_shifted_kwh,energy_curtailed_kwh,substation_pred_peak_mw,gcs_score
2024-06-08,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,276.4,78.4,198.0,0.7164,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.05,0.138,122.31,0.7966
2026-06-06,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,265.7,75.6,190.1,0.7156,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.018,0.123,120.17,0.7962
2024-06-12,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,365.6,109.8,255.9,0.6997,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.1,0.435,121.18,0.7899
2026-06-07,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,224.2,67.8,156.3,0.6974,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.846,0.092,120.32,0.789
2026-06-03,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,246.0,75.5,170.5,0.6929,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.885,0.138,120.67,0.7872
2024-05-03,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,250.3,78.4,171.9,0.6867,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.878,0.153,123.21,0.7847
2024-06-07,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,231.5,72.6,158.9,0.6863,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.846,0.107,122.12,0.7845
2024-05-06,KHH0052,Kalyanpur,middle,peak,1.35,10.247,416.2,130.8,285.3,0.6857,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.339,0.373,118.04,0.7843
2026-06-16,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,334.0,105.5,228.5,0.684,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.963,0.408,119.32,0.7836
2026-05-22,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,285.0,90.2,194.8,0.6835,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.847,0.322,121.64,0.7834
2024-05-02,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,251.9,80.0,171.9,0.6825,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.878,0.153,122.83,0.783
2025-05-12,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,344.7,110.0,234.8,0.681,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.973,0.435,120.72,0.7824
2026-06-16,KHH0052,Kalyanpur,middle,peak,1.35,10.247,487.5,155.6,331.9,0.6808,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.464,0.527,119.32,0.7823
