substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Agargaon,BiGRU,2026-06-30,1,127.28,127.43,127.12,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Agargaon,BiGRU,2026-07-01,2,123.63,123.86,123.4,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Agargaon,BiGRU,2026-07-02,3,122.23,122.49,121.95,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Agargaon,BiGRU,2026-07-03,4,112.59,112.93,112.23,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Agargaon,BiGRU,2026-07-04,5,111.14,111.54,110.74,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Agargaon,BiGRU,2026-07-05,6,120.98,121.42,120.53,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Agargaon,BiGRU,2026-07-06,7,121.59,122.88,121.8,api,No Holiday,Standard 14-day window ending 2026-07-05
Agargaon,BiGRU,2026-07-07,8,121.28,122.03,120.9,api,No Holiday,Standard 14-day window ending 2026-07-06
Agargaon,BiGRU,2026-07-08,9,118.16,120.9,119.78,api,No Holiday,Standard 14-day window ending 2026-07-07
Agargaon,BiGRU,2026-07-09,10,117.91,121.28,120.22,api,No Holiday,Standard 14-day window ending 2026-07-08
Agargaon,BiGRU,2026-07-10,11,108.05,113.12,112.02,api,No Holiday,Standard 14-day window ending 2026-07-09
Agargaon,BiGRU,2026-07-11,12,108.71,113.1,111.97,api,No Holiday,Standard 14-day window ending 2026-07-10
Agargaon,BiGRU,2026-07-12,13,118.56,123.24,122.05,api,No Holiday,Standard 14-day window ending 2026-07-11
Agargaon,BiGRU,2026-07-13,14,120.06,125.4,124.08,api,No Holiday,Standard 14-day window ending 2026-07-12
