substation,model,horizon,n,r2,rmse,mae,mape_pct
Agargaon,BiGRU,1,36,0.8705841068025822,8.861455294149247,7.484210206013589,6.485004193037762
Agargaon,BiGRU,2,37,0.813122681703232,10.695540285960686,8.666242290211693,8.047336595269618
Agargaon,BiGRU,3,38,0.8203625340044538,7.772999362820226,6.1516894529720645,6.048786092107409
Agargaon,BiGRU,4,37,0.7186591516416246,12.147507528710817,9.931987983660923,9.013181043675047
Agargaon,BiGRU,5,38,0.7568014682625415,11.890184768795148,9.837184200365295,8.876074729473059
Agargaon,BiGRU,6,38,0.6930259116163879,12.936456191445039,10.562405239947532,9.601749611779578
Agargaon,BiGRU,7,37,0.7697947603731433,11.351242165047466,9.417333672103046,8.583014366171584
Agargaon,BiGRU,8,37,0.6354010896896878,15.679822975545008,12.546648005291416,12.254615638479589
Agargaon,BiGRU,9,38,0.653148727830658,13.598282353387145,11.266686310423045,11.249080504774915
Agargaon,BiGRU,10,38,0.6865843572969837,10.609002932670872,8.306459591114205,8.642881357509651
Agargaon,BiGRU,11,37,0.6534156328833283,13.676112892631545,11.005365085396413,10.334369543326913
Agargaon,BiGRU,12,38,0.6400240576222938,15.777234248651265,14.277961754602819,13.764223151930652
Agargaon,BiGRU,13,37,0.6530678779174773,14.400087515123358,12.574499957799107,12.00978137902686
Agargaon,BiGRU,14,37,0.6575577838639883,14.09453821673743,12.559057465300368,11.523340499027487
