substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Bangabhaban,BiGRU+BiLSTM,2026-06-30,1,20.79,21.02,20.56,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Bangabhaban,BiGRU+BiLSTM,2026-07-01,2,19.28,19.66,18.87,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Bangabhaban,BiGRU+BiLSTM,2026-07-02,3,18.53,19.05,18.0,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Bangabhaban,BiGRU+BiLSTM,2026-07-03,4,9.45,9.7,9.2,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Bangabhaban,BiGRU+BiLSTM,2026-07-04,5,10.29,10.57,10.01,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Bangabhaban,BiGRU+BiLSTM,2026-07-05,6,19.18,19.77,18.57,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Bangabhaban,BiGRU+BiLSTM,2026-07-06,7,19.64,19.97,18.68,api,No Holiday,Standard 14-day window ending 2026-07-05
Bangabhaban,BiGRU+BiLSTM,2026-07-07,8,19.75,20.19,18.84,api,No Holiday,Standard 14-day window ending 2026-07-06
Bangabhaban,BiGRU+BiLSTM,2026-07-08,9,18.02,19.15,17.68,api,No Holiday,Standard 14-day window ending 2026-07-07
Bangabhaban,BiGRU+BiLSTM,2026-07-09,10,17.3,18.88,17.34,api,No Holiday,Standard 14-day window ending 2026-07-08
Bangabhaban,BiGRU+BiLSTM,2026-07-10,11,8.8,9.74,9.0,api,No Holiday,Standard 14-day window ending 2026-07-09
Bangabhaban,BiGRU+BiLSTM,2026-07-11,12,9.65,10.51,9.71,api,No Holiday,Standard 14-day window ending 2026-07-10
Bangabhaban,BiGRU+BiLSTM,2026-07-12,13,18.15,19.76,18.3,api,No Holiday,Standard 14-day window ending 2026-07-11
Bangabhaban,BiGRU+BiLSTM,2026-07-13,14,18.79,20.22,18.72,api,No Holiday,Standard 14-day window ending 2026-07-12
