substation,model,horizon,n,r2,rmse,mae,mape_pct
Bangabhaban,BiGRU+BiLSTM,1,36,0.7308318334955369,3.107643227717769,2.27098334148533,25.253167613503045
Bangabhaban,BiGRU+BiLSTM,2,37,0.6763128849306835,3.4203224423284597,2.4102725575260853,24.479192172933125
Bangabhaban,BiGRU+BiLSTM,3,38,-13.794792384596109,3.460812705539052,3.2888895989091154,81.82306665511358
Bangabhaban,BiGRU+BiLSTM,4,37,0.38889588992061974,2.955336263580683,1.842172966824957,27.11021024733039
Bangabhaban,BiGRU+BiLSTM,5,38,0.5555331568531771,4.3460673972138535,3.062282242680893,33.90842929152896
Bangabhaban,BiGRU+BiLSTM,6,38,0.6591574202339012,3.585256085067586,2.481807627128952,27.197763636088162
Bangabhaban,BiGRU+BiLSTM,7,37,0.6157159559507752,4.187618955919115,3.079850633965949,41.61105951951096
Bangabhaban,BiGRU+BiLSTM,8,37,0.6620427512373612,3.7676507143437923,2.8210127268772385,32.00558891257472
Bangabhaban,BiGRU+BiLSTM,9,38,0.6281346361941764,3.905366555181772,2.8856130021967674,34.40441755756185
Bangabhaban,BiGRU+BiLSTM,10,38,-20.7299162666975,3.1154822919366936,2.892635721156415,71.69062947502645
Bangabhaban,BiGRU+BiLSTM,11,37,0.26822444554131475,2.254878498847802,1.7984989738302914,30.73434570675588
Bangabhaban,BiGRU+BiLSTM,12,38,0.49329555030101213,4.244121958592881,3.084344656545901,24.176833831020996
Bangabhaban,BiGRU+BiLSTM,13,37,0.5284906231677202,3.5098678997757933,2.6408154181853845,19.680665275489336
Bangabhaban,BiGRU+BiLSTM,14,37,0.5795739934482167,3.3358092009474807,2.442241794869719,18.105393129453955
