substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Bashundhara,BiLSTM,2026-06-30,1,199.5,200.18,198.77,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Bashundhara,BiLSTM,2026-07-01,2,191.62,192.78,190.37,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Bashundhara,BiLSTM,2026-07-02,3,188.39,189.93,186.72,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Bashundhara,BiLSTM,2026-07-03,4,183.27,185.32,181.03,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Bashundhara,BiLSTM,2026-07-04,5,183.38,185.74,180.76,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Bashundhara,BiLSTM,2026-07-05,6,186.66,189.09,183.92,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Bashundhara,BiLSTM,2026-07-06,7,182.47,186.43,180.82,api,No Holiday,Standard 14-day window ending 2026-07-05
Bashundhara,BiLSTM,2026-07-07,8,177.74,182.08,176.3,api,No Holiday,Standard 14-day window ending 2026-07-06
Bashundhara,BiLSTM,2026-07-08,9,171.73,180.67,175.21,api,No Holiday,Standard 14-day window ending 2026-07-07
Bashundhara,BiLSTM,2026-07-09,10,173.33,183.23,178.54,api,No Holiday,Standard 14-day window ending 2026-07-08
Bashundhara,BiLSTM,2026-07-10,11,171.77,185.35,181.44,api,No Holiday,Standard 14-day window ending 2026-07-09
Bashundhara,BiLSTM,2026-07-11,12,177.66,190.64,187.8,api,No Holiday,Standard 14-day window ending 2026-07-10
Bashundhara,BiLSTM,2026-07-12,13,184.55,198.18,196.59,api,No Holiday,Standard 14-day window ending 2026-07-11
Bashundhara,BiLSTM,2026-07-13,14,186.36,198.83,197.76,api,No Holiday,Standard 14-day window ending 2026-07-12
