substation,model,horizon,n,r2,rmse,mae,mape_pct
Bashundhara,BiLSTM,1,36,0.5339221177612321,21.794517018380304,17.503479219037654,9.783094541784283
Bashundhara,BiLSTM,2,37,0.3230165940709867,27.06727682851363,23.67456758811267,13.235581708133202
Bashundhara,BiLSTM,3,38,0.2004270619617612,20.97096025045817,17.35410775686567,10.735706010511924
Bashundhara,BiLSTM,4,37,0.14378363056611954,27.902109447516175,24.899619071334627,14.579720687856812
Bashundhara,BiLSTM,5,38,0.020045356933238723,29.918363709358275,26.590580048200366,15.007792621183103
Bashundhara,BiLSTM,6,38,-0.08750955219631806,29.922139190427206,26.652558149946387,15.358103565220585
Bashundhara,BiLSTM,7,37,-0.12252749564316212,32.73657455805683,29.945092072486904,17.35982214278443
Bashundhara,BiLSTM,8,37,-0.073502995288794,32.01998227169079,29.1525315677677,17.79725744824736
Bashundhara,BiLSTM,9,38,-0.2472760347918117,32.73684777960846,28.77435779479776,16.984918013819136
Bashundhara,BiLSTM,10,38,-0.16963109661360143,24.890348612664404,20.407653949354838,12.953599255508621
Bashundhara,BiLSTM,11,37,-0.12344461882168578,29.693677102751,24.844136397959442,14.797309089499706
Bashundhara,BiLSTM,12,38,0.21050658330456218,28.181637290755948,24.28965601805797,14.041729558636174
Bashundhara,BiLSTM,13,37,-0.0048143395045139314,28.59781808098516,24.232741340938485,13.876787558686091
Bashundhara,BiLSTM,14,37,-0.11315190257019148,32.69339959117635,28.25203939078228,15.703720926401141
