substation,model,horizon,n,r2,rmse,mae,mape_pct
Dhanmondi,BiGRU,1,36,0.8370665551166023,12.176158636497986,9.022310634619664,9.736633482958993
Dhanmondi,BiGRU,2,37,0.8225230551374458,12.96223642470598,8.610465273663806,10.16237538065797
Dhanmondi,BiGRU,3,38,0.7455600758193242,9.67656269517981,7.461670616582823,8.90801952125666
Dhanmondi,BiGRU,4,37,0.7548800896430461,14.05806927655407,10.824971029242958,10.83932724949657
Dhanmondi,BiGRU,5,38,0.7149244414120373,16.074477168867535,13.523865377746137,12.705167973608015
Dhanmondi,BiGRU,6,38,0.810910790360741,12.126012362793622,9.811724401226174,9.493313831120034
Dhanmondi,BiGRU,7,37,0.5842095614108473,17.915609438969067,15.420174933929705,17.784634737700607
Dhanmondi,BiGRU,8,37,0.7416423302656706,17.300984644099213,13.854510973917476,14.415273085688598
Dhanmondi,BiGRU,9,38,0.7263622117010917,15.438389881694132,12.641296934454067,13.979246535149716
Dhanmondi,BiGRU,10,38,0.45265849561615246,14.893779181205458,12.031921603413009,14.906501056782151
Dhanmondi,BiGRU,11,37,0.4610082165013444,20.522970019601278,16.482166564222933,17.246406731645926
Dhanmondi,BiGRU,12,38,0.4482139183993008,23.48793990532342,19.728105049070564,20.291564566810553
Dhanmondi,BiGRU,13,37,0.5681373632799628,18.845482172935235,15.187230081171602,15.130856408403796
Dhanmondi,BiGRU,14,37,0.4671309206393448,19.409377327824608,16.459634317417407,18.745366081461505
