substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Gulshan,CNN+BiLSTM+BiGRU,2026-06-30,1,133.4,133.92,132.89,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Gulshan,CNN+BiLSTM+BiGRU,2026-07-01,2,128.5,129.55,127.45,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Gulshan,CNN+BiLSTM+BiGRU,2026-07-02,3,126.75,128.13,125.36,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Gulshan,CNN+BiLSTM+BiGRU,2026-07-03,4,102.38,105.56,99.36,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Gulshan,CNN+BiLSTM+BiGRU,2026-07-04,5,113.89,115.95,111.36,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Gulshan,CNN+BiLSTM+BiGRU,2026-07-05,6,127.85,131.31,124.31,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Gulshan,CNN+BiLSTM+BiGRU,2026-07-06,7,129.26,131.1,125.12,api,No Holiday,Standard 14-day window ending 2026-07-05
Gulshan,CNN+BiLSTM+BiGRU,2026-07-07,8,128.86,130.72,124.56,api,No Holiday,Standard 14-day window ending 2026-07-06
Gulshan,CNN+BiLSTM+BiGRU,2026-07-08,9,124.29,128.12,122.42,api,No Holiday,Standard 14-day window ending 2026-07-07
Gulshan,CNN+BiLSTM+BiGRU,2026-07-09,10,121.25,126.83,121.07,api,No Holiday,Standard 14-day window ending 2026-07-08
Gulshan,CNN+BiLSTM+BiGRU,2026-07-10,11,89.79,103.86,93.2,api,No Holiday,Standard 14-day window ending 2026-07-09
Gulshan,CNN+BiLSTM+BiGRU,2026-07-11,12,106.03,114.8,107.43,api,No Holiday,Standard 14-day window ending 2026-07-10
Gulshan,CNN+BiLSTM+BiGRU,2026-07-12,13,118.8,130.51,120.69,api,No Holiday,Standard 14-day window ending 2026-07-11
Gulshan,CNN+BiLSTM+BiGRU,2026-07-13,14,124.43,131.85,123.96,api,No Holiday,Standard 14-day window ending 2026-07-12
