substation,model,horizon,n,r2,rmse,mae,mape_pct
Gulshan,CNN+BiLSTM+BiGRU,1,36,0.8786958483452568,9.821748938346197,7.58878859049744,7.901470637915935
Gulshan,CNN+BiLSTM+BiGRU,2,37,0.8660762339343478,10.933766967717968,8.03006798028946,8.630988098200906
Gulshan,CNN+BiLSTM+BiGRU,3,38,0.6242117040390578,10.245936708443615,8.534643676720167,11.102929700397382
Gulshan,CNN+BiLSTM+BiGRU,4,37,0.8437461595326675,9.597329235607058,6.946637019917771,7.721410397549078
Gulshan,CNN+BiLSTM+BiGRU,5,38,0.7887281633484519,12.864277644607137,10.056519436208825,9.753104774930778
Gulshan,CNN+BiLSTM+BiGRU,6,38,0.6558329974212813,15.087214692828459,10.28824351492681,9.97391137281083
Gulshan,CNN+BiLSTM+BiGRU,7,37,0.8091460777071721,12.167680784356463,9.290940534424138,9.463719869597561
Gulshan,CNN+BiLSTM+BiGRU,8,37,0.6649505273221681,17.04150103538819,12.532871528251752,12.236149094230301
Gulshan,CNN+BiLSTM+BiGRU,9,38,0.5778346267617526,17.378962413592017,12.1786395797604,12.478461175130553
Gulshan,CNN+BiLSTM+BiGRU,10,38,0.17530773015095502,14.277836629374045,10.486815173374978,14.169503066038015
Gulshan,CNN+BiLSTM+BiGRU,11,37,0.3699986057334147,18.120580513800256,12.386807290283409,13.756017125424002
Gulshan,CNN+BiLSTM+BiGRU,12,38,0.4938231119003351,19.605942269275324,13.488840070210005,13.406118420209957
Gulshan,CNN+BiLSTM+BiGRU,13,37,0.4268865189090355,19.462676485629995,13.23009704254769,13.114787254966737
Gulshan,CNN+BiLSTM+BiGRU,14,37,0.5791063096549333,17.36273060195207,12.151379511163041,11.922081092204492
