substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Hasnabad,BiGRU,2026-06-30,1,97.21,98.47,96.01,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Hasnabad,BiGRU,2026-07-01,2,94.86,96.93,92.94,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Hasnabad,BiGRU,2026-07-02,3,93.45,96.12,90.89,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Hasnabad,BiGRU,2026-07-03,4,89.12,92.24,86.3,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Hasnabad,BiGRU,2026-07-04,5,89.51,93.16,86.09,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Hasnabad,BiGRU,2026-07-05,6,94.61,99.21,90.61,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Hasnabad,BiGRU,2026-07-06,7,97.48,101.12,91.13,api,No Holiday,Standard 14-day window ending 2026-07-05
Hasnabad,BiGRU,2026-07-07,8,97.36,101.21,90.07,api,No Holiday,Standard 14-day window ending 2026-07-06
Hasnabad,BiGRU,2026-07-08,9,94.06,100.27,88.21,api,No Holiday,Standard 14-day window ending 2026-07-07
Hasnabad,BiGRU,2026-07-09,10,91.31,99.7,87.04,api,No Holiday,Standard 14-day window ending 2026-07-08
Hasnabad,BiGRU,2026-07-10,11,85.61,96.5,83.78,api,No Holiday,Standard 14-day window ending 2026-07-09
Hasnabad,BiGRU,2026-07-11,12,86.98,98.85,84.4,api,No Holiday,Standard 14-day window ending 2026-07-10
Hasnabad,BiGRU,2026-07-12,13,91.98,106.2,89.36,api,No Holiday,Standard 14-day window ending 2026-07-11
Hasnabad,BiGRU,2026-07-13,14,94.47,109.88,90.62,api,No Holiday,Standard 14-day window ending 2026-07-12
