substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Kalyanpur,BiGRU,2026-06-30,1,127.75,128.07,127.41,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Kalyanpur,BiGRU,2026-07-01,2,123.16,123.68,122.64,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Kalyanpur,BiGRU,2026-07-02,3,119.06,119.71,118.41,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Kalyanpur,BiGRU,2026-07-03,4,116.37,117.14,115.59,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Kalyanpur,BiGRU,2026-07-04,5,115.95,116.8,115.09,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Kalyanpur,BiGRU,2026-07-05,6,116.13,117.05,115.19,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Kalyanpur,BiGRU,2026-07-06,7,114.95,116.39,114.33,api,No Holiday,Standard 14-day window ending 2026-07-05
Kalyanpur,BiGRU,2026-07-07,8,114.59,115.51,113.35,api,No Holiday,Standard 14-day window ending 2026-07-06
Kalyanpur,BiGRU,2026-07-08,9,111.44,114.37,112.16,api,No Holiday,Standard 14-day window ending 2026-07-07
Kalyanpur,BiGRU,2026-07-09,10,108.79,112.84,110.63,api,No Holiday,Standard 14-day window ending 2026-07-08
Kalyanpur,BiGRU,2026-07-10,11,105.79,111.72,109.47,api,No Holiday,Standard 14-day window ending 2026-07-09
Kalyanpur,BiGRU,2026-07-11,12,107.14,112.64,110.34,api,No Holiday,Standard 14-day window ending 2026-07-10
Kalyanpur,BiGRU,2026-07-12,13,107.95,113.66,111.23,api,No Holiday,Standard 14-day window ending 2026-07-11
Kalyanpur,BiGRU,2026-07-13,14,108.01,113.79,111.14,api,No Holiday,Standard 14-day window ending 2026-07-12
