substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Madartek,BiGRU,2026-06-30,1,87.39,87.49,87.3,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Madartek,BiGRU,2026-07-01,2,85.25,85.38,85.13,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Madartek,BiGRU,2026-07-02,3,83.79,83.92,83.67,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Madartek,BiGRU,2026-07-03,4,82.7,82.84,82.55,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Madartek,BiGRU,2026-07-04,5,82.23,82.39,82.07,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Madartek,BiGRU,2026-07-05,6,82.27,82.47,82.07,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Madartek,BiGRU,2026-07-06,7,81.64,82.51,81.98,api,No Holiday,Standard 14-day window ending 2026-07-05
Madartek,BiGRU,2026-07-07,8,82.22,82.51,81.97,api,No Holiday,Standard 14-day window ending 2026-07-06
Madartek,BiGRU,2026-07-08,9,80.28,82.47,81.99,api,No Holiday,Standard 14-day window ending 2026-07-07
Madartek,BiGRU,2026-07-09,10,79.4,82.55,82.17,api,No Holiday,Standard 14-day window ending 2026-07-08
Madartek,BiGRU,2026-07-10,11,77.92,82.79,82.48,api,No Holiday,Standard 14-day window ending 2026-07-09
Madartek,BiGRU,2026-07-11,12,79.1,83.5,83.26,api,No Holiday,Standard 14-day window ending 2026-07-10
Madartek,BiGRU,2026-07-12,13,79.91,84.53,84.27,api,No Holiday,Standard 14-day window ending 2026-07-11
Madartek,BiGRU,2026-07-13,14,80.41,85.3,84.98,api,No Holiday,Standard 14-day window ending 2026-07-12
