substation,model,horizon,n,r2,rmse,mae,mape_pct
Madartek,BiGRU,1,35,0.9256204160063735,4.510113637009907,3.551707871300834,4.60672425129371
Madartek,BiGRU,2,37,0.889894007976742,5.529491251887441,4.6484161683675405,6.383717247764466
Madartek,BiGRU,3,36,0.735849544794306,6.863514606149297,5.21689399447706,6.985347350482984
Madartek,BiGRU,4,37,0.8076248189573244,6.889124597825319,5.771510850158897,7.466831262447182
Madartek,BiGRU,5,38,0.8346893497322623,6.787734017391861,5.631127817505285,6.937342123498219
Madartek,BiGRU,6,37,0.7235383670890383,8.745757800616742,6.697979039630374,8.267006079860598
Madartek,BiGRU,7,37,0.7943250824663279,7.373927103284589,6.217433778466405,8.013238354027106
Madartek,BiGRU,8,37,0.7055446852084278,9.213356660759374,7.468174143030837,9.82686384772193
Madartek,BiGRU,9,37,0.6684627549298547,9.016429197255224,7.182670517289961,10.098191634633407
Madartek,BiGRU,10,37,0.6040716610076255,7.761830782771569,6.427447854441565,8.92898410946336
Madartek,BiGRU,11,37,0.7196662745471825,7.511633750956642,6.4282978539209115,8.354357117316432
Madartek,BiGRU,12,37,0.8230735336230519,6.795870392847646,5.629088320538805,7.590104843015606
Madartek,BiGRU,13,36,0.7914360220024337,6.9925246504025695,5.829983840783437,7.662931098400581
Madartek,BiGRU,14,37,0.7991553742150115,7.105734759561755,5.782303716878633,7.761939752821337
