substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Maniknagar,BiGRU,2026-06-30,1,80.71,81.13,80.3,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Maniknagar,BiGRU,2026-07-01,2,79.47,80.09,78.84,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Maniknagar,BiGRU,2026-07-02,3,77.3,78.13,76.47,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Maniknagar,BiGRU,2026-07-03,4,65.25,65.91,64.54,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Maniknagar,BiGRU,2026-07-04,5,67.76,68.4,66.94,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Maniknagar,BiGRU,2026-07-05,6,77.31,78.36,76.18,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Maniknagar,BiGRU,2026-07-06,7,75.96,78.07,75.5,api,No Holiday,Standard 14-day window ending 2026-07-05
Maniknagar,BiGRU,2026-07-07,8,76.27,78.06,75.22,api,No Holiday,Standard 14-day window ending 2026-07-06
Maniknagar,BiGRU,2026-07-08,9,72.86,77.56,74.59,api,No Holiday,Standard 14-day window ending 2026-07-07
Maniknagar,BiGRU,2026-07-09,10,71.26,76.51,73.5,api,No Holiday,Standard 14-day window ending 2026-07-08
Maniknagar,BiGRU,2026-07-10,11,60.2,65.01,62.83,api,No Holiday,Standard 14-day window ending 2026-07-09
Maniknagar,BiGRU,2026-07-11,12,63.34,67.99,65.58,api,No Holiday,Standard 14-day window ending 2026-07-10
Maniknagar,BiGRU,2026-07-12,13,72.03,78.62,75.8,api,No Holiday,Standard 14-day window ending 2026-07-11
Maniknagar,BiGRU,2026-07-13,14,71.78,78.54,75.55,api,No Holiday,Standard 14-day window ending 2026-07-12
