substation,model,horizon,n,r2,rmse,mae,mape_pct
Maniknagar,CNN+BiGRU+BiLSTM,1,36,0.8165438782554046,6.149174342374253,4.996822563310464,8.182437504073482
Maniknagar,CNN+BiGRU+BiLSTM,2,37,0.7828972659421456,6.854668990609934,5.206813026924391,9.046837307921768
Maniknagar,CNN+BiGRU+BiLSTM,3,37,0.592912796285352,7.294258585847205,5.689494771731867,9.324867298878884
Maniknagar,CNN+BiGRU+BiLSTM,4,36,0.6558250523492903,8.282846102943207,6.177326416803731,10.46287847885167
Maniknagar,CNN+BiGRU+BiLSTM,5,37,0.5913283494138311,10.066619964033647,7.30292846463822,13.273765589725606
Maniknagar,CNN+BiGRU+BiLSTM,6,37,0.6242153754836087,8.376746795554078,6.815861459519412,11.01779433301688
Maniknagar,CNN+BiGRU+BiLSTM,7,37,0.7006395513643835,7.83604879016444,6.431148430785617,11.013745302083388
Maniknagar,CNN+BiGRU+BiLSTM,8,37,0.6492814587843951,9.386585011737811,8.064854793451929,13.53287500852009
Maniknagar,CNN+BiGRU+BiLSTM,9,37,0.6086955828524143,8.645064652684605,7.235898170116785,12.15352076674412
Maniknagar,CNN+BiGRU+BiLSTM,10,36,0.5393486437429362,7.141732411289481,5.799197567005952,9.826025976564276
Maniknagar,CNN+BiGRU+BiLSTM,11,36,0.5927232164665273,8.745772026505502,7.549096655514505,13.064834498605283
Maniknagar,CNN+BiGRU+BiLSTM,12,36,0.65392766936412,8.718777660417611,7.293205588228172,12.294689915118331
Maniknagar,CNN+BiGRU+BiLSTM,13,37,0.6888546264588185,8.035832077233772,6.479600388456035,10.813135177624423
Maniknagar,CNN+BiGRU+BiLSTM,14,36,0.6625582137780921,8.73441262106405,7.7253396900163755,12.518284403162797
