substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Matual,BiGRU+BiLSTM,2026-06-30,1,77.36,77.52,77.19,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Matual,BiGRU+BiLSTM,2026-07-01,2,75.35,75.6,75.09,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Matual,BiGRU+BiLSTM,2026-07-02,3,73.97,74.33,73.61,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Matual,BiGRU+BiLSTM,2026-07-03,4,67.41,67.93,66.79,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Matual,BiGRU+BiLSTM,2026-07-04,5,71.99,72.46,71.48,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Matual,BiGRU+BiLSTM,2026-07-05,6,72.44,73.02,71.83,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Matual,BiGRU+BiLSTM,2026-07-06,7,72.2,72.52,71.32,api,No Holiday,Standard 14-day window ending 2026-07-05
Matual,BiGRU+BiLSTM,2026-07-07,8,72.06,72.49,71.18,api,No Holiday,Standard 14-day window ending 2026-07-06
Matual,BiGRU+BiLSTM,2026-07-08,9,70.28,71.34,70.02,api,No Holiday,Standard 14-day window ending 2026-07-07
Matual,BiGRU+BiLSTM,2026-07-09,10,69.68,70.99,69.6,api,No Holiday,Standard 14-day window ending 2026-07-08
Matual,BiGRU+BiLSTM,2026-07-10,11,61.77,64.44,62.84,api,No Holiday,Standard 14-day window ending 2026-07-09
Matual,BiGRU+BiLSTM,2026-07-11,12,68.05,70.02,68.65,api,No Holiday,Standard 14-day window ending 2026-07-10
Matual,BiGRU+BiLSTM,2026-07-12,13,68.68,71.15,69.69,api,No Holiday,Standard 14-day window ending 2026-07-11
Matual,BiGRU+BiLSTM,2026-07-13,14,69.02,71.1,69.65,api,No Holiday,Standard 14-day window ending 2026-07-12
