substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Mirpur,BiGRU,2026-06-30,1,156.76,157.08,156.43,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Mirpur,BiGRU,2026-07-01,2,153.38,153.88,152.87,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Mirpur,BiGRU,2026-07-02,3,148.97,149.61,148.33,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Mirpur,BiGRU,2026-07-03,4,144.42,145.2,143.64,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Mirpur,BiGRU,2026-07-04,5,144.72,145.59,143.84,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Mirpur,BiGRU,2026-07-05,6,146.85,147.8,145.89,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Mirpur,BiGRU,2026-07-06,7,146.5,148.0,145.85,api,No Holiday,Standard 14-day window ending 2026-07-05
Mirpur,BiGRU,2026-07-07,8,146.39,147.36,145.09,api,No Holiday,Standard 14-day window ending 2026-07-06
Mirpur,BiGRU,2026-07-08,9,143.23,146.37,144.04,api,No Holiday,Standard 14-day window ending 2026-07-07
Mirpur,BiGRU,2026-07-09,10,140.01,144.27,141.91,api,No Holiday,Standard 14-day window ending 2026-07-08
Mirpur,BiGRU,2026-07-10,11,134.43,140.82,138.35,api,No Holiday,Standard 14-day window ending 2026-07-09
Mirpur,BiGRU,2026-07-11,12,136.42,142.33,139.71,api,No Holiday,Standard 14-day window ending 2026-07-10
Mirpur,BiGRU,2026-07-12,13,139.07,145.34,142.5,api,No Holiday,Standard 14-day window ending 2026-07-11
Mirpur,BiGRU,2026-07-13,14,139.67,146.19,142.97,api,No Holiday,Standard 14-day window ending 2026-07-12
