substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Narinda,CNN+BiLSTM+BiGRU,2026-06-30,1,77.77,77.88,77.67,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Narinda,CNN+BiLSTM+BiGRU,2026-07-01,2,77.5,78.11,76.88,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Narinda,CNN+BiLSTM+BiGRU,2026-07-02,3,75.89,76.65,75.12,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Narinda,CNN+BiLSTM+BiGRU,2026-07-03,4,55.18,55.72,54.68,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Narinda,CNN+BiLSTM+BiGRU,2026-07-04,5,70.61,71.34,69.91,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Narinda,CNN+BiLSTM+BiGRU,2026-07-05,6,74.9,75.6,74.2,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Narinda,CNN+BiLSTM+BiGRU,2026-07-06,7,74.99,76.06,74.3,api,No Holiday,Standard 14-day window ending 2026-07-05
Narinda,CNN+BiLSTM+BiGRU,2026-07-07,8,74.03,76.04,73.7,api,No Holiday,Standard 14-day window ending 2026-07-06
Narinda,CNN+BiLSTM+BiGRU,2026-07-08,9,72.5,76.6,74.17,api,No Holiday,Standard 14-day window ending 2026-07-07
Narinda,CNN+BiLSTM+BiGRU,2026-07-09,10,69.48,75.9,73.25,api,No Holiday,Standard 14-day window ending 2026-07-08
Narinda,CNN+BiLSTM+BiGRU,2026-07-10,11,49.55,55.19,53.31,api,No Holiday,Standard 14-day window ending 2026-07-09
Narinda,CNN+BiLSTM+BiGRU,2026-07-11,12,66.22,71.54,69.6,api,No Holiday,Standard 14-day window ending 2026-07-10
Narinda,CNN+BiLSTM+BiGRU,2026-07-12,13,70.56,76.04,74.39,api,No Holiday,Standard 14-day window ending 2026-07-11
Narinda,CNN+BiLSTM+BiGRU,2026-07-13,14,71.16,77.08,75.27,api,No Holiday,Standard 14-day window ending 2026-07-12
