substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Savar,BiGRU,2026-06-30,1,214.97,215.31,214.62,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Savar,BiGRU,2026-07-01,2,215.58,215.97,215.18,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Savar,BiGRU,2026-07-02,3,210.86,211.28,210.43,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Savar,BiGRU,2026-07-03,4,190.61,191.1,190.11,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Savar,BiGRU,2026-07-04,5,196.05,196.42,195.67,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Savar,BiGRU,2026-07-05,6,206.53,207.03,206.02,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Savar,BiGRU,2026-07-06,7,208.09,208.57,207.41,api,No Holiday,Standard 14-day window ending 2026-07-05
Savar,BiGRU,2026-07-07,8,209.98,209.97,208.74,api,No Holiday,Standard 14-day window ending 2026-07-06
Savar,BiGRU,2026-07-08,9,211.09,212.64,211.4,api,No Holiday,Standard 14-day window ending 2026-07-07
Savar,BiGRU,2026-07-09,10,206.47,208.98,207.78,api,No Holiday,Standard 14-day window ending 2026-07-08
Savar,BiGRU,2026-07-10,11,184.51,188.59,187.32,api,No Holiday,Standard 14-day window ending 2026-07-09
Savar,BiGRU,2026-07-11,12,192.75,195.56,194.62,api,No Holiday,Standard 14-day window ending 2026-07-10
Savar,BiGRU,2026-07-12,13,203.6,206.99,205.78,api,No Holiday,Standard 14-day window ending 2026-07-11
Savar,BiGRU,2026-07-13,14,205.26,208.69,207.37,api,No Holiday,Standard 14-day window ending 2026-07-12
