substation,model,horizon,n,r2,rmse,mae,mape_pct
Savar,BiGRU,1,36,0.6795123572705316,21.954578635701687,16.12671041663323,9.813689552393488
Savar,BiGRU,2,36,0.6631252775676557,22.9506361876203,15.78301432078912,10.48732059414849
Savar,BiGRU,3,38,0.2676188806275124,25.62304860772017,20.261699877224434,14.721748892911451
Savar,BiGRU,4,37,0.5294150373731503,25.66492402320224,20.927334862045367,11.919408188481531
Savar,BiGRU,5,38,0.6081746900083382,20.473609665175296,15.945920331164439,9.105337968457713
Savar,BiGRU,6,38,0.6601732121447175,18.89775759653812,15.070078442582973,8.187017622801621
Savar,BiGRU,7,37,0.6872918946075679,18.78341070032168,15.58033145727339,8.955013656413506
Savar,BiGRU,8,36,0.6016401196891885,25.40103695695022,18.11692071787186,12.55539093351182
Savar,BiGRU,9,37,0.6586686615175217,22.71887623755964,16.526803118079105,10.19054545603884
Savar,BiGRU,10,38,0.26693796800684866,26.698814149888626,21.805702287217464,16.49787557666352
Savar,BiGRU,11,37,0.4031412346912293,29.38616929704732,23.956957426659184,13.160800100406247
Savar,BiGRU,12,38,0.48611644770841034,26.036388862145674,21.055204541008745,11.452799924410288
Savar,BiGRU,13,37,0.5160034752115386,23.151448330357272,19.589951136869384,10.432419341889917
Savar,BiGRU,14,37,0.4160362151357462,27.932112640573106,22.272108616087905,13.31723887500858
