substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Shyampur,BiGRU,2026-06-30,1,173.56,175.0,171.97,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Shyampur,BiGRU,2026-07-01,2,177.11,179.08,175.11,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Shyampur,BiGRU,2026-07-02,3,175.96,178.46,173.41,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Shyampur,BiGRU,2026-07-03,4,167.88,171.03,163.5,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Shyampur,BiGRU,2026-07-04,5,170.36,173.69,165.74,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Shyampur,BiGRU,2026-07-05,6,169.88,174.73,163.31,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Shyampur,BiGRU,2026-07-06,7,167.04,171.19,154.15,api,No Holiday,Standard 14-day window ending 2026-07-05
Shyampur,BiGRU,2026-07-07,8,167.11,172.88,150.71,api,No Holiday,Standard 14-day window ending 2026-07-06
Shyampur,BiGRU,2026-07-08,9,171.08,176.86,159.53,api,No Holiday,Standard 14-day window ending 2026-07-07
Shyampur,BiGRU,2026-07-09,10,168.15,174.94,158.23,api,No Holiday,Standard 14-day window ending 2026-07-08
Shyampur,BiGRU,2026-07-10,11,155.59,169.43,146.8,api,No Holiday,Standard 14-day window ending 2026-07-09
Shyampur,BiGRU,2026-07-11,12,158.73,173.12,148.84,api,No Holiday,Standard 14-day window ending 2026-07-10
Shyampur,BiGRU,2026-07-12,13,155.21,175.3,145.8,api,No Holiday,Standard 14-day window ending 2026-07-11
Shyampur,BiGRU,2026-07-13,14,147.83,173.09,135.74,api,No Holiday,Standard 14-day window ending 2026-07-12
