substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Ullon,BiGRU,2026-06-30,1,60.28,60.33,60.22,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Ullon,BiGRU,2026-07-01,2,60.07,60.14,59.99,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Ullon,BiGRU,2026-07-02,3,60.03,60.12,59.94,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Ullon,BiGRU,2026-07-03,4,58.69,58.8,58.58,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Ullon,BiGRU,2026-07-04,5,58.08,58.2,57.95,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Ullon,BiGRU,2026-07-05,6,59.11,59.25,58.97,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Ullon,BiGRU,2026-07-06,7,58.59,58.95,58.61,api,No Holiday,Standard 14-day window ending 2026-07-05
Ullon,BiGRU,2026-07-07,8,58.68,58.97,58.63,api,No Holiday,Standard 14-day window ending 2026-07-06
Ullon,BiGRU,2026-07-08,9,58.23,59.31,58.99,api,No Holiday,Standard 14-day window ending 2026-07-07
Ullon,BiGRU,2026-07-09,10,58.3,59.71,59.42,api,No Holiday,Standard 14-day window ending 2026-07-08
Ullon,BiGRU,2026-07-10,11,57.25,59.34,59.11,api,No Holiday,Standard 14-day window ending 2026-07-09
Ullon,BiGRU,2026-07-11,12,58.11,60.02,59.83,api,No Holiday,Standard 14-day window ending 2026-07-10
Ullon,BiGRU,2026-07-12,13,59.17,61.3,61.13,api,No Holiday,Standard 14-day window ending 2026-07-11
Ullon,BiGRU,2026-07-13,14,59.35,61.48,61.31,api,No Holiday,Standard 14-day window ending 2026-07-12
