substation,model,horizon,n,r2,rmse,mae,mape_pct
Ullon,BiGRU,1,36,0.7158470229957772,5.288977401957367,3.851774659094706,8.125646799565448
Ullon,BiGRU,2,37,0.6346782809479312,6.165225354007471,4.90729814978064,10.806955240949293
Ullon,BiGRU,3,38,0.6129843592679006,5.6553452297345395,4.379412761275707,8.602441423763368
Ullon,BiGRU,4,37,0.573664947015242,5.907226224150638,4.799236596206551,9.759171637432479
Ullon,BiGRU,5,38,0.5388158951034,6.398012240032809,4.9580139107296235,10.661522853461191
Ullon,BiGRU,6,38,0.3782075269974696,7.2643930658071625,5.474835782321656,11.636088551310653
Ullon,BiGRU,7,37,0.3329743900087948,7.1048970908577695,4.928324508598519,10.27525023862587
Ullon,BiGRU,8,37,0.2337326356491798,7.6481235921452715,5.661619189051346,12.500725735613722
Ullon,BiGRU,9,38,0.09231461990858758,8.418274613799552,6.653787686044436,15.450947423022907
Ullon,BiGRU,10,38,0.2191147151834154,7.949863774823284,6.532127304618291,13.778894347924862
Ullon,BiGRU,11,37,0.1662920090544575,10.398143627111128,7.538115489627854,24.7270419222144
Ullon,BiGRU,12,38,0.05006492916631056,10.910148383679811,8.61872828805916,21.944481393306596
Ullon,BiGRU,13,37,0.031676980167741564,9.294894682265797,7.464758352109698,16.453384910065978
Ullon,BiGRU,14,37,0.1133385141491472,8.961434468084807,7.236105291553435,15.594535445983453
