substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Uttara,CNN+BiGRU+BiLSTM,2026-06-30,1,98.74,99.03,98.45,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Uttara,CNN+BiGRU+BiLSTM,2026-07-01,2,94.66,95.68,93.62,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Uttara,CNN+BiGRU+BiLSTM,2026-07-02,3,93.19,94.48,91.99,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Uttara,CNN+BiGRU+BiLSTM,2026-07-03,4,88.23,89.79,86.52,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Uttara,CNN+BiGRU+BiLSTM,2026-07-04,5,88.38,90.37,86.24,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Uttara,CNN+BiGRU+BiLSTM,2026-07-05,6,90.51,92.99,87.9,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Uttara,CNN+BiGRU+BiLSTM,2026-07-06,7,89.84,91.52,86.32,api,No Holiday,Standard 14-day window ending 2026-07-05
Uttara,CNN+BiGRU+BiLSTM,2026-07-07,8,90.69,92.16,86.05,api,No Holiday,Standard 14-day window ending 2026-07-06
Uttara,CNN+BiGRU+BiLSTM,2026-07-08,9,88.49,91.32,85.09,api,No Holiday,Standard 14-day window ending 2026-07-07
Uttara,CNN+BiGRU+BiLSTM,2026-07-09,10,88.09,91.5,86.23,api,No Holiday,Standard 14-day window ending 2026-07-08
Uttara,CNN+BiGRU+BiLSTM,2026-07-10,11,83.95,88.27,83.23,api,No Holiday,Standard 14-day window ending 2026-07-09
Uttara,CNN+BiGRU+BiLSTM,2026-07-11,12,85.28,89.61,84.64,api,No Holiday,Standard 14-day window ending 2026-07-10
Uttara,CNN+BiGRU+BiLSTM,2026-07-12,13,88.13,92.59,87.62,api,No Holiday,Standard 14-day window ending 2026-07-11
Uttara,CNN+BiGRU+BiLSTM,2026-07-13,14,87.8,91.72,86.93,api,No Holiday,Standard 14-day window ending 2026-07-12
