substation,model,date,day_ahead,predicted_mw,predicted_mw_cool_wet,predicted_mw_hot_dry,weather_source,holiday_type,context
Uttara New,BiGRU,2026-06-30,1,59.54,59.86,59.22,climatology,No Holiday,Standard 14-day window ending 2026-06-29
Uttara New,BiGRU,2026-07-01,2,59.29,59.79,58.77,climatology,No Holiday,Standard 14-day window ending 2026-06-30
Uttara New,BiGRU,2026-07-02,3,60.29,60.91,59.64,climatology,No Holiday,Standard 14-day window ending 2026-07-01
Uttara New,BiGRU,2026-07-03,4,59.74,60.48,58.98,climatology,No Holiday,Standard 14-day window ending 2026-07-02
Uttara New,BiGRU,2026-07-04,5,60.27,61.07,59.44,climatology,No Holiday,Standard 14-day window ending 2026-07-03
Uttara New,BiGRU,2026-07-05,6,62.18,63.0,61.32,climatology,No Holiday,Standard 14-day window ending 2026-07-04
Uttara New,BiGRU,2026-07-06,7,62.2,62.93,61.13,api,No Holiday,Standard 14-day window ending 2026-07-05
Uttara New,BiGRU,2026-07-07,8,61.76,62.39,60.47,api,No Holiday,Standard 14-day window ending 2026-07-06
Uttara New,BiGRU,2026-07-08,9,60.99,62.42,60.37,api,No Holiday,Standard 14-day window ending 2026-07-07
Uttara New,BiGRU,2026-07-09,10,61.29,63.35,61.21,api,No Holiday,Standard 14-day window ending 2026-07-08
Uttara New,BiGRU,2026-07-10,11,60.0,62.99,60.68,api,No Holiday,Standard 14-day window ending 2026-07-09
Uttara New,BiGRU,2026-07-11,12,60.74,63.61,61.15,api,No Holiday,Standard 14-day window ending 2026-07-10
Uttara New,BiGRU,2026-07-12,13,62.59,65.54,62.97,api,No Holiday,Standard 14-day window ending 2026-07-11
Uttara New,BiGRU,2026-07-13,14,62.48,65.61,62.84,api,No Holiday,Standard 14-day window ending 2026-07-12
