substation,model,horizon_days,train_r2,val_r2,val_rmse,test_r2,test_rmse,test_mae,val_mape,test_mape,sigma_k_mw,z_beta_sigma_mw
Agargaon,BiLSTM,1,0.743892370869075,0.6831492058416642,12.238971002797797,0.5480488126317631,10.632932507335997,9.193852374135881,10.489582291757934,9.078175240381118,11.3751,14.5778
Agargaon,BiLSTM,2,0.7324132196817982,0.6417011236413293,12.9866134921583,0.49161809398357004,11.265444846881056,9.73108800984047,10.97307314435268,9.578035700661509,11.9695,15.3395
Agargaon,BiLSTM,3,0.7226202427042054,0.6156714432145982,13.413539787158609,0.452571515119642,11.686260745204107,10.072732875517511,11.320154517436059,9.90555796547727,12.3632,15.844
Agargaon,BiLSTM,4,0.7119424138005834,0.5937436589590128,13.740139447520601,0.4164431956172291,12.068298280326893,10.387092484532095,11.610123280208816,10.209710834443529,12.6372,16.1952
Agargaon,BiLSTM,5,0.7079650076421156,0.567671049675609,14.131124954262757,0.3527713794517693,12.701680147558244,10.958809767027503,11.96167171423808,10.74130651721564,12.8905,16.5198
Agargaon,BiLSTM,6,0.7080490134820756,0.563046964564748,14.161686428351588,0.34846067570884354,12.71373165223272,10.946228604735627,11.909552659037963,10.746239657577213,12.9257,16.565
Agargaon,BiLSTM,7,0.7046415259284168,0.5556959272017731,14.237605992180622,0.338583382124098,12.79302196377167,11.01385183933939,11.885457785789137,10.811811378214038,12.9921,16.6501
Agargaon,BiLSTM,8,0.7008993950104885,0.5156591226789875,14.793699537093119,0.22779509584121094,13.807035121217497,11.960102148247769,12.394727012598477,11.630225354303866,13.2163,16.9373
Agargaon,BiLSTM,9,0.6930487564966217,0.5296252138554534,14.524862116079424,0.2799783208113129,13.301103696419332,11.478516741323578,12.1208892871203,11.218790730446708,13.119,16.8127
Agargaon,BiLSTM,10,0.692573790408222,0.501284582180398,14.891130229726768,0.2052578857947739,13.937835680870922,12.076982547653726,12.422786792626285,11.738817338327651,13.2666,17.0019
Agargaon,BiLSTM,11,0.6839514158012943,0.5218730250681143,14.567165139947356,0.21350837118459953,13.834754168544942,11.998177379139184,12.262003423381476,11.689788073365971,13.016,16.6806
Agargaon,BiLSTM,12,0.6785628618404547,0.5036327107705492,14.784831907313395,0.16412016153320808,14.213868113264153,12.363117795792384,12.426267687694734,12.010598015024533,13.1184,16.812
Agargaon,BiLSTM,13,0.6750849443810134,0.5190920457717787,14.560218141590326,0.18621849737332963,13.980990629153764,12.147857923578535,12.168917780271359,11.832024146625368,13.0266,16.6943
Agargaon,BiLSTM,14,0.6727838049549864,0.5073559075245249,14.671718776105376,0.15368728385348351,14.219810413065264,12.37269123949869,12.126317884980264,12.015995358575402,12.996,16.655
Agargaon,BiLSTM,15,0.6716108117215933,0.4857274681052167,14.937606522724774,0.09261080122951382,14.68593788735472,12.810584914670795,12.26415247396995,12.380956987727016,13.0578,16.7342
Agargaon,BiGRU,1,0.6971540100056404,0.7500913430384192,10.869464691751267,0.7697064390018068,7.590112079820199,5.6939624888441465,10.163653440597331,6.1901601287745125,10.8837,13.9481
Agargaon,BiGRU,2,0.6723672322308412,0.7084551096830207,11.714558062910173,0.728265749374268,8.236173644623017,6.271368404151695,10.939207707331416,6.756711698207973,11.7273,15.0292
Agargaon,BiGRU,3,0.6574748446349882,0.6841335819589893,12.16028635566254,0.7008779545557339,8.638455238193226,6.517205548073321,11.214463447686738,7.014228470850774,12.1729,15.6002
Agargaon,BiGRU,4,0.6448605928882747,0.6646371565107649,12.483849824877673,0.6720246950218798,9.047425992071517,6.883241577821518,11.568547694547755,7.369931160517989,12.4905,16.0073
Agargaon,BiGRU,5,0.6415840106653846,0.6452785650569268,12.80009797142618,0.6318241470211368,9.579877731913296,7.5760584488078075,11.880498344672572,7.969830180764431,12.7634,16.3569
Agargaon,BiGRU,6,0.6354395972205519,0.6329988719720255,12.978702964750866,0.6157649638353222,9.763402768524106,7.659979236060153,12.024995956326713,8.079401304353004,12.9502,16.5963
Agargaon,BiGRU,7,0.6333465332207248,0.6216049953042603,13.139218060741896,0.6006926940935253,9.94006495909912,7.855977817114229,12.088339426721362,8.229360922721314,13.0839,16.7677
Agargaon,BiGRU,8,0.6363494888400765,0.6085492186121879,13.29963780991822,0.5814139473755522,10.165448127834278,8.14717584308869,12.141860546810085,8.463261196485629,13.1768,16.8868
Agargaon,BiGRU,9,0.6243672647519958,0.6086055845801221,13.249433622054752,0.5879702109816846,10.061881558151349,7.892724919201627,12.035888072036864,8.279576658347594,13.1884,16.9016
Agargaon,BiGRU,10,0.6242987582332605,0.600675418327561,13.324910083835434,0.5866231914828997,10.052064819844778,7.806783807698844,12.004104436697101,8.250457973653884,13.2681,17.0038
Agargaon,BiGRU,11,0.6147811622334365,0.6090818828909192,13.171836145830818,0.570896034730143,10.218935504467265,7.995890178707407,11.87393580954685,8.401496739277869,13.1084,16.7991
Agargaon,BiGRU,12,0.6076079766498903,0.6009202796837636,13.256981311815945,0.5486171438630816,10.445106836652045,8.294418229423602,11.915820047661132,8.652996536034642,13.1762,16.886
Agargaon,BiGRU,13,0.6017220260515828,0.5915311479187321,13.418883235310506,0.505899533977054,10.894107823486053,8.901784139891836,12.127136909241722,9.151006167336904,13.2599,16.9932
Agargaon,BiGRU,14,0.6069643394378217,0.5831871782854481,13.49537289770852,0.47891725435238364,11.157880848366132,9.205931242313023,11.99251903933284,9.393409678311649,13.2662,17.0013
Agargaon,BiGRU,15,0.605939624533752,0.5744963618541572,13.587388396280621,0.4805850303964817,11.111229434421727,9.161956380730524,12.100476720652907,9.34163574935948,13.33,17.0831
Agargaon,BiLSTM+BiGRU,1,0.708554223785885,0.6270820710870614,13.277739310504666,0.4051973928729693,12.198143076850352,10.573741522123784,11.969633368251788,10.287235977745254,12.3042,15.7685
Agargaon,BiLSTM+BiGRU,2,0.6990030996979015,0.6223530624977127,13.332640706740278,0.4461784519582793,11.758129195351453,10.15716474826999,11.928090263346784,9.955723336222299,12.5082,16.0299
Agargaon,BiLSTM+BiGRU,3,0.7052555028021679,0.6198627592593702,13.340198236440786,0.46456320678664387,11.557555343244786,9.919587775256831,11.868068299196922,9.764741265626938,12.6004,16.148
Agargaon,BiLSTM+BiGRU,4,0.6821981621094017,0.5541348687849684,14.394375206263225,0.2887995321698681,13.322952631359083,11.551941299578486,12.776416275213556,11.218195012932023,13.2187,16.9404
Agargaon,BiLSTM+BiGRU,5,0.6732705929367412,0.5471785293838696,14.462157364640415,0.2848900618646202,13.351151443982754,11.55110127089889,12.822836024301127,11.252940738653686,13.343,17.0998
Agargaon,BiLSTM+BiGRU,6,0.6721627067828586,0.5287732829938225,14.706609007427247,0.24998466082104243,13.640735781862235,11.843892051470162,12.91614475094308,11.53192798440899,13.4926,17.2915
