model,seed,train_r2,train_rmse,train_mae,train_n,val_r2,val_rmse,val_mae,val_n,test_r2,test_rmse,test_mae,test_n,substation
BiLSTM,42,0.8070282110445486,8.579651377063813,6.352140387510063,1397,0.8137666280155095,10.506783127502207,7.411516377130688,272,0.7990264105880371,10.66556492006697,8.782412508274637,536,Agargaon
BiGRU,42,0.8654644513400327,7.163763779173507,4.709042706025569,1397,0.8229707740564187,10.24385682428284,6.750727950880194,272,0.8584868572740659,8.949788184167323,7.138945881253971,536,Agargaon
BiLSTM+BiGRU,42,0.8076012254708824,8.566903609420306,6.378966499348156,1397,0.8224884824605224,10.257801317517819,7.07987381682786,272,0.7772367165205015,11.228873113353842,9.143289718177837,536,Agargaon
BiGRU+BiLSTM,42,0.8343470868064659,7.949178854922617,5.456641457830887,1397,0.8226313703098361,10.253671979137973,6.924077364732511,272,0.8112696538532834,10.335589146445464,8.513831252211066,536,Agargaon
CNN+BiLSTM+BiGRU,42,0.8095023460147572,8.524473117443542,6.197025170259302,1397,0.8071251455686186,10.69248919971082,7.17445465514765,272,0.7593183833383643,11.67174602931132,9.465589403819793,536,Agargaon
CNN+BiGRU+BiLSTM,42,0.7736423560341685,9.29223773100488,7.252196098488619,1397,0.7996032724275717,10.898991836143322,7.798224263182732,272,0.7380835456053756,12.175751070039711,9.639032180137487,536,Agargaon
BiLSTM,42,0.7625126562360799,4.312865215257438,2.9875049672067617,1278,0.5760622493176699,3.888185372016996,2.7660873085458952,210,0.7812837935968381,3.303322800686812,2.535982045547982,536,Bangabhaban
BiGRU,42,0.7417261847798199,4.49765190080433,3.0605434331470995,1278,0.5966232374200225,3.792725001168138,2.604572931499688,210,0.8157931718099533,3.0315406429527,2.2558324643146777,536,Bangabhaban
BiLSTM+BiGRU,42,0.7514452528014701,4.4122151547558675,3.035468755137809,1278,0.5881394543744795,3.832401590149337,2.616435895976557,210,0.8033090411677236,3.132584043879639,2.3544953661445667,536,Bangabhaban
BiGRU+BiLSTM,42,0.7215074532765624,4.67038238014468,3.1509402245344305,1278,0.6058166906727223,3.7492554553801916,2.530026799596476,210,0.799127763755977,3.1657053485933853,2.3425354628265067,536,Bangabhaban
CNN+BiLSTM+BiGRU,42,0.8143465647361618,3.813266390778146,2.3995440771831156,1278,0.5665044628387119,3.931771151623778,2.7966607511724564,210,0.8014712984130561,3.1471843565887627,2.463570186243349,536,Bangabhaban
CNN+BiGRU+BiLSTM,42,0.7742314985603463,4.2051096628271205,2.8338641590295754,1278,0.5946734536742533,3.8018803114966353,2.564147065398236,210,0.8367910550928781,2.8535304506967405,2.1613372621807745,536,Bangabhaban
BiLSTM,42,0.6924985583512787,35.722562694236025,23.87505995198292,1289,0.5224571074964401,44.52184469363495,26.941149214302573,269,0.510877920438862,21.19803241895293,18.17336553293575,536,Bashundhara
BiGRU,42,0.7267725407060804,33.672952743098286,20.680845420734073,1289,0.4975945257462676,45.66612267243014,29.422788116395967,269,0.781360299012066,14.172662018841113,11.15619485451521,536,Bashundhara
BiLSTM+BiGRU,42,0.7087975954683698,34.76294068271468,22.062171394807528,1289,0.5114806481988579,45.03061140179655,28.942853823658425,269,0.3715492486507278,24.02827219157118,21.186780647872908,536,Bashundhara
BiGRU+BiLSTM,42,0.7121115172761612,34.564571273184235,21.505832749121897,1289,0.5132999178638817,44.94668510644274,26.704322218749823,269,0.6510511899906555,17.90473010626616,15.214446515294457,536,Bashundhara
CNN+BiLSTM+BiGRU,42,0.7102753080111444,34.67462587553832,21.896095932335275,1289,0.5180617046772866,44.726269478463784,25.12156246915238,269,0.6537851334488862,17.83445220998906,14.496143946582055,536,Bashundhara
