model,substation,n_runs,train_r2,train_r2_std,val_r2,val_r2_std,test_r2,test_r2_std,test_rmse,test_rmse_std,test_mae,test_mae_std,train_rmse,train_rmse_std,train_mae,train_mae_std,val_rmse,val_rmse_std,val_mae,val_mae_std,train_n,val_n,test_n,test_r2_min,test_r2_max,best_seed
BiLSTM,Agargaon,1.0,0.6745656280205041,0.0,0.6137226817666553,0.0,0.789982926505102,0.0,10.902890997594037,0.0,8.808662751714852,0.0,10.861990067993647,0.0,8.685478582862952,0.0,11.395654855560512,0.0,8.798184910074706,0.0,1558.0,197.0,536,0.789982926505102,0.789982926505102,42.0
BiGRU,Agargaon,1.0,0.7851004642687477,0.0,0.6270560775998282,0.0,0.8716954233373446,0.0,8.521880560927894,0.0,6.710963438619207,0.0,8.82664031811533,0.0,6.467214707084747,0.0,11.197251949947676,0.0,8.484832848535877,0.0,1558.0,197.0,536,0.8716954233373446,0.8716954233373446,42.0
BiLSTM+BiGRU,Agargaon,1.0,0.7748150873656737,0.0,0.6200654503433178,0.0,0.8238631566883466,0.0,9.984802372089156,0.0,8.095866454468846,0.0,9.035399002771701,0.0,6.726232285061625,0.0,11.30170787329951,0.0,8.634950603939554,0.0,1558.0,197.0,536,0.8238631566883466,0.8238631566883466,42.0
BiGRU+BiLSTM,Agargaon,1.0,0.7825156360376261,0.0,0.6094756442740845,0.0,0.8431399696332118,0.0,9.422594817675831,0.0,7.45170256639511,0.0,8.879565403159333,0.0,6.522954287160004,0.0,11.458130008330864,0.0,8.74970039729615,0.0,1558.0,197.0,536,0.8431399696332118,0.8431399696332118,42.0
CNN+BiLSTM+BiGRU,Agargaon,1.0,0.594774600429786,0.0,0.525183482920742,0.0,0.6687374699419315,0.0,13.693060476063824,0.0,10.867962598656096,0.0,12.120653070378767,0.0,9.863549625479038,0.0,12.634340942811448,0.0,9.87099623423164,0.0,1558.0,197.0,536,0.6687374699419315,0.6687374699419315,42.0
CNN+BiGRU+BiLSTM,Agargaon,1.0,0.7693016360197917,0.0,0.548182288656637,0.0,0.8058662329810385,0.0,10.482500936532153,0.0,8.13986840976986,0.0,9.14534194364688,0.0,6.947071900900564,0.0,12.324556752025355,0.0,9.40561135244551,0.0,1558.0,197.0,536,0.8058662329810385,0.8058662329810385,42.0
Naive-Persistence,Agargaon,,,,,,0.8398270694091653,,9.521578007935137,,7.130597014925373,,,,,,,,,,,,536,,,
Naive-Seasonal7,Agargaon,,,,,,0.48415970507460904,,17.08724321232114,,12.037313432835822,,,,,,,,,,,,536,,,
BiLSTM,Bangabhaban,1.0,0.7669726551363818,0.0,0.2784615884641929,0.0,0.7711833687871661,0.0,3.37873652317512,0.0,2.610154277777962,0.0,4.227236499896183,0.0,2.889365662266242,0.0,6.443579832769626,0.0,4.898211860310187,0.0,1402.0,172.0,536,0.7711833687871661,0.7711833687871661,42.0
BiGRU,Bangabhaban,1.0,0.7746775212650604,0.0,0.3165669779608308,0.0,0.805800983320612,0.0,3.112676924021075,0.0,2.3521390267194895,0.0,4.156763946161458,0.0,2.7815156880484966,0.0,6.2711251109346495,0.0,4.672659604788518,0.0,1402.0,172.0,536,0.805800983320612,0.805800983320612,42.0
