substation,model,train_r2,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,val_mape,test_mape,val_r2_lead1,val_r2_lead7,val_r2_lead15,test_r2_lead1,test_r2_lead7,test_r2_lead15,sigma_1_mw,sigma_15_mw,horizon,weight_mode,epochs_run,train_seconds
Agargaon,BiLSTM,0.7000026383148632,0.5536619632702505,14.17606089833405,11.412311571194222,0.2981115648172231,13.056180390213418,11.300779109668873,11.889045182364235,11.039202219891122,0.6831492058416642,0.5556959272017731,0.4857274681052167,0.5480488126317631,0.338583382124098,0.09261080122951382,11.375086548063347,13.057753202048215,15,uniform,61,102.9
Agargaon,BiGRU,0.6336171641065481,0.6322831130451531,12.863374762325028,10.406153673437954,0.6040052660041969,9.793477824497874,7.724297217461896,11.73809650665756,8.10289763766651,0.7500913430384192,0.6216049953042603,0.5744963618541572,0.7697064390018068,0.6006926940935253,0.4805850303964817,10.883734650085932,13.33003279931966,15,uniform,49,80.5
Agargaon,BiLSTM+BiGRU,0.6704726774691936,0.53197137871787,14.523804191879572,11.961547393718954,0.2272465038142035,13.7063807951643,11.891012709627953,12.678197771919343,11.539011867885735,0.6270820710870614,0.5280059803885532,0.46630475602978194,0.4051973928729693,0.24776453630107476,0.010913312877916526,12.304228153166667,13.36381053883992,15,uniform,43,71.0
Agargaon,BiGRU+BiLSTM,0.6858989242807354,0.5555480493235301,14.146774362098338,11.548716356470104,0.30427816393795426,13.00638226248622,11.294375850955113,12.188553237707755,11.095371608669323,0.6819372331093506,0.5344247924900207,0.4745784707331595,0.5436630671480027,0.27222577814985705,0.09400246235815157,11.596077391049176,13.41370050749487,15,uniform,51,81.9
Agargaon,CNN+BiLSTM+BiGRU,0.6269407571702726,0.5074417171127716,14.926945481465317,12.14400073403427,0.04045385852040384,15.331004077010567,13.478079098611387,12.583360570574902,12.940503403733818,0.5612993635400456,0.5085678424507343,0.47934836480629506,0.16901176277126106,0.06632435539473058,-0.08738292941910042,12.689975173586495,12.536962369010281,15,uniform,63,104.6
Agargaon,CNN+BiGRU+BiLSTM,0.6603316188312972,0.46578598589962633,15.543751292168164,12.804715285444257,0.0344855108311523,15.377201420063749,13.47223297855396,13.371571216083984,12.934004534895035,0.5261199196317787,0.4542824087598928,0.4291962030722868,0.15458121093461652,0.019677497480937833,-0.09822043954602022,12.841250662979338,12.985022723705677,15,uniform,45,74.0
Bangabhaban,BiLSTM,0.5660230764155294,0.19912553732664004,6.744445575607035,5.209940163542518,0.4116928755140448,5.380382353445734,4.256626819134118,65.59356613538368,63.76442214022585,0.24799512188970962,0.20058022428078337,0.2019991360585962,0.4264406019297501,0.425495624725409,0.39181737236274794,6.509809162501556,6.722367676332183,15,uniform,61,102.2
Bangabhaban,BiGRU,0.6479071208803242,0.1928188864091372,6.770090695711131,5.1473738986460065,0.49719266060439465,4.9716241678676285,3.8464498791974906,63.558418125568345,57.20648055708105,0.28508372578241403,0.17553534059671727,0.2168732947334291,0.566798020815904,0.5363387975460487,0.4930719537163254,6.3593372960966805,6.669098285765351,15,uniform,85,137.2
Bangabhaban,BiLSTM+BiGRU,0.6381247063231558,0.18917375268195286,6.785723238157066,5.179280368585169,0.4840138273296023,5.037716029033906,3.940769686891284,63.59582150477447,58.05597147810284,0.2659496715084565,0.17088517145815074,0.21038141919124953,0.5611447141667043,0.47396083896139773,0.5117561980804786,6.4497885629830405,6.7082741512676485,15,uniform,87,140.0
Bangabhaban,BiGRU+BiLSTM,0.6329260207465492,0.1901291600593046,6.781799763474314,5.183254278396597,0.45893975979496143,5.1575758795339555,4.026497716893925,64.3412444726147,60.715497476836234,0.2608210238697286,0.1726994844107611,0.2293890207319531,0.5533569636411595,0.4510809953071121,0.4941402796459129,6.46799959519853,6.618475044580029,15,uniform,88,143.5
