substation,model,val_r2,test_r2
Hasnabad,BiGRU,0.3274876614688595,0.4805550701687009
Ullon,BiGRU,0.5723926965233035,0.6456762103337227
Savar,CNN+BiGRU+BiLSTM,0.5932997366030297,0.7148577849007431
Bashundhara,CNN+BiLSTM+BiGRU,0.6842994326820981,0.7160893032523531
Shyampur,BiGRU,0.7006588315802462,0.7596388485009553
Lalbag,BiGRU,0.7619983406326629,0.7803565660094645
Dhanmondi,BiGRU+BiLSTM,0.5214621271476751,0.7836181031265417
Mirpur,BiGRU,0.6876709415973905,0.7843641116715224
Bangabhaban,CNN+BiGRU+BiLSTM,0.330107397495777,0.8054908731219058
Narinda,BiGRU,0.5187260815145198,0.8143417630260643
Maniknagar,CNN+BiGRU+BiLSTM,0.6430731448965598,0.8174320159618446
Uttara,BiGRU,0.6411019738973918,0.8206965209291531
Matual,BiGRU,0.5888388477205394,0.8278748069694497
Uttara New,BiLSTM+BiGRU,0.5401816819470933,0.8372210408099011
Gulshan,CNN+BiLSTM+BiGRU,0.6236423014526189,0.8653831132974859
Kalyanpur,BiGRU,0.7750249394262054,0.8668660334532959
Agargaon,BiGRU,0.6270560775998282,0.8716954233373446
Madartek,BiGRU,0.7255302689875308,0.8964775872568999
