nodeId,appliance_id,appliance_name,category,rated_power_w,actual_power_w,duty_cycle,quantity,household_id,label
APP_KSM0001_ceiling_fan_1,KSM0001_ceiling_fan_1,ceiling_fan,Curtailable,75,55.1,0.85,1,KHH0001,Appliance
APP_KSM0001_table_fan_1,KSM0001_table_fan_1,table_fan,Curtailable,45,47.7,0.8,1,KHH0001,Appliance
APP_KSM0001_refrigerator_1,KSM0001_refrigerator_1,refrigerator,Critical,150,188.7,0.42,1,KHH0001,Appliance
APP_KSM0001_led_light_1,KSM0001_led_light_1,led_light,Critical,10,12.9,1.0,4,KHH0001,Appliance
APP_KSM0001_electric_kettle_1,KSM0001_electric_kettle_1,electric_kettle,Schedulable,1800,1896.3,0.9,1,KHH0001,Appliance
APP_KSM0001_blender_mixer_1,KSM0001_blender_mixer_1,blender_mixer,Schedulable,400,452.5,0.9,1,KHH0001,Appliance
APP_KSM0001_computer_laptop_1,KSM0001_computer_laptop_1,computer_laptop,Curtailable,80,72.8,1.0,1,KHH0001,Appliance
APP_KSM0001_router_charger_standby_1,KSM0001_router_charger_standby_1,router_charger_standby,Critical,18,18.2,1.0,1,KHH0001,Appliance
APP_KSM0001_exhaust_fan_1,KSM0001_exhaust_fan_1,exhaust_fan,Curtailable,35,40.4,0.9,1,KHH0001,Appliance
APP_KSM0002_ceiling_fan_1,KSM0002_ceiling_fan_1,ceiling_fan,Curtailable,75,86.2,0.85,2,KHH0002,Appliance
APP_KSM0002_table_fan_1,KSM0002_table_fan_1,table_fan,Curtailable,45,45.1,0.8,1,KHH0002,Appliance
APP_KSM0002_refrigerator_1,KSM0002_refrigerator_1,refrigerator,Critical,150,156.5,0.42,1,KHH0002,Appliance
APP_KSM0002_led_light_1,KSM0002_led_light_1,led_light,Critical,10,9.4,1.0,4,KHH0002,Appliance
APP_KSM0002_tv_led_1,KSM0002_tv_led_1,tv_led,Curtailable,60,57.9,1.0,1,KHH0002,Appliance
APP_KSM0002_computer_laptop_1,KSM0002_computer_laptop_1,computer_laptop,Curtailable,80,69.8,1.0,1,KHH0002,Appliance
APP_KSM0002_router_charger_standby_1,KSM0002_router_charger_standby_1,router_charger_standby,Critical,18,22.0,1.0,1,KHH0002,Appliance
APP_KSM0003_ceiling_fan_1,KSM0003_ceiling_fan_1,ceiling_fan,Curtailable,75,64.3,0.85,2,KHH0003,Appliance
APP_KSM0003_table_fan_1,KSM0003_table_fan_1,table_fan,Curtailable,45,39.3,0.8,1,KHH0003,Appliance
APP_KSM0003_led_light_1,KSM0003_led_light_1,led_light,Critical,10,12.2,1.0,6,KHH0003,Appliance
APP_KSM0003_tv_led_1,KSM0003_tv_led_1,tv_led,Curtailable,60,66.7,1.0,1,KHH0003,Appliance
APP_KSM0003_rice_cooker_1,KSM0003_rice_cooker_1,rice_cooker,Schedulable,650,602.6,0.6,1,KHH0003,Appliance
APP_KSM0003_blender_mixer_1,KSM0003_blender_mixer_1,blender_mixer,Schedulable,400,375.8,0.9,1,KHH0003,Appliance
APP_KSM0003_electric_iron_1,KSM0003_electric_iron_1,electric_iron,Schedulable,1000,995.1,0.8,1,KHH0003,Appliance
APP_KSM0003_water_pump_0_5hp_1,KSM0003_water_pump_0_5hp_1,water_pump_0_5hp,Schedulable,373,414.6,0.95,1,KHH0003,Appliance
APP_KSM0004_ceiling_fan_1,KSM0004_ceiling_fan_1,ceiling_fan,Curtailable,75,62.9,0.85,3,KHH0004,Appliance
APP_KSM0004_table_fan_1,KSM0004_table_fan_1,table_fan,Curtailable,45,43.8,0.8,1,KHH0004,Appliance
APP_KSM0004_refrigerator_1,KSM0004_refrigerator_1,refrigerator,Critical,150,161.0,0.42,1,KHH0004,Appliance
APP_KSM0004_led_light_1,KSM0004_led_light_1,led_light,Critical,10,12.4,1.0,3,KHH0004,Appliance
APP_KSM0004_tube_light_1,KSM0004_tube_light_1,tube_light,Critical,36,34.2,1.0,3,KHH0004,Appliance
APP_KSM0004_tv_led_1,KSM0004_tv_led_1,tv_led,Curtailable,60,41.7,1.0,1,KHH0004,Appliance
APP_KSM0004_electric_iron_1,KSM0004_electric_iron_1,electric_iron,Schedulable,1000,1067.5,0.8,1,KHH0004,Appliance
APP_KSM0004_water_pump_0_5hp_1,KSM0004_water_pump_0_5hp_1,water_pump_0_5hp,Schedulable,373,360.1,0.95,1,KHH0004,Appliance
APP_KSM0004_router_charger_standby_1,KSM0004_router_charger_standby_1,router_charger_standby,Critical,18,16.9,1.0,1,KHH0004,Appliance
APP_KSM0005_ceiling_fan_1,KSM0005_ceiling_fan_1,ceiling_fan,Curtailable,75,85.3,0.85,2,KHH0005,Appliance
APP_KSM0005_table_fan_1,KSM0005_table_fan_1,table_fan,Curtailable,45,38.0,0.8,1,KHH0005,Appliance
APP_KSM0005_led_light_1,KSM0005_led_light_1,led_light,Critical,10,9.3,1.0,3,KHH0005,Appliance
APP_KSM0005_tube_light_1,KSM0005_tube_light_1,tube_light,Critical,36,45.7,1.0,1,KHH0005,Appliance
APP_KSM0005_tv_led_1,KSM0005_tv_led_1,tv_led,Curtailable,60,27.1,1.0,1,KHH0005,Appliance
APP_KSM0005_computer_laptop_1,KSM0005_computer_laptop_1,computer_laptop,Curtailable,80,8.8,1.0,1,KHH0005,Appliance
APP_KSM0005_exhaust_fan_1,KSM0005_exhaust_fan_1,exhaust_fan,Curtailable,35,44.2,0.9,1,KHH0005,Appliance
APP_KSM0006_ceiling_fan_1,KSM0006_ceiling_fan_1,ceiling_fan,Curtailable,75,60.1,0.85,2,KHH0006,Appliance
APP_KSM0006_refrigerator_1,KSM0006_refrigerator_1,refrigerator,Critical,150,133.3,0.42,1,KHH0006,Appliance
APP_KSM0006_led_light_1,KSM0006_led_light_1,led_light,Critical,10,6.4,1.0,5,KHH0006,Appliance
APP_KSM0006_tube_light_1,KSM0006_tube_light_1,tube_light,Critical,36,42.6,1.0,3,KHH0006,Appliance
APP_KSM0006_tv_led_1,KSM0006_tv_led_1,tv_led,Curtailable,60,75.0,1.0,1,KHH0006,Appliance
APP_KSM0006_rice_cooker_1,KSM0006_rice_cooker_1,rice_cooker,Schedulable,650,639.9,0.6,1,KHH0006,Appliance
APP_KSM0006_electric_iron_1,KSM0006_electric_iron_1,electric_iron,Schedulable,1000,1122.8,0.8,1,KHH0006,Appliance
APP_KSM0007_ceiling_fan_1,KSM0007_ceiling_fan_1,ceiling_fan,Curtailable,75,77.5,0.85,2,KHH0007,Appliance
APP_KSM0007_table_fan_1,KSM0007_table_fan_1,table_fan,Curtailable,45,48.7,0.8,1,KHH0007,Appliance
APP_KSM0007_refrigerator_1,KSM0007_refrigerator_1,refrigerator,Critical,150,171.8,0.42,1,KHH0007,Appliance
APP_KSM0007_led_light_1,KSM0007_led_light_1,led_light,Critical,10,14.5,1.0,5,KHH0007,Appliance
APP_KSM0007_tube_light_1,KSM0007_tube_light_1,tube_light,Critical,36,39.9,1.0,1,KHH0007,Appliance
APP_KSM0007_router_charger_standby_1,KSM0007_router_charger_standby_1,router_charger_standby,Critical,18,20.7,1.0,1,KHH0007,Appliance
APP_KSM0008_ceiling_fan_1,KSM0008_ceiling_fan_1,ceiling_fan,Curtailable,75,80.6,0.85,1,KHH0008,Appliance
APP_KSM0008_table_fan_1,KSM0008_table_fan_1,table_fan,Curtailable,45,38.9,0.8,1,KHH0008,Appliance
APP_KSM0008_led_light_1,KSM0008_led_light_1,led_light,Critical,10,9.6,1.0,3,KHH0008,Appliance
APP_KSM0008_tube_light_1,KSM0008_tube_light_1,tube_light,Critical,36,31.0,1.0,2,KHH0008,Appliance
APP_KSM0008_router_charger_standby_1,KSM0008_router_charger_standby_1,router_charger_standby,Critical,18,13.7,1.0,1,KHH0008,Appliance
APP_KSM0009_ceiling_fan_1,KSM0009_ceiling_fan_1,ceiling_fan,Curtailable,75,65.2,0.85,2,KHH0009,Appliance
APP_KSM0009_table_fan_1,KSM0009_table_fan_1,table_fan,Curtailable,45,57.3,0.8,1,KHH0009,Appliance
APP_KSM0009_led_light_1,KSM0009_led_light_1,led_light,Critical,10,11.7,1.0,5,KHH0009,Appliance
APP_KSM0009_tv_led_1,KSM0009_tv_led_1,tv_led,Curtailable,60,53.5,1.0,1,KHH0009,Appliance
APP_KSM0009_rice_cooker_1,KSM0009_rice_cooker_1,rice_cooker,Schedulable,650,560.8,0.6,1,KHH0009,Appliance
APP_KSM0009_blender_mixer_1,KSM0009_blender_mixer_1,blender_mixer,Schedulable,400,375.7,0.9,1,KHH0009,Appliance
APP_KSM0010_ceiling_fan_1,KSM0010_ceiling_fan_1,ceiling_fan,Curtailable,75,81.8,0.85,2,KHH0010,Appliance
APP_KSM0010_refrigerator_1,KSM0010_refrigerator_1,refrigerator,Critical,150,164.4,0.42,1,KHH0010,Appliance
APP_KSM0010_led_light_1,KSM0010_led_light_1,led_light,Critical,10,7.2,1.0,4,KHH0010,Appliance
APP_KSM0010_tube_light_1,KSM0010_tube_light_1,tube_light,Critical,36,33.1,1.0,2,KHH0010,Appliance
APP_KSM0010_tv_led_1,KSM0010_tv_led_1,tv_led,Curtailable,60,51.4,1.0,1,KHH0010,Appliance
APP_KSM0010_rice_cooker_1,KSM0010_rice_cooker_1,rice_cooker,Schedulable,650,785.3,0.6,1,KHH0010,Appliance
APP_KSM0010_electric_iron_1,KSM0010_electric_iron_1,electric_iron,Schedulable,1000,929.5,0.8,1,KHH0010,Appliance
APP_KSM0010_router_charger_standby_1,KSM0010_router_charger_standby_1,router_charger_standby,Critical,18,20.2,1.0,1,KHH0010,Appliance
