nodeId,date,substation,action,energy_shifted_kwh,energy_curtailed_kwh,molp_alpha,gcs_score,predicted_load_w,optimised_load_w,power_deviation_ratio,substation_pred_peak_mw,actual_substation_peak_mw,forecast_error_mw,stress_threshold_mw,rebate_bdt,temp_max_c,price_multiplier_norm,appliance_alpha,explanation,label
DR_KAL_00000,2024-04-22,Kalyanpur,DR_CURTAIL+SHIFT,5.791,0.545,0.6,0.8524,1233.8,177.7,0.856,119.11,123.0,-3.89,117.94,1.64,39.1,1.0,0.7,"On 2024-04-22, a high-impact event (GCS=0.85) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 5.79 kWh of schedulable load to off-peak hours and curtailed 0.55 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.1 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00001,2024-09-04,Kalyanpur,DR_CURTAIL+SHIFT,4.905,0.385,0.6,0.8515,1032.7,151.0,0.8538,119.62,125.14,-5.52,117.94,1.16,35.1,1.0,0.7,"On 2024-09-04, a high-impact event (GCS=0.85) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.91 kWh of schedulable load to off-peak hours and curtailed 0.39 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.2 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.6 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00002,2024-06-12,Kalyanpur,DR_CURTAIL+SHIFT,5.49,0.555,0.6,0.8508,1182.3,174.9,0.8521,118.89,123.0,-4.11,117.94,1.67,26.6,1.0,0.7,"On 2024-06-12, a high-impact event (GCS=0.85) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 5.49 kWh of schedulable load to off-peak hours and curtailed 0.56 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.7 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.9 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00003,2024-05-24,Kalyanpur,DR_CURTAIL+SHIFT,4.835,0.472,0.6,0.8488,1044.2,159.8,0.847,122.49,132.0,-9.51,117.94,1.42,37.5,1.0,0.7,"On 2024-05-24, a high-impact event (GCS=0.85) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.83 kWh of schedulable load to off-peak hours and curtailed 0.47 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 122.5 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00004,2024-04-21,Kalyanpur,DR_CURTAIL+SHIFT,5.113,0.589,0.6,0.8445,1136.3,186.0,0.8363,119.31,123.0,-3.69,117.94,1.77,38.8,1.0,0.7,"On 2024-04-21, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 5.11 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.3 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00005,2024-05-17,Kalyanpur,DR_CURTAIL+SHIFT,4.534,0.519,0.6,0.844,1008.6,166.5,0.8349,124.57,132.0,-7.43,117.94,1.56,40.3,1.0,0.7,"On 2024-05-17, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.53 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 124.6 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00006,2024-09-22,Kalyanpur,DR_CURTAIL+SHIFT,4.977,0.589,0.6,0.8439,1111.3,183.7,0.8347,127.22,127.5,-0.28,117.94,1.77,34.5,1.0,0.7,"On 2024-09-22, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.98 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 127.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00007,2026-06-21,Kalyanpur,DR_CURTAIL+SHIFT,4.024,0.441,0.6,0.8425,895.2,151.0,0.8313,123.36,126.0,-2.64,117.94,1.32,36.2,1.0,0.7,"On 2026-06-21, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.02 kWh of schedulable load to off-peak hours and curtailed 0.44 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.3 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 123.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00008,2026-06-06,Kalyanpur,DR_CURTAIL+SHIFT,4.336,0.485,0.6,0.8423,967.2,163.7,0.8307,117.97,117.0,0.97,117.94,1.46,34.1,1.0,0.7,"On 2026-06-06, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.34 kWh of schedulable load to off-peak hours and curtailed 0.48 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.5 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.0 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00009,2026-04-24,Kalyanpur,DR_CURTAIL+SHIFT,4.55,0.524,0.6,0.8416,1019.8,174.3,0.8291,122.66,132.0,-9.34,117.94,1.57,36.9,1.0,0.7,"On 2026-04-24, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.55 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 122.7 MW, which triggered the demand-response window.",DrEvent
