nodeId,meter_id,household_id,meter_type,substation_id,ward_id,monthly_kwh_est,label
MTR_KSM0001,KSM0001,KHH0001,smart_prepaid,SUB_Kalyanpur,WARD_KAL_1,139.6,Meter
MTR_KSM0002,KSM0002,KHH0002,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,127.7,Meter
MTR_KSM0003,KSM0003,KHH0003,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,103.7,Meter
MTR_KSM0004,KSM0004,KHH0004,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,149.7,Meter
MTR_KSM0005,KSM0005,KHH0005,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,63.2,Meter
MTR_KSM0006,KSM0006,KHH0006,smart_prepaid,SUB_Kalyanpur,WARD_KAL_5,142.0,Meter
MTR_KSM0007,KSM0007,KHH0007,smart_prepaid,SUB_Kalyanpur,WARD_KAL_1,141.2,Meter
MTR_KSM0008,KSM0008,KHH0008,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,51.4,Meter
MTR_KSM0009,KSM0009,KHH0009,smart_prepaid,SUB_Kalyanpur,WARD_KAL_2,68.7,Meter
MTR_KSM0010,KSM0010,KHH0010,smart_prepaid,SUB_Kalyanpur,WARD_KAL_1,157.1,Meter
MTR_KSM0011,KSM0011,KHH0011,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,126.6,Meter
MTR_KSM0012,KSM0012,KHH0012,smart_prepaid,SUB_Kalyanpur,WARD_KAL_5,99.6,Meter
MTR_KSM0013,KSM0013,KHH0013,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,120.1,Meter
MTR_KSM0014,KSM0014,KHH0014,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,76.1,Meter
MTR_KSM0015,KSM0015,KHH0015,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,171.0,Meter
MTR_KSM0016,KSM0016,KHH0016,smart_prepaid,SUB_Kalyanpur,WARD_KAL_4,161.3,Meter
MTR_KSM0017,KSM0017,KHH0017,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,121.9,Meter
MTR_KSM0018,KSM0018,KHH0018,smart_prepaid,SUB_Kalyanpur,WARD_KAL_1,198.7,Meter
MTR_KSM0019,KSM0019,KHH0019,smart_prepaid,SUB_Kalyanpur,WARD_KAL_5,114.8,Meter
MTR_KSM0020,KSM0020,KHH0020,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,151.5,Meter
MTR_KSM0021,KSM0021,KHH0021,smart_prepaid,SUB_Kalyanpur,WARD_KAL_3,168.6,Meter
