nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0001_2024_01,KHH0001,2024-01,862.4,790.6,71.8,8.33,109.7,10.46,3.13,33.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0002_2024_01,KHH0002,2024-01,641.1,590.5,50.5,7.88,82.3,0.0,5.2,20.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0003_2024_01,KHH0003,2024-01,597.1,498.4,98.6,16.52,72.3,16.3,3.51,46.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0004_2024_01,KHH0004,2024-01,841.6,798.8,42.8,5.09,106.9,5.67,2.1,19.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0005_2024_01,KHH0005,2024-01,149.6,132.0,17.6,11.76,24.0,0.0,2.48,9.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0006_2024_01,KHH0006,2024-01,915.6,835.6,80.1,8.74,113.0,10.21,4.08,36.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0007_2024_01,KHH0007,2024-01,692.1,688.3,3.8,0.55,88.6,0.0,0.39,1.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0008_2024_01,KHH0008,2024-01,175.8,174.5,1.3,0.74,29.3,0.0,0.18,0.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0009_2024_01,KHH0009,2024-01,222.4,182.5,39.9,17.94,36.1,7.67,2.49,25.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0010_2024_01,KHH0010,2024-01,928.0,855.3,72.7,7.84,117.4,12.04,2.58,34.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0011_2024_01,KHH0011,2024-01,684.6,653.6,31.0,4.53,86.4,7.4,0.18,15.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0012_2024_01,KHH0012,2024-01,640.2,566.7,73.5,11.47,78.1,9.8,3.56,33.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0013_2024_01,KHH0013,2024-01,546.8,518.0,28.8,5.28,71.0,0.0,2.97,11.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0014_2024_01,KHH0014,2024-01,519.6,508.0,11.6,2.24,67.7,1.83,0.45,5.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0015_2024_01,KHH0015,2024-01,859.5,810.2,49.3,5.74,109.6,8.38,1.66,23.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0016_2024_01,KHH0016,2024-01,995.0,918.6,76.4,7.68,124.8,9.55,3.97,35.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0017_2024_01,KHH0017,2024-01,723.3,637.9,85.5,11.81,89.3,13.9,3.13,40.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0018_2024_01,KHH0018,2024-01,1304.5,1140.3,164.2,12.59,161.6,29.13,5.03,78.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0019_2024_01,KHH0019,2024-01,703.7,587.0,116.7,16.58,83.9,12.23,7.02,52.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0020_2024_01,KHH0020,2024-01,640.3,570.2,70.1,10.95,79.8,6.82,4.44,31.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0021_2024_01,KHH0021,2024-01,928.1,858.1,70.1,7.55,116.6,10.82,2.8,32.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0022_2024_01,KHH0022,2024-01,845.5,748.3,97.2,11.5,105.5,11.12,5.47,44.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0023_2024_01,KHH0023,2024-01,682.4,582.9,99.5,14.58,82.2,17.65,3.05,47.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0024_2024_01,KHH0024,2024-01,720.0,680.5,39.5,5.48,90.5,9.14,0.34,19.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0025_2024_01,KHH0025,2024-01,867.5,808.2,59.3,6.84,107.9,14.26,0.29,29.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0026_2024_01,KHH0026,2024-01,716.0,667.2,48.8,6.81,90.0,11.99,0.13,24.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0027_2024_01,KHH0027,2024-01,887.6,820.3,67.3,7.58,109.5,9.04,3.24,31.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0028_2024_01,KHH0028,2024-01,611.9,546.8,65.0,10.63,75.7,9.56,2.8,30.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0029_2024_01,KHH0029,2024-01,703.8,667.0,36.8,5.23,87.4,0.0,3.79,15.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0030_2024_01,KHH0030,2024-01,592.3,501.5,90.8,15.33,70.9,14.25,3.53,42.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0031_2024_01,KHH0031,2024-01,730.7,624.7,106.0,14.51,88.7,13.91,5.24,48.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0032_2024_01,KHH0032,2024-01,612.4,528.1,84.3,13.76,75.1,11.27,4.08,38.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0033_2024_01,KHH0033,2024-01,424.3,363.5,60.8,14.32,51.9,6.77,3.5,27.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0034_2024_01,KHH0034,2024-01,750.3,674.6,75.6,10.08,95.0,1.35,7.23,31.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0035_2024_01,KHH0035,2024-01,602.4,524.2,78.2,12.98,72.8,19.6,0.06,39.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0036_2024_01,KHH0036,2024-01,746.4,702.7,43.6,5.85,95.4,1.21,4.0,18.4,17.5,25.6,0,80.6,0.7,MonthlyBill
