nodeId,household_id,tier,household_size,monthly_income_bdt,avg_monthly_bill_bdt,substation,label
USER_KHH0001,KHH0001,lower_middle,4,26181,977.0,Kalyanpur,User
USER_KHH0002,KHH0002,lower_middle,6,30319,867.0,Kalyanpur,User
USER_KHH0003,KHH0003,lower_middle,5,16593,680.0,Kalyanpur,User
USER_KHH0004,KHH0004,lower_middle,3,29905,1054.0,Kalyanpur,User
USER_KHH0005,KHH0005,lower_middle,6,16713,295.0,Kalyanpur,User
USER_KHH0006,KHH0006,lower_middle,6,24877,1000.0,Kalyanpur,User
USER_KHH0007,KHH0007,lower_middle,5,24226,999.0,Kalyanpur,User
USER_KHH0008,KHH0008,lower_middle,4,26064,263.0,Kalyanpur,User
USER_KHH0009,KHH0009,lower_middle,4,18942,319.0,Kalyanpur,User
USER_KHH0010,KHH0010,lower_middle,1,33032,1095.0,Kalyanpur,User
USER_KHH0011,KHH0011,lower_middle,4,33537,891.0,Kalyanpur,User
USER_KHH0012,KHH0012,lower_middle,5,27987,682.0,Kalyanpur,User
USER_KHH0013,KHH0013,lower_middle,2,16270,817.0,Kalyanpur,User
USER_KHH0014,KHH0014,lower_middle,6,33519,566.0,Kalyanpur,User
USER_KHH0015,KHH0015,lower_middle,4,30766,1175.0,Kalyanpur,User
USER_KHH0016,KHH0016,lower_middle,4,20449,1126.0,Kalyanpur,User
USER_KHH0017,KHH0017,lower_middle,1,20991,835.0,Kalyanpur,User
USER_KHH0018,KHH0018,lower_middle,4,19798,1355.0,Kalyanpur,User
USER_KHH0019,KHH0019,lower_middle,5,15973,752.0,Kalyanpur,User
USER_KHH0020,KHH0020,lower_middle,7,26771,995.0,Kalyanpur,User
USER_KHH0021,KHH0021,lower_middle,5,30724,1168.0,Kalyanpur,User
USER_KHH0022,KHH0022,lower_middle,1,22567,1158.0,Kalyanpur,User
USER_KHH0023,KHH0023,lower_middle,4,25244,749.0,Kalyanpur,User
USER_KHH0024,KHH0024,lower_middle,2,24833,836.0,Kalyanpur,User
USER_KHH0025,KHH0025,lower_middle,3,30149,985.0,Kalyanpur,User
USER_KHH0026,KHH0026,lower_middle,5,30721,802.0,Kalyanpur,User
USER_KHH0027,KHH0027,lower_middle,3,16350,1017.0,Kalyanpur,User
USER_KHH0028,KHH0028,lower_middle,4,21998,653.0,Kalyanpur,User
USER_KHH0029,KHH0029,lower_middle,2,31912,819.0,Kalyanpur,User
USER_KHH0030,KHH0030,lower_middle,2,34256,690.0,Kalyanpur,User
USER_KHH0031,KHH0031,lower_middle,4,26153,919.0,Kalyanpur,User
USER_KHH0032,KHH0032,lower_middle,6,31869,729.0,Kalyanpur,User
USER_KHH0033,KHH0033,lower_middle,4,28333,509.0,Kalyanpur,User
USER_KHH0034,KHH0034,lower_middle,2,32997,909.0,Kalyanpur,User
USER_KHH0035,KHH0035,lower_middle,5,29737,604.0,Kalyanpur,User
USER_KHH0036,KHH0036,lower_middle,4,23261,1002.0,Kalyanpur,User
USER_KHH0037,KHH0037,lower_middle,4,30761,1047.0,Kalyanpur,User
USER_KHH0038,KHH0038,lower_middle,3,27597,571.0,Kalyanpur,User
USER_KHH0039,KHH0039,lower_middle,5,23702,991.0,Kalyanpur,User
USER_KHH0040,KHH0040,lower_middle,3,29749,731.0,Kalyanpur,User
USER_KHH0041,KHH0041,lower_middle,3,22236,2912.0,Kalyanpur,User
USER_KHH0042,KHH0042,lower_middle,7,20254,1084.0,Kalyanpur,User
USER_KHH0043,KHH0043,middle,3,61277,1805.0,Kalyanpur,User
USER_KHH0044,KHH0044,middle,4,40300,1137.0,Kalyanpur,User
USER_KHH0045,KHH0045,middle,3,56350,1571.0,Kalyanpur,User
USER_KHH0046,KHH0046,middle,5,63107,2025.0,Kalyanpur,User
USER_KHH0047,KHH0047,middle,5,64924,2024.0,Kalyanpur,User
USER_KHH0048,KHH0048,middle,4,45620,1949.0,Kalyanpur,User
USER_KHH0049,KHH0049,middle,4,61429,2610.0,Kalyanpur,User
USER_KHH0050,KHH0050,middle,3,39329,2580.0,Kalyanpur,User
USER_KHH0051,KHH0051,middle,5,42188,1692.0,Kalyanpur,User
USER_KHH0052,KHH0052,middle,3,56647,1582.0,Kalyanpur,User
USER_KHH0053,KHH0053,middle,3,50493,2420.0,Kalyanpur,User
USER_KHH0054,KHH0054,middle,5,59197,1484.0,Kalyanpur,User
USER_KHH0055,KHH0055,middle,5,49078,5729.0,Kalyanpur,User
USER_KHH0056,KHH0056,middle,4,37064,5130.0,Kalyanpur,User
USER_KHH0057,KHH0057,middle,3,53917,1635.0,Kalyanpur,User
USER_KHH0058,KHH0058,middle,5,62611,1930.0,Kalyanpur,User
USER_KHH0059,KHH0059,middle,2,37346,1041.0,Kalyanpur,User
USER_KHH0060,KHH0060,middle,4,57299,1828.0,Kalyanpur,User
USER_KHH0061,KHH0061,middle,4,46637,5287.0,Kalyanpur,User
USER_KHH0062,KHH0062,middle,4,56108,1009.0,Kalyanpur,User
USER_KHH0063,KHH0063,middle,4,40258,1366.0,Kalyanpur,User
USER_KHH0064,KHH0064,middle,4,49826,1484.0,Kalyanpur,User
USER_KHH0065,KHH0065,middle,5,40352,1618.0,Kalyanpur,User
USER_KHH0066,KHH0066,middle,4,57670,1171.0,Kalyanpur,User
USER_KHH0067,KHH0067,middle,3,45490,1719.0,Kalyanpur,User
USER_KHH0068,KHH0068,middle,4,45047,2405.0,Kalyanpur,User
USER_KHH0069,KHH0069,middle,3,56586,1766.0,Kalyanpur,User
USER_KHH0070,KHH0070,middle,4,38138,1778.0,Kalyanpur,User
USER_KHH0071,KHH0071,middle,6,43922,1135.0,Kalyanpur,User
USER_KHH0072,KHH0072,middle,6,58878,1928.0,Kalyanpur,User
USER_KHH0073,KHH0073,middle,5,41336,1576.0,Kalyanpur,User
USER_KHH0074,KHH0074,middle,2,59013,1767.0,Kalyanpur,User
USER_KHH0075,KHH0075,middle,4,40177,2570.0,Kalyanpur,User
USER_KHH0076,KHH0076,middle,2,49140,1284.0,Kalyanpur,User
USER_KHH0077,KHH0077,middle,3,36698,1694.0,Kalyanpur,User
USER_KHH0078,KHH0078,middle,2,48498,1264.0,Kalyanpur,User
