:START_ID,:END_ID,:TYPE,month
USER_KHH0001,BILL_KHH0001_2024_01,BILLED,2024-01
USER_KHH0002,BILL_KHH0002_2024_01,BILLED,2024-01
USER_KHH0003,BILL_KHH0003_2024_01,BILLED,2024-01
USER_KHH0004,BILL_KHH0004_2024_01,BILLED,2024-01
USER_KHH0005,BILL_KHH0005_2024_01,BILLED,2024-01
USER_KHH0006,BILL_KHH0006_2024_01,BILLED,2024-01
USER_KHH0007,BILL_KHH0007_2024_01,BILLED,2024-01
USER_KHH0008,BILL_KHH0008_2024_01,BILLED,2024-01
USER_KHH0009,BILL_KHH0009_2024_01,BILLED,2024-01
USER_KHH0010,BILL_KHH0010_2024_01,BILLED,2024-01
USER_KHH0011,BILL_KHH0011_2024_01,BILLED,2024-01
USER_KHH0012,BILL_KHH0012_2024_01,BILLED,2024-01
USER_KHH0013,BILL_KHH0013_2024_01,BILLED,2024-01
USER_KHH0014,BILL_KHH0014_2024_01,BILLED,2024-01
USER_KHH0015,BILL_KHH0015_2024_01,BILLED,2024-01
USER_KHH0016,BILL_KHH0016_2024_01,BILLED,2024-01
USER_KHH0017,BILL_KHH0017_2024_01,BILLED,2024-01
USER_KHH0018,BILL_KHH0018_2024_01,BILLED,2024-01
USER_KHH0019,BILL_KHH0019_2024_01,BILLED,2024-01
USER_KHH0020,BILL_KHH0020_2024_01,BILLED,2024-01
USER_KHH0021,BILL_KHH0021_2024_01,BILLED,2024-01
USER_KHH0022,BILL_KHH0022_2024_01,BILLED,2024-01
USER_KHH0023,BILL_KHH0023_2024_01,BILLED,2024-01
USER_KHH0024,BILL_KHH0024_2024_01,BILLED,2024-01
USER_KHH0025,BILL_KHH0025_2024_01,BILLED,2024-01
USER_KHH0026,BILL_KHH0026_2024_01,BILLED,2024-01
USER_KHH0027,BILL_KHH0027_2024_01,BILLED,2024-01
USER_KHH0028,BILL_KHH0028_2024_01,BILLED,2024-01
USER_KHH0029,BILL_KHH0029_2024_01,BILLED,2024-01
USER_KHH0030,BILL_KHH0030_2024_01,BILLED,2024-01
USER_KHH0031,BILL_KHH0031_2024_01,BILLED,2024-01
USER_KHH0032,BILL_KHH0032_2024_01,BILLED,2024-01
USER_KHH0033,BILL_KHH0033_2024_01,BILLED,2024-01
USER_KHH0034,BILL_KHH0034_2024_01,BILLED,2024-01
USER_KHH0035,BILL_KHH0035_2024_01,BILLED,2024-01
USER_KHH0036,BILL_KHH0036_2024_01,BILLED,2024-01
USER_KHH0037,BILL_KHH0037_2024_01,BILLED,2024-01
USER_KHH0038,BILL_KHH0038_2024_01,BILLED,2024-01
USER_KHH0039,BILL_KHH0039_2024_01,BILLED,2024-01
USER_KHH0040,BILL_KHH0040_2024_01,BILLED,2024-01
USER_KHH0041,BILL_KHH0041_2024_01,BILLED,2024-01
USER_KHH0042,BILL_KHH0042_2024_01,BILLED,2024-01
USER_KHH0043,BILL_KHH0043_2024_01,BILLED,2024-01
USER_KHH0044,BILL_KHH0044_2024_01,BILLED,2024-01
USER_KHH0045,BILL_KHH0045_2024_01,BILLED,2024-01
USER_KHH0046,BILL_KHH0046_2024_01,BILLED,2024-01
USER_KHH0047,BILL_KHH0047_2024_01,BILLED,2024-01
USER_KHH0048,BILL_KHH0048_2024_01,BILLED,2024-01
USER_KHH0049,BILL_KHH0049_2024_01,BILLED,2024-01
USER_KHH0050,BILL_KHH0050_2024_01,BILLED,2024-01
USER_KHH0051,BILL_KHH0051_2024_01,BILLED,2024-01
USER_KHH0052,BILL_KHH0052_2024_01,BILLED,2024-01
USER_KHH0053,BILL_KHH0053_2024_01,BILLED,2024-01
USER_KHH0054,BILL_KHH0054_2024_01,BILLED,2024-01
USER_KHH0055,BILL_KHH0055_2024_01,BILLED,2024-01
USER_KHH0056,BILL_KHH0056_2024_01,BILLED,2024-01
USER_KHH0057,BILL_KHH0057_2024_01,BILLED,2024-01
USER_KHH0058,BILL_KHH0058_2024_01,BILLED,2024-01
USER_KHH0059,BILL_KHH0059_2024_01,BILLED,2024-01
USER_KHH0060,BILL_KHH0060_2024_01,BILLED,2024-01
USER_KHH0061,BILL_KHH0061_2024_01,BILLED,2024-01
USER_KHH0062,BILL_KHH0062_2024_01,BILLED,2024-01
USER_KHH0063,BILL_KHH0063_2024_01,BILLED,2024-01
USER_KHH0064,BILL_KHH0064_2024_01,BILLED,2024-01
USER_KHH0065,BILL_KHH0065_2024_01,BILLED,2024-01
USER_KHH0066,BILL_KHH0066_2024_01,BILLED,2024-01
USER_KHH0067,BILL_KHH0067_2024_01,BILLED,2024-01
USER_KHH0068,BILL_KHH0068_2024_01,BILLED,2024-01
USER_KHH0069,BILL_KHH0069_2024_01,BILLED,2024-01
USER_KHH0070,BILL_KHH0070_2024_01,BILLED,2024-01
USER_KHH0071,BILL_KHH0071_2024_01,BILLED,2024-01
USER_KHH0072,BILL_KHH0072_2024_01,BILLED,2024-01
USER_KHH0073,BILL_KHH0073_2024_01,BILLED,2024-01
USER_KHH0074,BILL_KHH0074_2024_01,BILLED,2024-01
USER_KHH0075,BILL_KHH0075_2024_01,BILLED,2024-01
USER_KHH0076,BILL_KHH0076_2024_01,BILLED,2024-01
USER_KHH0077,BILL_KHH0077_2024_01,BILLED,2024-01
USER_KHH0078,BILL_KHH0078_2024_01,BILLED,2024-01
USER_KHH0079,BILL_KHH0079_2024_01,BILLED,2024-01
USER_KHH0080,BILL_KHH0080_2024_01,BILLED,2024-01
USER_KHH0081,BILL_KHH0081_2024_01,BILLED,2024-01
USER_KHH0082,BILL_KHH0082_2024_01,BILLED,2024-01
USER_KHH0083,BILL_KHH0083_2024_01,BILLED,2024-01
USER_KHH0084,BILL_KHH0084_2024_01,BILLED,2024-01
USER_KHH0085,BILL_KHH0085_2024_01,BILLED,2024-01
USER_KHH0086,BILL_KHH0086_2024_01,BILLED,2024-01
USER_KHH0087,BILL_KHH0087_2024_01,BILLED,2024-01
USER_KHH0088,BILL_KHH0088_2024_01,BILLED,2024-01
USER_KHH0089,BILL_KHH0089_2024_01,BILLED,2024-01
USER_KHH0090,BILL_KHH0090_2024_01,BILLED,2024-01
USER_KHH0091,BILL_KHH0091_2024_01,BILLED,2024-01
USER_KHH0092,BILL_KHH0092_2024_01,BILLED,2024-01
USER_KHH0093,BILL_KHH0093_2024_01,BILLED,2024-01
USER_KHH0094,BILL_KHH0094_2024_01,BILLED,2024-01
USER_KHH0095,BILL_KHH0095_2024_01,BILLED,2024-01
USER_KHH0096,BILL_KHH0096_2024_01,BILLED,2024-01
USER_KHH0097,BILL_KHH0097_2024_01,BILLED,2024-01
USER_KHH0098,BILL_KHH0098_2024_01,BILLED,2024-01
USER_KHH0099,BILL_KHH0099_2024_01,BILLED,2024-01
USER_KHH0100,BILL_KHH0100_2024_01,BILLED,2024-01
USER_KHH0101,BILL_KHH0101_2024_01,BILLED,2024-01
USER_KHH0102,BILL_KHH0102_2024_01,BILLED,2024-01
USER_KHH0103,BILL_KHH0103_2024_01,BILLED,2024-01
USER_KHH0104,BILL_KHH0104_2024_01,BILLED,2024-01
USER_KHH0105,BILL_KHH0105_2024_01,BILLED,2024-01
USER_KHH0106,BILL_KHH0106_2024_01,BILLED,2024-01
USER_KHH0107,BILL_KHH0107_2024_01,BILLED,2024-01
USER_KHH0108,BILL_KHH0108_2024_01,BILLED,2024-01
USER_KHH0109,BILL_KHH0109_2024_01,BILLED,2024-01
USER_KHH0110,BILL_KHH0110_2024_01,BILLED,2024-01
USER_KHH0111,BILL_KHH0111_2024_01,BILLED,2024-01
USER_KHH0112,BILL_KHH0112_2024_01,BILLED,2024-01
USER_KHH0113,BILL_KHH0113_2024_01,BILLED,2024-01
USER_KHH0114,BILL_KHH0114_2024_01,BILLED,2024-01
USER_KHH0115,BILL_KHH0115_2024_01,BILLED,2024-01
USER_KHH0116,BILL_KHH0116_2024_01,BILLED,2024-01
USER_KHH0117,BILL_KHH0117_2024_01,BILLED,2024-01
USER_KHH0118,BILL_KHH0118_2024_01,BILLED,2024-01
USER_KHH0119,BILL_KHH0119_2024_01,BILLED,2024-01
USER_KHH0120,BILL_KHH0120_2024_01,BILLED,2024-01
USER_KHH0001,BILL_KHH0001_2024_02,BILLED,2024-02
USER_KHH0002,BILL_KHH0002_2024_02,BILLED,2024-02
USER_KHH0003,BILL_KHH0003_2024_02,BILLED,2024-02
USER_KHH0004,BILL_KHH0004_2024_02,BILLED,2024-02
USER_KHH0005,BILL_KHH0005_2024_02,BILLED,2024-02
USER_KHH0006,BILL_KHH0006_2024_02,BILLED,2024-02
USER_KHH0007,BILL_KHH0007_2024_02,BILLED,2024-02
USER_KHH0008,BILL_KHH0008_2024_02,BILLED,2024-02
USER_KHH0009,BILL_KHH0009_2024_02,BILLED,2024-02
USER_KHH0010,BILL_KHH0010_2024_02,BILLED,2024-02
USER_KHH0011,BILL_KHH0011_2024_02,BILLED,2024-02
USER_KHH0012,BILL_KHH0012_2024_02,BILLED,2024-02
USER_KHH0013,BILL_KHH0013_2024_02,BILLED,2024-02
USER_KHH0014,BILL_KHH0014_2024_02,BILLED,2024-02
USER_KHH0015,BILL_KHH0015_2024_02,BILLED,2024-02
USER_KHH0016,BILL_KHH0016_2024_02,BILLED,2024-02
USER_KHH0017,BILL_KHH0017_2024_02,BILLED,2024-02
USER_KHH0018,BILL_KHH0018_2024_02,BILLED,2024-02
USER_KHH0019,BILL_KHH0019_2024_02,BILLED,2024-02
USER_KHH0020,BILL_KHH0020_2024_02,BILLED,2024-02
USER_KHH0021,BILL_KHH0021_2024_02,BILLED,2024-02
USER_KHH0022,BILL_KHH0022_2024_02,BILLED,2024-02
USER_KHH0023,BILL_KHH0023_2024_02,BILLED,2024-02
USER_KHH0024,BILL_KHH0024_2024_02,BILLED,2024-02
USER_KHH0025,BILL_KHH0025_2024_02,BILLED,2024-02
USER_KHH0026,BILL_KHH0026_2024_02,BILLED,2024-02
USER_KHH0027,BILL_KHH0027_2024_02,BILLED,2024-02
USER_KHH0028,BILL_KHH0028_2024_02,BILLED,2024-02
USER_KHH0029,BILL_KHH0029_2024_02,BILLED,2024-02
USER_KHH0030,BILL_KHH0030_2024_02,BILLED,2024-02
USER_KHH0031,BILL_KHH0031_2024_02,BILLED,2024-02
USER_KHH0032,BILL_KHH0032_2024_02,BILLED,2024-02
USER_KHH0033,BILL_KHH0033_2024_02,BILLED,2024-02
USER_KHH0034,BILL_KHH0034_2024_02,BILLED,2024-02
USER_KHH0035,BILL_KHH0035_2024_02,BILLED,2024-02
USER_KHH0036,BILL_KHH0036_2024_02,BILLED,2024-02
USER_KHH0037,BILL_KHH0037_2024_02,BILLED,2024-02
USER_KHH0038,BILL_KHH0038_2024_02,BILLED,2024-02
USER_KHH0039,BILL_KHH0039_2024_02,BILLED,2024-02
USER_KHH0040,BILL_KHH0040_2024_02,BILLED,2024-02
USER_KHH0041,BILL_KHH0041_2024_02,BILLED,2024-02
USER_KHH0042,BILL_KHH0042_2024_02,BILLED,2024-02
USER_KHH0043,BILL_KHH0043_2024_02,BILLED,2024-02
USER_KHH0044,BILL_KHH0044_2024_02,BILLED,2024-02
USER_KHH0045,BILL_KHH0045_2024_02,BILLED,2024-02
USER_KHH0046,BILL_KHH0046_2024_02,BILLED,2024-02
USER_KHH0047,BILL_KHH0047_2024_02,BILLED,2024-02
USER_KHH0048,BILL_KHH0048_2024_02,BILLED,2024-02
USER_KHH0049,BILL_KHH0049_2024_02,BILLED,2024-02
USER_KHH0050,BILL_KHH0050_2024_02,BILLED,2024-02
USER_KHH0051,BILL_KHH0051_2024_02,BILLED,2024-02
USER_KHH0052,BILL_KHH0052_2024_02,BILLED,2024-02
USER_KHH0053,BILL_KHH0053_2024_02,BILLED,2024-02
USER_KHH0054,BILL_KHH0054_2024_02,BILLED,2024-02
USER_KHH0055,BILL_KHH0055_2024_02,BILLED,2024-02
USER_KHH0056,BILL_KHH0056_2024_02,BILLED,2024-02
USER_KHH0057,BILL_KHH0057_2024_02,BILLED,2024-02
USER_KHH0058,BILL_KHH0058_2024_02,BILLED,2024-02
USER_KHH0059,BILL_KHH0059_2024_02,BILLED,2024-02
USER_KHH0060,BILL_KHH0060_2024_02,BILLED,2024-02
USER_KHH0061,BILL_KHH0061_2024_02,BILLED,2024-02
USER_KHH0062,BILL_KHH0062_2024_02,BILLED,2024-02
USER_KHH0063,BILL_KHH0063_2024_02,BILLED,2024-02
USER_KHH0064,BILL_KHH0064_2024_02,BILLED,2024-02
USER_KHH0065,BILL_KHH0065_2024_02,BILLED,2024-02
USER_KHH0066,BILL_KHH0066_2024_02,BILLED,2024-02
USER_KHH0067,BILL_KHH0067_2024_02,BILLED,2024-02
USER_KHH0068,BILL_KHH0068_2024_02,BILLED,2024-02
USER_KHH0069,BILL_KHH0069_2024_02,BILLED,2024-02
USER_KHH0070,BILL_KHH0070_2024_02,BILLED,2024-02
USER_KHH0071,BILL_KHH0071_2024_02,BILLED,2024-02
USER_KHH0072,BILL_KHH0072_2024_02,BILLED,2024-02
USER_KHH0073,BILL_KHH0073_2024_02,BILLED,2024-02
USER_KHH0074,BILL_KHH0074_2024_02,BILLED,2024-02
USER_KHH0075,BILL_KHH0075_2024_02,BILLED,2024-02
USER_KHH0076,BILL_KHH0076_2024_02,BILLED,2024-02
USER_KHH0077,BILL_KHH0077_2024_02,BILLED,2024-02
USER_KHH0078,BILL_KHH0078_2024_02,BILLED,2024-02
USER_KHH0079,BILL_KHH0079_2024_02,BILLED,2024-02
USER_KHH0080,BILL_KHH0080_2024_02,BILLED,2024-02
USER_KHH0081,BILL_KHH0081_2024_02,BILLED,2024-02
USER_KHH0082,BILL_KHH0082_2024_02,BILLED,2024-02
USER_KHH0083,BILL_KHH0083_2024_02,BILLED,2024-02
USER_KHH0084,BILL_KHH0084_2024_02,BILLED,2024-02
USER_KHH0085,BILL_KHH0085_2024_02,BILLED,2024-02
USER_KHH0086,BILL_KHH0086_2024_02,BILLED,2024-02
USER_KHH0087,BILL_KHH0087_2024_02,BILLED,2024-02
USER_KHH0088,BILL_KHH0088_2024_02,BILLED,2024-02
USER_KHH0089,BILL_KHH0089_2024_02,BILLED,2024-02
USER_KHH0090,BILL_KHH0090_2024_02,BILLED,2024-02
USER_KHH0091,BILL_KHH0091_2024_02,BILLED,2024-02
USER_KHH0092,BILL_KHH0092_2024_02,BILLED,2024-02
USER_KHH0093,BILL_KHH0093_2024_02,BILLED,2024-02
USER_KHH0094,BILL_KHH0094_2024_02,BILLED,2024-02
USER_KHH0095,BILL_KHH0095_2024_02,BILLED,2024-02
USER_KHH0096,BILL_KHH0096_2024_02,BILLED,2024-02
USER_KHH0097,BILL_KHH0097_2024_02,BILLED,2024-02
USER_KHH0098,BILL_KHH0098_2024_02,BILLED,2024-02
USER_KHH0099,BILL_KHH0099_2024_02,BILLED,2024-02
USER_KHH0100,BILL_KHH0100_2024_02,BILLED,2024-02
USER_KHH0101,BILL_KHH0101_2024_02,BILLED,2024-02
USER_KHH0102,BILL_KHH0102_2024_02,BILLED,2024-02
USER_KHH0103,BILL_KHH0103_2024_02,BILLED,2024-02
USER_KHH0104,BILL_KHH0104_2024_02,BILLED,2024-02
USER_KHH0105,BILL_KHH0105_2024_02,BILLED,2024-02
USER_KHH0106,BILL_KHH0106_2024_02,BILLED,2024-02
USER_KHH0107,BILL_KHH0107_2024_02,BILLED,2024-02
USER_KHH0108,BILL_KHH0108_2024_02,BILLED,2024-02
USER_KHH0109,BILL_KHH0109_2024_02,BILLED,2024-02
USER_KHH0110,BILL_KHH0110_2024_02,BILLED,2024-02
USER_KHH0111,BILL_KHH0111_2024_02,BILLED,2024-02
USER_KHH0112,BILL_KHH0112_2024_02,BILLED,2024-02
USER_KHH0113,BILL_KHH0113_2024_02,BILLED,2024-02
USER_KHH0114,BILL_KHH0114_2024_02,BILLED,2024-02
USER_KHH0115,BILL_KHH0115_2024_02,BILLED,2024-02
USER_KHH0116,BILL_KHH0116_2024_02,BILLED,2024-02
USER_KHH0117,BILL_KHH0117_2024_02,BILLED,2024-02
USER_KHH0118,BILL_KHH0118_2024_02,BILLED,2024-02
USER_KHH0119,BILL_KHH0119_2024_02,BILLED,2024-02
USER_KHH0120,BILL_KHH0120_2024_02,BILLED,2024-02
USER_KHH0001,BILL_KHH0001_2024_03,BILLED,2024-03
USER_KHH0002,BILL_KHH0002_2024_03,BILLED,2024-03
USER_KHH0003,BILL_KHH0003_2024_03,BILLED,2024-03
USER_KHH0004,BILL_KHH0004_2024_03,BILLED,2024-03
USER_KHH0005,BILL_KHH0005_2024_03,BILLED,2024-03
USER_KHH0006,BILL_KHH0006_2024_03,BILLED,2024-03
USER_KHH0007,BILL_KHH0007_2024_03,BILLED,2024-03
USER_KHH0008,BILL_KHH0008_2024_03,BILLED,2024-03
USER_KHH0009,BILL_KHH0009_2024_03,BILLED,2024-03
USER_KHH0010,BILL_KHH0010_2024_03,BILLED,2024-03
USER_KHH0011,BILL_KHH0011_2024_03,BILLED,2024-03
USER_KHH0012,BILL_KHH0012_2024_03,BILLED,2024-03
USER_KHH0013,BILL_KHH0013_2024_03,BILLED,2024-03
USER_KHH0014,BILL_KHH0014_2024_03,BILLED,2024-03
USER_KHH0015,BILL_KHH0015_2024_03,BILLED,2024-03
USER_KHH0016,BILL_KHH0016_2024_03,BILLED,2024-03
USER_KHH0017,BILL_KHH0017_2024_03,BILLED,2024-03
USER_KHH0018,BILL_KHH0018_2024_03,BILLED,2024-03
