:START_ID,:END_ID,:TYPE
DR_KAL_00000,TOU_peak,DURING
DR_KAL_00001,TOU_peak,DURING
DR_KAL_00002,TOU_peak,DURING
DR_KAL_00003,TOU_peak,DURING
DR_KAL_00004,TOU_peak,DURING
DR_KAL_00005,TOU_peak,DURING
DR_KAL_00006,TOU_peak,DURING
DR_KAL_00007,TOU_peak,DURING
DR_KAL_00008,TOU_peak,DURING
DR_KAL_00009,TOU_peak,DURING
DR_KAL_00010,TOU_peak,DURING
DR_KAL_00011,TOU_peak,DURING
DR_KAL_00012,TOU_peak,DURING
DR_KAL_00013,TOU_peak,DURING
DR_KAL_00014,TOU_peak,DURING
DR_KAL_00015,TOU_peak,DURING
DR_KAL_00016,TOU_peak,DURING
DR_KAL_00017,TOU_peak,DURING
DR_KAL_00018,TOU_peak,DURING
DR_KAL_00019,TOU_peak,DURING
DR_KAL_00020,TOU_peak,DURING
DR_KAL_00021,TOU_peak,DURING
DR_KAL_00022,TOU_peak,DURING
DR_KAL_00023,TOU_peak,DURING
DR_KAL_00024,TOU_peak,DURING
DR_KAL_00025,TOU_peak,DURING
DR_KAL_00026,TOU_peak,DURING
DR_KAL_00027,TOU_peak,DURING
DR_KAL_00028,TOU_peak,DURING
DR_KAL_00029,TOU_peak,DURING
DR_KAL_00030,TOU_peak,DURING
DR_KAL_00031,TOU_peak,DURING
DR_KAL_00032,TOU_peak,DURING
DR_KAL_00033,TOU_peak,DURING
DR_KAL_00034,TOU_peak,DURING
DR_KAL_00035,TOU_peak,DURING
DR_KAL_00036,TOU_peak,DURING
DR_KAL_00037,TOU_peak,DURING
DR_KAL_00038,TOU_peak,DURING
DR_KAL_00039,TOU_peak,DURING
DR_KAL_00040,TOU_peak,DURING
DR_KAL_00041,TOU_peak,DURING
DR_KAL_00042,TOU_peak,DURING
DR_KAL_00043,TOU_peak,DURING
DR_KAL_00044,TOU_peak,DURING
DR_KAL_00045,TOU_peak,DURING
DR_KAL_00046,TOU_peak,DURING
DR_KAL_00047,TOU_peak,DURING
DR_KAL_00048,TOU_peak,DURING
DR_KAL_00049,TOU_peak,DURING
DR_KAL_00050,TOU_peak,DURING
DR_KAL_00051,TOU_peak,DURING
DR_KAL_00052,TOU_peak,DURING
DR_KAL_00053,TOU_peak,DURING
DR_KAL_00054,TOU_peak,DURING
DR_KAL_00055,TOU_peak,DURING
DR_KAL_00056,TOU_peak,DURING
DR_KAL_00057,TOU_peak,DURING
DR_KAL_00058,TOU_peak,DURING
DR_KAL_00059,TOU_peak,DURING
DR_KAL_00060,TOU_peak,DURING
DR_KAL_00061,TOU_peak,DURING
DR_KAL_00062,TOU_peak,DURING
DR_KAL_00063,TOU_peak,DURING
DR_KAL_00064,TOU_peak,DURING
DR_KAL_00065,TOU_peak,DURING
DR_KAL_00066,TOU_peak,DURING
DR_KAL_00067,TOU_peak,DURING
DR_KAL_00068,TOU_peak,DURING
DR_KAL_00069,TOU_peak,DURING
DR_KAL_00070,TOU_peak,DURING
DR_KAL_00071,TOU_peak,DURING
DR_KAL_00072,TOU_peak,DURING
DR_KAL_00073,TOU_peak,DURING
DR_KAL_00074,TOU_peak,DURING
DR_KAL_00075,TOU_peak,DURING
DR_KAL_00076,TOU_peak,DURING
DR_KAL_00077,TOU_peak,DURING
DR_KAL_00078,TOU_peak,DURING
DR_KAL_00079,TOU_peak,DURING
DR_KAL_00080,TOU_peak,DURING
DR_KAL_00081,TOU_peak,DURING
DR_KAL_00082,TOU_peak,DURING
DR_KAL_00083,TOU_peak,DURING
DR_KAL_00084,TOU_peak,DURING
DR_KAL_00085,TOU_peak,DURING
DR_KAL_00086,TOU_peak,DURING
DR_KAL_00087,TOU_peak,DURING
DR_KAL_00088,TOU_peak,DURING
DR_KAL_00089,TOU_peak,DURING
DR_KAL_00090,TOU_peak,DURING
DR_KAL_00091,TOU_peak,DURING
DR_KAL_00092,TOU_peak,DURING
DR_KAL_00093,TOU_peak,DURING
DR_KAL_00094,TOU_peak,DURING
DR_KAL_00095,TOU_peak,DURING
DR_KAL_00096,TOU_peak,DURING
DR_KAL_00097,TOU_peak,DURING
DR_KAL_00098,TOU_peak,DURING
DR_KAL_00099,TOU_peak,DURING
DR_KAL_00100,TOU_peak,DURING
DR_KAL_00101,TOU_peak,DURING
DR_KAL_00102,TOU_peak,DURING
DR_KAL_00103,TOU_peak,DURING
DR_KAL_00104,TOU_peak,DURING
DR_KAL_00105,TOU_peak,DURING
DR_KAL_00106,TOU_peak,DURING
DR_KAL_00107,TOU_peak,DURING
DR_KAL_00108,TOU_peak,DURING
DR_KAL_00109,TOU_peak,DURING
DR_KAL_00110,TOU_peak,DURING
DR_KAL_00111,TOU_peak,DURING
DR_KAL_00112,TOU_peak,DURING
DR_KAL_00113,TOU_peak,DURING
DR_KAL_00114,TOU_peak,DURING
DR_KAL_00115,TOU_peak,DURING
DR_KAL_00116,TOU_peak,DURING
DR_KAL_00117,TOU_peak,DURING
DR_KAL_00118,TOU_peak,DURING
DR_KAL_00119,TOU_peak,DURING
DR_KAL_00120,TOU_peak,DURING
DR_KAL_00121,TOU_peak,DURING
DR_KAL_00122,TOU_peak,DURING
DR_KAL_00123,TOU_peak,DURING
DR_KAL_00124,TOU_peak,DURING
DR_KAL_00125,TOU_peak,DURING
DR_KAL_00126,TOU_peak,DURING
DR_KAL_00127,TOU_peak,DURING
DR_KAL_00128,TOU_peak,DURING
DR_KAL_00129,TOU_peak,DURING
DR_KAL_00130,TOU_peak,DURING
DR_KAL_00131,TOU_peak,DURING
DR_KAL_00132,TOU_peak,DURING
DR_KAL_00133,TOU_peak,DURING
DR_KAL_00134,TOU_peak,DURING
DR_KAL_00135,TOU_peak,DURING
DR_KAL_00136,TOU_peak,DURING
DR_KAL_00137,TOU_peak,DURING
DR_KAL_00138,TOU_peak,DURING
DR_KAL_00139,TOU_peak,DURING
DR_KAL_00140,TOU_peak,DURING
DR_KAL_00141,TOU_peak,DURING
DR_KAL_00142,TOU_peak,DURING
DR_KAL_00143,TOU_peak,DURING
DR_KAL_00144,TOU_peak,DURING
DR_KAL_00145,TOU_peak,DURING
DR_KAL_00146,TOU_peak,DURING
DR_KAL_00147,TOU_peak,DURING
DR_KAL_00148,TOU_peak,DURING
DR_KAL_00149,TOU_peak,DURING
DR_KAL_00150,TOU_peak,DURING
DR_KAL_00151,TOU_peak,DURING
DR_KAL_00152,TOU_peak,DURING
DR_KAL_00153,TOU_peak,DURING
DR_KAL_00154,TOU_peak,DURING
DR_KAL_00155,TOU_peak,DURING
DR_KAL_00156,TOU_peak,DURING
DR_KAL_00157,TOU_peak,DURING
DR_KAL_00158,TOU_peak,DURING
DR_KAL_00159,TOU_peak,DURING
DR_KAL_00160,TOU_peak,DURING
DR_KAL_00161,TOU_peak,DURING
DR_KAL_00162,TOU_peak,DURING
DR_KAL_00163,TOU_peak,DURING
DR_KAL_00164,TOU_peak,DURING
DR_KAL_00165,TOU_peak,DURING
DR_KAL_00166,TOU_peak,DURING
DR_KAL_00167,TOU_peak,DURING
DR_KAL_00168,TOU_peak,DURING
DR_KAL_00169,TOU_peak,DURING
DR_KAL_00170,TOU_peak,DURING
DR_KAL_00171,TOU_peak,DURING
DR_KAL_00172,TOU_peak,DURING
DR_KAL_00173,TOU_peak,DURING
DR_KAL_00174,TOU_peak,DURING
DR_KAL_00175,TOU_peak,DURING
DR_KAL_00176,TOU_peak,DURING
DR_KAL_00177,TOU_peak,DURING
DR_KAL_00178,TOU_peak,DURING
DR_KAL_00179,TOU_peak,DURING
DR_KAL_00180,TOU_peak,DURING
DR_KAL_00181,TOU_peak,DURING
DR_KAL_00182,TOU_peak,DURING
DR_KAL_00183,TOU_peak,DURING
DR_KAL_00184,TOU_peak,DURING
DR_KAL_00185,TOU_peak,DURING
DR_KAL_00186,TOU_peak,DURING
DR_KAL_00187,TOU_peak,DURING
DR_KAL_00188,TOU_peak,DURING
DR_KAL_00189,TOU_peak,DURING
DR_KAL_00190,TOU_peak,DURING
DR_KAL_00191,TOU_peak,DURING
DR_KAL_00192,TOU_peak,DURING
DR_KAL_00193,TOU_peak,DURING
DR_KAL_00194,TOU_peak,DURING
DR_KAL_00195,TOU_peak,DURING
DR_KAL_00196,TOU_peak,DURING
DR_KAL_00197,TOU_peak,DURING
DR_KAL_00198,TOU_peak,DURING
DR_KAL_00199,TOU_peak,DURING
DR_KAL_00200,TOU_peak,DURING
DR_KAL_00201,TOU_peak,DURING
DR_KAL_00202,TOU_peak,DURING
DR_KAL_00203,TOU_peak,DURING
DR_KAL_00204,TOU_peak,DURING
DR_KAL_00205,TOU_peak,DURING
DR_KAL_00206,TOU_peak,DURING
DR_KAL_00207,TOU_peak,DURING
DR_KAL_00208,TOU_peak,DURING
DR_KAL_00209,TOU_peak,DURING
DR_KAL_00210,TOU_peak,DURING
DR_KAL_00211,TOU_peak,DURING
DR_KAL_00212,TOU_peak,DURING
DR_KAL_00213,TOU_peak,DURING
DR_KAL_00214,TOU_peak,DURING
DR_KAL_00215,TOU_peak,DURING
DR_KAL_00216,TOU_peak,DURING
DR_KAL_00217,TOU_peak,DURING
DR_KAL_00218,TOU_peak,DURING
DR_KAL_00219,TOU_peak,DURING
DR_KAL_00220,TOU_peak,DURING
DR_KAL_00221,TOU_peak,DURING
DR_KAL_00222,TOU_peak,DURING
DR_KAL_00223,TOU_peak,DURING
DR_KAL_00224,TOU_peak,DURING
DR_KAL_00225,TOU_peak,DURING
DR_KAL_00226,TOU_peak,DURING
DR_KAL_00227,TOU_peak,DURING
DR_KAL_00228,TOU_peak,DURING
DR_KAL_00229,TOU_peak,DURING
DR_KAL_00230,TOU_peak,DURING
DR_KAL_00231,TOU_peak,DURING
DR_KAL_00232,TOU_peak,DURING
DR_KAL_00233,TOU_peak,DURING
DR_KAL_00234,TOU_peak,DURING
DR_KAL_00235,TOU_peak,DURING
DR_KAL_00236,TOU_peak,DURING
DR_KAL_00237,TOU_peak,DURING
DR_KAL_00238,TOU_peak,DURING
DR_KAL_00239,TOU_peak,DURING
DR_KAL_00240,TOU_peak,DURING
DR_KAL_00241,TOU_peak,DURING
DR_KAL_00242,TOU_peak,DURING
DR_KAL_00243,TOU_peak,DURING
DR_KAL_00244,TOU_peak,DURING
DR_KAL_00245,TOU_peak,DURING
DR_KAL_00246,TOU_peak,DURING
DR_KAL_00247,TOU_peak,DURING
DR_KAL_00248,TOU_peak,DURING
DR_KAL_00249,TOU_peak,DURING
DR_KAL_00250,TOU_peak,DURING
DR_KAL_00251,TOU_peak,DURING
DR_KAL_00252,TOU_peak,DURING
DR_KAL_00253,TOU_peak,DURING
DR_KAL_00254,TOU_peak,DURING
DR_KAL_00255,TOU_peak,DURING
DR_KAL_00256,TOU_peak,DURING
DR_KAL_00257,TOU_peak,DURING
DR_KAL_00258,TOU_peak,DURING
DR_KAL_00259,TOU_peak,DURING
DR_KAL_00260,TOU_peak,DURING
DR_KAL_00261,TOU_peak,DURING
DR_KAL_00262,TOU_peak,DURING
DR_KAL_00263,TOU_peak,DURING
DR_KAL_00264,TOU_peak,DURING
DR_KAL_00265,TOU_peak,DURING
DR_KAL_00266,TOU_peak,DURING
DR_KAL_00267,TOU_peak,DURING
DR_KAL_00268,TOU_peak,DURING
DR_KAL_00269,TOU_peak,DURING
DR_KAL_00270,TOU_peak,DURING
DR_KAL_00271,TOU_peak,DURING
DR_KAL_00272,TOU_peak,DURING
DR_KAL_00273,TOU_peak,DURING
DR_KAL_00274,TOU_peak,DURING
DR_KAL_00275,TOU_peak,DURING
DR_KAL_00276,TOU_peak,DURING
DR_KAL_00277,TOU_peak,DURING
DR_KAL_00278,TOU_peak,DURING
DR_KAL_00279,TOU_peak,DURING
DR_KAL_00280,TOU_peak,DURING
DR_KAL_00281,TOU_peak,DURING
DR_KAL_00282,TOU_peak,DURING
DR_KAL_00283,TOU_peak,DURING
DR_KAL_00284,TOU_peak,DURING
DR_KAL_00285,TOU_peak,DURING
DR_KAL_00286,TOU_peak,DURING
DR_KAL_00287,TOU_peak,DURING
DR_KAL_00288,TOU_peak,DURING
DR_KAL_00289,TOU_peak,DURING
DR_KAL_00290,TOU_peak,DURING
DR_KAL_00291,TOU_peak,DURING
DR_KAL_00292,TOU_peak,DURING
DR_KAL_00293,TOU_peak,DURING
DR_KAL_00294,TOU_peak,DURING
DR_KAL_00295,TOU_peak,DURING
DR_KAL_00296,TOU_peak,DURING
DR_KAL_00297,TOU_peak,DURING
DR_KAL_00298,TOU_peak,DURING
DR_KAL_00299,TOU_peak,DURING
DR_KAL_00300,TOU_peak,DURING
DR_KAL_00301,TOU_peak,DURING
DR_KAL_00302,TOU_peak,DURING
DR_KAL_00303,TOU_peak,DURING
DR_KAL_00304,TOU_peak,DURING
DR_KAL_00305,TOU_peak,DURING
DR_KAL_00306,TOU_peak,DURING
DR_KAL_00307,TOU_peak,DURING
DR_KAL_00308,TOU_peak,DURING
DR_KAL_00309,TOU_peak,DURING
DR_KAL_00310,TOU_peak,DURING
DR_KAL_00311,TOU_peak,DURING
DR_KAL_00312,TOU_peak,DURING
DR_KAL_00313,TOU_peak,DURING
DR_KAL_00314,TOU_peak,DURING
DR_KAL_00315,TOU_peak,DURING
DR_KAL_00316,TOU_peak,DURING
DR_KAL_00317,TOU_peak,DURING
DR_KAL_00318,TOU_peak,DURING
DR_KAL_00319,TOU_peak,DURING
DR_KAL_00320,TOU_peak,DURING
DR_KAL_00321,TOU_peak,DURING
DR_KAL_00322,TOU_peak,DURING
DR_KAL_00323,TOU_peak,DURING
DR_KAL_00324,TOU_peak,DURING
DR_KAL_00325,TOU_peak,DURING
DR_KAL_00326,TOU_peak,DURING
DR_KAL_00327,TOU_peak,DURING
DR_KAL_00328,TOU_peak,DURING
DR_KAL_00329,TOU_peak,DURING
DR_KAL_00330,TOU_peak,DURING
DR_KAL_00331,TOU_peak,DURING
DR_KAL_00332,TOU_peak,DURING
DR_KAL_00333,TOU_peak,DURING
DR_KAL_00334,TOU_peak,DURING
DR_KAL_00335,TOU_peak,DURING
DR_KAL_00336,TOU_peak,DURING
DR_KAL_00337,TOU_peak,DURING
DR_KAL_00338,TOU_peak,DURING
DR_KAL_00339,TOU_peak,DURING
DR_KAL_00340,TOU_peak,DURING
DR_KAL_00341,TOU_peak,DURING
DR_KAL_00342,TOU_peak,DURING
DR_KAL_00343,TOU_peak,DURING
DR_KAL_00344,TOU_peak,DURING
DR_KAL_00345,TOU_peak,DURING
DR_KAL_00346,TOU_peak,DURING
DR_KAL_00347,TOU_peak,DURING
DR_KAL_00348,TOU_peak,DURING
DR_KAL_00349,TOU_peak,DURING
DR_KAL_00350,TOU_peak,DURING
DR_KAL_00351,TOU_peak,DURING
DR_KAL_00352,TOU_peak,DURING
DR_KAL_00353,TOU_peak,DURING
DR_KAL_00354,TOU_peak,DURING
DR_KAL_00355,TOU_peak,DURING
DR_KAL_00356,TOU_peak,DURING
DR_KAL_00357,TOU_peak,DURING
DR_KAL_00358,TOU_peak,DURING
DR_KAL_00359,TOU_peak,DURING
DR_KAL_00360,TOU_peak,DURING
DR_KAL_00361,TOU_peak,DURING
DR_KAL_00362,TOU_peak,DURING
DR_KAL_00363,TOU_peak,DURING
DR_KAL_00364,TOU_peak,DURING
DR_KAL_00365,TOU_peak,DURING
DR_KAL_00366,TOU_peak,DURING
DR_KAL_00367,TOU_peak,DURING
DR_KAL_00368,TOU_peak,DURING
DR_KAL_00369,TOU_peak,DURING
DR_KAL_00370,TOU_peak,DURING
DR_KAL_00371,TOU_peak,DURING
DR_KAL_00372,TOU_peak,DURING
DR_KAL_00373,TOU_peak,DURING
DR_KAL_00374,TOU_peak,DURING
DR_KAL_00375,TOU_peak,DURING
DR_KAL_00376,TOU_peak,DURING
DR_KAL_00377,TOU_peak,DURING
DR_KAL_00378,TOU_peak,DURING
DR_KAL_00379,TOU_peak,DURING
DR_KAL_00380,TOU_peak,DURING
DR_KAL_00381,TOU_peak,DURING
DR_KAL_00382,TOU_peak,DURING
DR_KAL_00383,TOU_peak,DURING
DR_KAL_00384,TOU_peak,DURING
DR_KAL_00385,TOU_peak,DURING
DR_KAL_00386,TOU_peak,DURING
DR_KAL_00387,TOU_peak,DURING
DR_KAL_00388,TOU_peak,DURING
DR_KAL_00389,TOU_peak,DURING
DR_KAL_00390,TOU_peak,DURING
DR_KAL_00391,TOU_peak,DURING
DR_KAL_00392,TOU_peak,DURING
DR_KAL_00393,TOU_peak,DURING
DR_KAL_00394,TOU_peak,DURING
DR_KAL_00395,TOU_peak,DURING
DR_KAL_00396,TOU_peak,DURING
DR_KAL_00397,TOU_peak,DURING
DR_KAL_00398,TOU_peak,DURING
DR_KAL_00399,TOU_peak,DURING
DR_DHA_00000,TOU_peak,DURING
DR_DHA_00001,TOU_peak,DURING
DR_DHA_00002,TOU_peak,DURING
DR_DHA_00003,TOU_peak,DURING
DR_DHA_00004,TOU_peak,DURING
DR_DHA_00005,TOU_peak,DURING
DR_DHA_00006,TOU_peak,DURING
DR_DHA_00007,TOU_peak,DURING
DR_DHA_00008,TOU_peak,DURING
DR_DHA_00009,TOU_peak,DURING
DR_DHA_00010,TOU_peak,DURING
DR_DHA_00011,TOU_peak,DURING
DR_DHA_00012,TOU_peak,DURING
DR_DHA_00013,TOU_peak,DURING
DR_DHA_00014,TOU_peak,DURING
DR_DHA_00015,TOU_peak,DURING
DR_DHA_00016,TOU_peak,DURING
DR_DHA_00017,TOU_peak,DURING
DR_DHA_00018,TOU_peak,DURING
DR_DHA_00019,TOU_peak,DURING
