:START_ID,:END_ID,:TYPE,date
USER_KHH0035,DR_KAL_00000,EXPERIENCED,2024-06-08
USER_KHH0035,DR_KAL_00001,EXPERIENCED,2026-06-06
USER_KHH0003,DR_KAL_00002,EXPERIENCED,2024-06-12
USER_KHH0035,DR_KAL_00003,EXPERIENCED,2026-06-07
USER_KHH0035,DR_KAL_00004,EXPERIENCED,2026-06-03
USER_KHH0035,DR_KAL_00005,EXPERIENCED,2024-05-03
USER_KHH0035,DR_KAL_00006,EXPERIENCED,2024-06-07
USER_KHH0052,DR_KAL_00007,EXPERIENCED,2024-05-06
USER_KHH0003,DR_KAL_00008,EXPERIENCED,2026-06-16
USER_KHH0003,DR_KAL_00009,EXPERIENCED,2026-05-22
USER_KHH0035,DR_KAL_00010,EXPERIENCED,2024-05-02
USER_KHH0003,DR_KAL_00011,EXPERIENCED,2025-05-12
USER_KHH0052,DR_KAL_00012,EXPERIENCED,2026-06-16
USER_KHH0035,DR_KAL_00013,EXPERIENCED,2024-06-06
USER_KHH0035,DR_KAL_00014,EXPERIENCED,2024-05-19
USER_KHH0003,DR_KAL_00015,EXPERIENCED,2026-05-25
USER_KHH0003,DR_KAL_00016,EXPERIENCED,2024-06-14
USER_KHH0003,DR_KAL_00017,EXPERIENCED,2024-09-19
USER_KHH0035,DR_KAL_00018,EXPERIENCED,2026-06-08
USER_KHH0003,DR_KAL_00019,EXPERIENCED,2026-06-21
USER_KHH0003,DR_KAL_00020,EXPERIENCED,2024-05-03
USER_KHH0035,DR_KAL_00021,EXPERIENCED,2024-05-21
USER_KHH0003,DR_KAL_00022,EXPERIENCED,2026-05-23
USER_KHH0035,DR_KAL_00023,EXPERIENCED,2026-06-16
USER_KHH0035,DR_KAL_00024,EXPERIENCED,2026-06-19
USER_KHH0003,DR_KAL_00025,EXPERIENCED,2026-06-20
USER_KHH0035,DR_KAL_00026,EXPERIENCED,2024-05-24
USER_KHH0035,DR_KAL_00027,EXPERIENCED,2024-05-27
USER_KHH0035,DR_KAL_00028,EXPERIENCED,2026-06-22
USER_KHH0003,DR_KAL_00029,EXPERIENCED,2026-06-10
USER_KHH0035,DR_KAL_00030,EXPERIENCED,2026-06-13
USER_KHH0003,DR_KAL_00031,EXPERIENCED,2024-06-07
USER_KHH0003,DR_KAL_00032,EXPERIENCED,2024-06-10
USER_KHH0035,DR_KAL_00033,EXPERIENCED,2024-05-16
USER_KHH0035,DR_KAL_00034,EXPERIENCED,2024-06-10
USER_KHH0035,DR_KAL_00035,EXPERIENCED,2026-06-21
USER_KHH0035,DR_KAL_00036,EXPERIENCED,2024-05-15
USER_KHH0035,DR_KAL_00037,EXPERIENCED,2024-06-05
USER_KHH0003,DR_KAL_00038,EXPERIENCED,2024-05-25
USER_KHH0035,DR_KAL_00039,EXPERIENCED,2024-06-15
USER_KHH0003,DR_KAL_00040,EXPERIENCED,2024-06-03
USER_KHH0003,DR_KAL_00041,EXPERIENCED,2024-05-21
USER_KHH0003,DR_KAL_00042,EXPERIENCED,2026-04-24
USER_KHH0035,DR_KAL_00043,EXPERIENCED,2024-06-02
USER_KHH0035,DR_KAL_00044,EXPERIENCED,2024-05-04
USER_KHH0003,DR_KAL_00045,EXPERIENCED,2026-06-22
USER_KHH0003,DR_KAL_00046,EXPERIENCED,2024-05-26
USER_KHH0035,DR_KAL_00047,EXPERIENCED,2024-06-03
USER_KHH0003,DR_KAL_00048,EXPERIENCED,2026-06-15
USER_KHH0003,DR_KAL_00049,EXPERIENCED,2024-09-21
USER_KHH0003,DR_KAL_00050,EXPERIENCED,2024-05-05
USER_KHH0035,DR_KAL_00051,EXPERIENCED,2024-05-20
USER_KHH0003,DR_KAL_00052,EXPERIENCED,2024-05-04
USER_KHH0009,DR_KAL_00053,EXPERIENCED,2024-06-09
USER_KHH0035,DR_KAL_00054,EXPERIENCED,2026-05-24
USER_KHH0003,DR_KAL_00055,EXPERIENCED,2024-09-23
USER_KHH0035,DR_KAL_00056,EXPERIENCED,2025-05-11
USER_KHH0003,DR_KAL_00057,EXPERIENCED,2026-06-12
USER_KHH0003,DR_KAL_00058,EXPERIENCED,2026-05-20
USER_KHH0035,DR_KAL_00059,EXPERIENCED,2026-04-23
USER_KHH0009,DR_KAL_00060,EXPERIENCED,2026-06-18
USER_KHH0003,DR_KAL_00061,EXPERIENCED,2024-05-19
USER_KHH0035,DR_KAL_00062,EXPERIENCED,2024-05-05
USER_KHH0003,DR_KAL_00063,EXPERIENCED,2024-05-15
USER_KHH0009,DR_KAL_00064,EXPERIENCED,2024-05-05
USER_KHH0003,DR_KAL_00065,EXPERIENCED,2026-06-11
USER_KHH0009,DR_KAL_00066,EXPERIENCED,2026-06-14
USER_KHH0003,DR_KAL_00067,EXPERIENCED,2024-04-30
USER_KHH0069,DR_KAL_00068,EXPERIENCED,2026-06-14
USER_KHH0035,DR_KAL_00069,EXPERIENCED,2026-04-25
USER_KHH0003,DR_KAL_00070,EXPERIENCED,2024-06-02
USER_KHH0066,DR_KAL_00071,EXPERIENCED,2024-05-09
USER_KHH0003,DR_KAL_00072,EXPERIENCED,2025-05-11
USER_KHH0003,DR_KAL_00073,EXPERIENCED,2024-05-31
USER_KHH0035,DR_KAL_00074,EXPERIENCED,2026-06-23
USER_KHH0035,DR_KAL_00075,EXPERIENCED,2026-06-14
USER_KHH0035,DR_KAL_00076,EXPERIENCED,2024-05-22
USER_KHH0066,DR_KAL_00077,EXPERIENCED,2024-05-26
USER_KHH0035,DR_KAL_00078,EXPERIENCED,2025-05-10
USER_KHH0009,DR_KAL_00079,EXPERIENCED,2024-06-14
USER_KHH0035,DR_KAL_00080,EXPERIENCED,2024-09-19
USER_KHH0003,DR_KAL_00081,EXPERIENCED,2026-04-22
USER_KHH0003,DR_KAL_00082,EXPERIENCED,2025-05-13
USER_KHH0069,DR_KAL_00083,EXPERIENCED,2024-06-06
USER_KHH0035,DR_KAL_00084,EXPERIENCED,2026-05-21
USER_KHH0042,DR_KAL_00085,EXPERIENCED,2024-05-27
USER_KHH0042,DR_KAL_00086,EXPERIENCED,2026-06-27
USER_KHH0009,DR_KAL_00087,EXPERIENCED,2024-04-27
USER_KHH0003,DR_KAL_00088,EXPERIENCED,2024-05-27
USER_KHH0035,DR_KAL_00089,EXPERIENCED,2026-06-25
USER_KHH0009,DR_KAL_00090,EXPERIENCED,2026-05-25
USER_KHH0003,DR_KAL_00091,EXPERIENCED,2024-05-22
USER_KHH0023,DR_KAL_00092,EXPERIENCED,2026-06-10
USER_KHH0035,DR_KAL_00093,EXPERIENCED,2026-06-12
USER_KHH0009,DR_KAL_00094,EXPERIENCED,2026-06-21
USER_KHH0052,DR_KAL_00095,EXPERIENCED,2026-06-17
USER_KHH0023,DR_KAL_00096,EXPERIENCED,2024-05-03
USER_KHH0003,DR_KAL_00097,EXPERIENCED,2026-05-24
USER_KHH0009,DR_KAL_00098,EXPERIENCED,2024-05-06
USER_KHH0035,DR_KAL_00099,EXPERIENCED,2026-06-17
USER_KHH0023,DR_KAL_00100,EXPERIENCED,2026-06-04
USER_KHH0003,DR_KAL_00101,EXPERIENCED,2026-04-25
USER_KHH0003,DR_KAL_00102,EXPERIENCED,2024-06-09
USER_KHH0066,DR_KAL_00103,EXPERIENCED,2026-06-24
USER_KHH0048,DR_KAL_00104,EXPERIENCED,2024-06-07
USER_KHH0069,DR_KAL_00105,EXPERIENCED,2024-06-09
USER_KHH0045,DR_KAL_00106,EXPERIENCED,2026-06-27
USER_KHH0069,DR_KAL_00107,EXPERIENCED,2024-05-10
USER_KHH0003,DR_KAL_00108,EXPERIENCED,2026-06-07
USER_KHH0052,DR_KAL_00109,EXPERIENCED,2024-05-27
USER_KHH0045,DR_KAL_00110,EXPERIENCED,2024-06-09
USER_KHH0045,DR_KAL_00111,EXPERIENCED,2024-05-03
USER_KHH0003,DR_KAL_00112,EXPERIENCED,2024-05-24
USER_KHH0035,DR_KAL_00113,EXPERIENCED,2025-05-13
USER_KHH0069,DR_KAL_00114,EXPERIENCED,2026-04-22
USER_KHH0069,DR_KAL_00115,EXPERIENCED,2024-05-06
USER_KHH0003,DR_KAL_00116,EXPERIENCED,2024-05-06
USER_KHH0003,DR_KAL_00117,EXPERIENCED,2026-06-24
USER_KHH0045,DR_KAL_00118,EXPERIENCED,2024-06-08
USER_KHH0045,DR_KAL_00119,EXPERIENCED,2024-04-28
USER_KHH0069,DR_KAL_00120,EXPERIENCED,2024-05-25
USER_KHH0003,DR_KAL_00121,EXPERIENCED,2026-04-23
USER_KHH0009,DR_KAL_00122,EXPERIENCED,2024-04-30
USER_KHH0023,DR_KAL_00123,EXPERIENCED,2024-06-07
USER_KHH0035,DR_KAL_00124,EXPERIENCED,2024-05-06
USER_KHH0035,DR_KAL_00125,EXPERIENCED,2026-06-10
USER_KHH0003,DR_KAL_00126,EXPERIENCED,2026-05-21
USER_KHH0069,DR_KAL_00127,EXPERIENCED,2024-09-23
USER_KHH0069,DR_KAL_00128,EXPERIENCED,2026-06-23
USER_KHH0052,DR_KAL_00129,EXPERIENCED,2024-09-19
USER_KHH0009,DR_KAL_00130,EXPERIENCED,2026-06-10
USER_KHH0069,DR_KAL_00131,EXPERIENCED,2026-06-13
USER_KHH0003,DR_KAL_00132,EXPERIENCED,2026-06-28
USER_KHH0023,DR_KAL_00133,EXPERIENCED,2026-06-15
USER_KHH0069,DR_KAL_00134,EXPERIENCED,2024-05-19
USER_KHH0003,DR_KAL_00135,EXPERIENCED,2026-06-06
USER_KHH0042,DR_KAL_00136,EXPERIENCED,2024-05-24
USER_KHH0069,DR_KAL_00137,EXPERIENCED,2024-05-04
USER_KHH0045,DR_KAL_00138,EXPERIENCED,2024-09-20
USER_KHH0018,DR_KAL_00139,EXPERIENCED,2024-06-08
USER_KHH0003,DR_KAL_00140,EXPERIENCED,2024-09-24
USER_KHH0042,DR_KAL_00141,EXPERIENCED,2024-06-08
USER_KHH0045,DR_KAL_00142,EXPERIENCED,2026-05-20
USER_KHH0042,DR_KAL_00143,EXPERIENCED,2026-06-14
USER_KHH0009,DR_KAL_00144,EXPERIENCED,2024-05-09
USER_KHH0045,DR_KAL_00145,EXPERIENCED,2026-06-07
USER_KHH0069,DR_KAL_00146,EXPERIENCED,2024-06-15
USER_KHH0023,DR_KAL_00147,EXPERIENCED,2024-06-09
USER_KHH0069,DR_KAL_00148,EXPERIENCED,2024-06-03
USER_KHH0069,DR_KAL_00149,EXPERIENCED,2025-05-12
USER_KHH0003,DR_KAL_00150,EXPERIENCED,2024-05-29
USER_KHH0045,DR_KAL_00151,EXPERIENCED,2025-05-11
USER_KHH0052,DR_KAL_00152,EXPERIENCED,2024-05-10
USER_KHH0023,DR_KAL_00153,EXPERIENCED,2024-05-18
USER_KHH0023,DR_KAL_00154,EXPERIENCED,2024-05-27
USER_KHH0003,DR_KAL_00155,EXPERIENCED,2026-06-18
USER_KHH0048,DR_KAL_00156,EXPERIENCED,2025-05-13
USER_KHH0003,DR_KAL_00157,EXPERIENCED,2026-06-13
USER_KHH0069,DR_KAL_00158,EXPERIENCED,2026-06-22
USER_KHH0035,DR_KAL_00159,EXPERIENCED,2026-05-25
USER_KHH0042,DR_KAL_00160,EXPERIENCED,2026-06-06
USER_KHH0066,DR_KAL_00161,EXPERIENCED,2024-06-14
USER_KHH0048,DR_KAL_00162,EXPERIENCED,2026-05-24
USER_KHH0078,DR_KAL_00163,EXPERIENCED,2024-05-02
USER_KHH0045,DR_KAL_00164,EXPERIENCED,2026-06-28
USER_KHH0003,DR_KAL_00165,EXPERIENCED,2024-05-01
USER_KHH0042,DR_KAL_00166,EXPERIENCED,2026-06-12
USER_KHH0042,DR_KAL_00167,EXPERIENCED,2024-06-03
USER_KHH0009,DR_KAL_00168,EXPERIENCED,2026-06-17
USER_KHH0048,DR_KAL_00169,EXPERIENCED,2026-06-05
USER_KHH0045,DR_KAL_00170,EXPERIENCED,2024-06-07
USER_KHH0035,DR_KAL_00171,EXPERIENCED,2026-04-24
USER_KHH0035,DR_KAL_00172,EXPERIENCED,2024-05-30
USER_KHH0052,DR_KAL_00173,EXPERIENCED,2026-05-25
USER_KHH0052,DR_KAL_00174,EXPERIENCED,2026-06-09
USER_KHH0052,DR_KAL_00175,EXPERIENCED,2026-06-22
USER_KHH0023,DR_KAL_00176,EXPERIENCED,2026-06-19
USER_KHH0045,DR_KAL_00177,EXPERIENCED,2024-05-27
USER_KHH0048,DR_KAL_00178,EXPERIENCED,2026-06-03
USER_KHH0009,DR_KAL_00179,EXPERIENCED,2026-06-11
USER_KHH0009,DR_KAL_00180,EXPERIENCED,2024-05-22
USER_KHH0052,DR_KAL_00181,EXPERIENCED,2026-06-08
USER_KHH0003,DR_KAL_00182,EXPERIENCED,2024-05-02
USER_KHH0048,DR_KAL_00183,EXPERIENCED,2026-06-15
USER_KHH0018,DR_KAL_00184,EXPERIENCED,2026-06-15
USER_KHH0045,DR_KAL_00185,EXPERIENCED,2026-06-14
USER_KHH0009,DR_KAL_00186,EXPERIENCED,2024-05-01
USER_KHH0023,DR_KAL_00187,EXPERIENCED,2024-09-21
USER_KHH0069,DR_KAL_00188,EXPERIENCED,2026-06-04
USER_KHH0045,DR_KAL_00189,EXPERIENCED,2024-05-21
USER_KHH0035,DR_KAL_00190,EXPERIENCED,2024-06-13
USER_KHH0045,DR_KAL_00191,EXPERIENCED,2024-05-30
USER_KHH0052,DR_KAL_00192,EXPERIENCED,2024-05-26
USER_KHH0060,DR_KAL_00193,EXPERIENCED,2024-05-05
USER_KHH0003,DR_KAL_00194,EXPERIENCED,2026-06-03
USER_KHH0033,DR_KAL_00195,EXPERIENCED,2026-06-24
USER_KHH0009,DR_KAL_00196,EXPERIENCED,2025-05-12
USER_KHH0052,DR_KAL_00197,EXPERIENCED,2024-04-26
USER_KHH0009,DR_KAL_00198,EXPERIENCED,2026-06-22
USER_KHH0009,DR_KAL_00199,EXPERIENCED,2024-06-03
USER_KHH0023,DR_KAL_00200,EXPERIENCED,2024-09-23
USER_KHH0048,DR_KAL_00201,EXPERIENCED,2024-09-21
USER_KHH0031,DR_KAL_00202,EXPERIENCED,2024-05-09
USER_KHH0069,DR_KAL_00203,EXPERIENCED,2026-06-18
USER_KHH0009,DR_KAL_00204,EXPERIENCED,2026-04-26
USER_KHH0069,DR_KAL_00205,EXPERIENCED,2024-05-17
USER_KHH0023,DR_KAL_00206,EXPERIENCED,2024-09-22
USER_KHH0045,DR_KAL_00207,EXPERIENCED,2026-05-25
USER_KHH0069,DR_KAL_00208,EXPERIENCED,2024-06-01
USER_KHH0069,DR_KAL_00209,EXPERIENCED,2024-06-11
USER_KHH0042,DR_KAL_00210,EXPERIENCED,2026-06-05
USER_KHH0033,DR_KAL_00211,EXPERIENCED,2026-06-18
USER_KHH0052,DR_KAL_00212,EXPERIENCED,2024-05-31
USER_KHH0048,DR_KAL_00213,EXPERIENCED,2026-05-25
USER_KHH0009,DR_KAL_00214,EXPERIENCED,2024-05-15
USER_KHH0072,DR_KAL_00215,EXPERIENCED,2025-05-13
USER_KHH0009,DR_KAL_00216,EXPERIENCED,2024-04-26
USER_KHH0052,DR_KAL_00217,EXPERIENCED,2024-05-04
USER_KHH0033,DR_KAL_00218,EXPERIENCED,2026-06-27
USER_KHH0003,DR_KAL_00219,EXPERIENCED,2024-06-08
USER_KHH0045,DR_KAL_00220,EXPERIENCED,2024-09-23
USER_KHH0048,DR_KAL_00221,EXPERIENCED,2026-06-24
USER_KHH0045,DR_KAL_00222,EXPERIENCED,2024-05-29
USER_KHH0003,DR_KAL_00223,EXPERIENCED,2024-09-22
USER_KHH0033,DR_KAL_00224,EXPERIENCED,2024-06-03
USER_KHH0074,DR_KAL_00225,EXPERIENCED,2024-06-07
USER_KHH0009,DR_KAL_00226,EXPERIENCED,2024-05-10
USER_KHH0060,DR_KAL_00227,EXPERIENCED,2024-05-06
USER_KHH0069,DR_KAL_00228,EXPERIENCED,2026-06-07
USER_KHH0018,DR_KAL_00229,EXPERIENCED,2026-06-10
USER_KHH0069,DR_KAL_00230,EXPERIENCED,2024-05-31
USER_KHH0023,DR_KAL_00231,EXPERIENCED,2026-06-14
USER_KHH0003,DR_KAL_00232,EXPERIENCED,2026-06-05
USER_KHH0052,DR_KAL_00233,EXPERIENCED,2026-04-26
USER_KHH0042,DR_KAL_00234,EXPERIENCED,2026-06-03
USER_KHH0032,DR_KAL_00235,EXPERIENCED,2026-05-20
USER_KHH0009,DR_KAL_00236,EXPERIENCED,2026-06-24
USER_KHH0045,DR_KAL_00237,EXPERIENCED,2026-06-11
USER_KHH0009,DR_KAL_00238,EXPERIENCED,2026-04-23
USER_KHH0031,DR_KAL_00239,EXPERIENCED,2024-06-09
USER_KHH0009,DR_KAL_00240,EXPERIENCED,2026-06-13
USER_KHH0042,DR_KAL_00241,EXPERIENCED,2026-06-21
USER_KHH0052,DR_KAL_00242,EXPERIENCED,2026-05-23
USER_KHH0031,DR_KAL_00243,EXPERIENCED,2026-06-12
USER_KHH0009,DR_KAL_00244,EXPERIENCED,2024-09-23
USER_KHH0003,DR_KAL_00245,EXPERIENCED,2026-06-09
USER_KHH0045,DR_KAL_00246,EXPERIENCED,2024-05-16
USER_KHH0045,DR_KAL_00247,EXPERIENCED,2024-05-17
USER_KHH0033,DR_KAL_00248,EXPERIENCED,2026-06-07
USER_KHH0023,DR_KAL_00249,EXPERIENCED,2024-05-26
USER_KHH0046,DR_KAL_00250,EXPERIENCED,2024-06-04
USER_KHH0009,DR_KAL_00251,EXPERIENCED,2024-04-29
USER_KHH0045,DR_KAL_00252,EXPERIENCED,2024-06-11
USER_KHH0069,DR_KAL_00253,EXPERIENCED,2024-09-22
USER_KHH0048,DR_KAL_00254,EXPERIENCED,2024-05-25
USER_KHH0009,DR_KAL_00255,EXPERIENCED,2026-06-09
USER_KHH0048,DR_KAL_00256,EXPERIENCED,2026-06-19
USER_KHH0097,DR_KAL_00257,EXPERIENCED,2024-05-03
USER_KHH0052,DR_KAL_00258,EXPERIENCED,2026-06-26
USER_KHH0042,DR_KAL_00259,EXPERIENCED,2024-04-27
USER_KHH0023,DR_KAL_00260,EXPERIENCED,2024-06-13
USER_KHH0003,DR_KAL_00261,EXPERIENCED,2024-05-23
USER_KHH0060,DR_KAL_00262,EXPERIENCED,2026-05-23
USER_KHH0052,DR_KAL_00263,EXPERIENCED,2026-06-04
USER_KHH0009,DR_KAL_00264,EXPERIENCED,2026-06-28
USER_KHH0009,DR_KAL_00265,EXPERIENCED,2024-06-01
USER_KHH0052,DR_KAL_00266,EXPERIENCED,2026-04-23
USER_KHH0023,DR_KAL_00267,EXPERIENCED,2024-06-04
USER_KHH0060,DR_KAL_00268,EXPERIENCED,2024-05-31
USER_KHH0023,DR_KAL_00269,EXPERIENCED,2026-06-11
USER_KHH0066,DR_KAL_00270,EXPERIENCED,2026-06-12
USER_KHH0045,DR_KAL_00271,EXPERIENCED,2025-05-10
USER_KHH0072,DR_KAL_00272,EXPERIENCED,2026-06-10
USER_KHH0003,DR_KAL_00273,EXPERIENCED,2026-06-14
USER_KHH0048,DR_KAL_00274,EXPERIENCED,2024-05-23
USER_KHH0009,DR_KAL_00275,EXPERIENCED,2024-05-16
USER_KHH0045,DR_KAL_00276,EXPERIENCED,2024-09-19
USER_KHH0003,DR_KAL_00277,EXPERIENCED,2024-06-15
USER_KHH0065,DR_KAL_00278,EXPERIENCED,2024-09-22
USER_KHH0046,DR_KAL_00279,EXPERIENCED,2024-05-19
USER_KHH0023,DR_KAL_00280,EXPERIENCED,2026-05-23
USER_KHH0069,DR_KAL_00281,EXPERIENCED,2026-06-16
USER_KHH0069,DR_KAL_00282,EXPERIENCED,2026-06-11
USER_KHH0035,DR_KAL_00283,EXPERIENCED,2024-04-27
USER_KHH0023,DR_KAL_00284,EXPERIENCED,2025-05-10
USER_KHH0052,DR_KAL_00285,EXPERIENCED,2026-04-25
USER_KHH0009,DR_KAL_00286,EXPERIENCED,2025-05-10
USER_KHH0042,DR_KAL_00287,EXPERIENCED,2026-06-16
USER_KHH0066,DR_KAL_00288,EXPERIENCED,2026-06-18
USER_KHH0060,DR_KAL_00289,EXPERIENCED,2024-05-16
USER_KHH0066,DR_KAL_00290,EXPERIENCED,2026-06-27
USER_KHH0048,DR_KAL_00291,EXPERIENCED,2026-06-20
USER_KHH0065,DR_KAL_00292,EXPERIENCED,2024-06-13
