:START_ID,:END_ID,:TYPE
MTR_KSM0001,WARD_KAL_1,LOCATED_IN
MTR_KSM0002,WARD_KAL_4,LOCATED_IN
MTR_KSM0003,WARD_KAL_4,LOCATED_IN
MTR_KSM0004,WARD_KAL_3,LOCATED_IN
MTR_KSM0005,WARD_KAL_3,LOCATED_IN
MTR_KSM0006,WARD_KAL_5,LOCATED_IN
MTR_KSM0007,WARD_KAL_1,LOCATED_IN
MTR_KSM0008,WARD_KAL_4,LOCATED_IN
MTR_KSM0009,WARD_KAL_2,LOCATED_IN
MTR_KSM0010,WARD_KAL_1,LOCATED_IN
MTR_KSM0011,WARD_KAL_3,LOCATED_IN
MTR_KSM0012,WARD_KAL_5,LOCATED_IN
MTR_KSM0013,WARD_KAL_4,LOCATED_IN
MTR_KSM0014,WARD_KAL_4,LOCATED_IN
MTR_KSM0015,WARD_KAL_4,LOCATED_IN
MTR_KSM0016,WARD_KAL_4,LOCATED_IN
MTR_KSM0017,WARD_KAL_3,LOCATED_IN
MTR_KSM0018,WARD_KAL_1,LOCATED_IN
MTR_KSM0019,WARD_KAL_5,LOCATED_IN
MTR_KSM0020,WARD_KAL_3,LOCATED_IN
MTR_KSM0021,WARD_KAL_3,LOCATED_IN
MTR_KSM0022,WARD_KAL_2,LOCATED_IN
MTR_KSM0023,WARD_KAL_1,LOCATED_IN
MTR_KSM0024,WARD_KAL_5,LOCATED_IN
MTR_KSM0025,WARD_KAL_4,LOCATED_IN
MTR_KSM0026,WARD_KAL_4,LOCATED_IN
MTR_KSM0027,WARD_KAL_3,LOCATED_IN
MTR_KSM0028,WARD_KAL_5,LOCATED_IN
MTR_KSM0029,WARD_KAL_3,LOCATED_IN
MTR_KSM0030,WARD_KAL_3,LOCATED_IN
MTR_KSM0031,WARD_KAL_3,LOCATED_IN
MTR_KSM0032,WARD_KAL_2,LOCATED_IN
MTR_KSM0033,WARD_KAL_1,LOCATED_IN
MTR_KSM0034,WARD_KAL_3,LOCATED_IN
MTR_KSM0035,WARD_KAL_5,LOCATED_IN
MTR_KSM0036,WARD_KAL_1,LOCATED_IN
MTR_KSM0037,WARD_KAL_5,LOCATED_IN
MTR_KSM0038,WARD_KAL_5,LOCATED_IN
MTR_KSM0039,WARD_KAL_2,LOCATED_IN
MTR_KSM0040,WARD_KAL_4,LOCATED_IN
MTR_KSM0041,WARD_KAL_1,LOCATED_IN
MTR_KSM0042,WARD_KAL_4,LOCATED_IN
MTR_KSM0043,WARD_KAL_4,LOCATED_IN
MTR_KSM0044,WARD_KAL_2,LOCATED_IN
MTR_KSM0045,WARD_KAL_1,LOCATED_IN
MTR_KSM0046,WARD_KAL_5,LOCATED_IN
MTR_KSM0047,WARD_KAL_3,LOCATED_IN
MTR_KSM0048,WARD_KAL_5,LOCATED_IN
MTR_KSM0049,WARD_KAL_4,LOCATED_IN
MTR_KSM0050,WARD_KAL_4,LOCATED_IN
MTR_KSM0051,WARD_KAL_4,LOCATED_IN
MTR_KSM0052,WARD_KAL_1,LOCATED_IN
MTR_KSM0053,WARD_KAL_2,LOCATED_IN
MTR_KSM0054,WARD_KAL_3,LOCATED_IN
MTR_KSM0055,WARD_KAL_3,LOCATED_IN
MTR_KSM0056,WARD_KAL_1,LOCATED_IN
MTR_KSM0057,WARD_KAL_3,LOCATED_IN
MTR_KSM0058,WARD_KAL_1,LOCATED_IN
MTR_KSM0059,WARD_KAL_4,LOCATED_IN
MTR_KSM0060,WARD_KAL_4,LOCATED_IN
MTR_KSM0061,WARD_KAL_5,LOCATED_IN
MTR_KSM0062,WARD_KAL_4,LOCATED_IN
MTR_KSM0063,WARD_KAL_2,LOCATED_IN
MTR_KSM0064,WARD_KAL_5,LOCATED_IN
MTR_KSM0065,WARD_KAL_3,LOCATED_IN
MTR_KSM0066,WARD_KAL_2,LOCATED_IN
MTR_KSM0067,WARD_KAL_5,LOCATED_IN
MTR_KSM0068,WARD_KAL_2,LOCATED_IN
MTR_KSM0069,WARD_KAL_1,LOCATED_IN
MTR_KSM0070,WARD_KAL_3,LOCATED_IN
MTR_KSM0071,WARD_KAL_4,LOCATED_IN
