:START_ID,:END_ID,:TYPE
MTR_KSM0001,APP_KSM0001_ceiling_fan_1,REGISTERS
MTR_KSM0001,APP_KSM0001_table_fan_1,REGISTERS
MTR_KSM0001,APP_KSM0001_refrigerator_1,REGISTERS
MTR_KSM0001,APP_KSM0001_led_light_1,REGISTERS
MTR_KSM0001,APP_KSM0001_electric_kettle_1,REGISTERS
MTR_KSM0001,APP_KSM0001_blender_mixer_1,REGISTERS
MTR_KSM0001,APP_KSM0001_computer_laptop_1,REGISTERS
MTR_KSM0001,APP_KSM0001_router_charger_standby_1,REGISTERS
MTR_KSM0001,APP_KSM0001_exhaust_fan_1,REGISTERS
MTR_KSM0002,APP_KSM0002_ceiling_fan_1,REGISTERS
MTR_KSM0002,APP_KSM0002_table_fan_1,REGISTERS
MTR_KSM0002,APP_KSM0002_refrigerator_1,REGISTERS
MTR_KSM0002,APP_KSM0002_led_light_1,REGISTERS
MTR_KSM0002,APP_KSM0002_tv_led_1,REGISTERS
MTR_KSM0002,APP_KSM0002_computer_laptop_1,REGISTERS
MTR_KSM0002,APP_KSM0002_router_charger_standby_1,REGISTERS
MTR_KSM0003,APP_KSM0003_ceiling_fan_1,REGISTERS
MTR_KSM0003,APP_KSM0003_table_fan_1,REGISTERS
MTR_KSM0003,APP_KSM0003_led_light_1,REGISTERS
MTR_KSM0003,APP_KSM0003_tv_led_1,REGISTERS
MTR_KSM0003,APP_KSM0003_rice_cooker_1,REGISTERS
MTR_KSM0003,APP_KSM0003_blender_mixer_1,REGISTERS
MTR_KSM0003,APP_KSM0003_electric_iron_1,REGISTERS
MTR_KSM0003,APP_KSM0003_water_pump_0_5hp_1,REGISTERS
MTR_KSM0004,APP_KSM0004_ceiling_fan_1,REGISTERS
MTR_KSM0004,APP_KSM0004_table_fan_1,REGISTERS
MTR_KSM0004,APP_KSM0004_refrigerator_1,REGISTERS
MTR_KSM0004,APP_KSM0004_led_light_1,REGISTERS
MTR_KSM0004,APP_KSM0004_tube_light_1,REGISTERS
MTR_KSM0004,APP_KSM0004_tv_led_1,REGISTERS
MTR_KSM0004,APP_KSM0004_electric_iron_1,REGISTERS
MTR_KSM0004,APP_KSM0004_water_pump_0_5hp_1,REGISTERS
MTR_KSM0004,APP_KSM0004_router_charger_standby_1,REGISTERS
MTR_KSM0005,APP_KSM0005_ceiling_fan_1,REGISTERS
