:START_ID,:END_ID,:TYPE,monthly_kwh_est
USER_KHH0001,SLAB_3,SUBJECT_TO,139.6
USER_KHH0002,SLAB_3,SUBJECT_TO,127.7
USER_KHH0003,SLAB_3,SUBJECT_TO,103.7
USER_KHH0004,SLAB_3,SUBJECT_TO,149.7
USER_KHH0005,SLAB_2,SUBJECT_TO,63.2
USER_KHH0006,SLAB_3,SUBJECT_TO,142.0
USER_KHH0007,SLAB_3,SUBJECT_TO,141.2
USER_KHH0008,SLAB_2,SUBJECT_TO,51.4
USER_KHH0009,SLAB_2,SUBJECT_TO,68.7
USER_KHH0010,SLAB_3,SUBJECT_TO,157.1
USER_KHH0011,SLAB_3,SUBJECT_TO,126.6
USER_KHH0012,SLAB_3,SUBJECT_TO,99.6
USER_KHH0013,SLAB_3,SUBJECT_TO,120.1
USER_KHH0014,SLAB_3,SUBJECT_TO,76.1
USER_KHH0015,SLAB_3,SUBJECT_TO,171.0
USER_KHH0016,SLAB_3,SUBJECT_TO,161.3
USER_KHH0017,SLAB_3,SUBJECT_TO,121.9
USER_KHH0018,SLAB_3,SUBJECT_TO,198.7
USER_KHH0019,SLAB_3,SUBJECT_TO,114.8
USER_KHH0020,SLAB_3,SUBJECT_TO,151.5
USER_KHH0021,SLAB_3,SUBJECT_TO,168.6
USER_KHH0022,SLAB_3,SUBJECT_TO,174.0
USER_KHH0023,SLAB_3,SUBJECT_TO,112.8
USER_KHH0024,SLAB_3,SUBJECT_TO,118.6
USER_KHH0025,SLAB_3,SUBJECT_TO,138.7
USER_KHH0026,SLAB_3,SUBJECT_TO,113.7
USER_KHH0027,SLAB_3,SUBJECT_TO,144.5
USER_KHH0028,SLAB_3,SUBJECT_TO,95.3
USER_KHH0029,SLAB_3,SUBJECT_TO,114.3
USER_KHH0030,SLAB_3,SUBJECT_TO,105.0
USER_KHH0031,SLAB_3,SUBJECT_TO,140.6
USER_KHH0032,SLAB_3,SUBJECT_TO,109.9
USER_KHH0033,SLAB_3,SUBJECT_TO,77.7
USER_KHH0034,SLAB_3,SUBJECT_TO,134.5
USER_KHH0035,SLAB_3,SUBJECT_TO,87.7
USER_KHH0036,SLAB_3,SUBJECT_TO,145.7
USER_KHH0037,SLAB_3,SUBJECT_TO,151.6
