household_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,741.8844889317587,741.8844889317587,0.0,0.0,0,0,0.0,0.0,0,upper-middle,174354.85781382807,4,4.522244194721653,4.522244194721653,6.269699999999999,12871.831059350805,12871.831059350805,0.0,17.35,30,1.0,741.8844889317587,741.8844889317587,9581.274447114316,9581.40962349911,0.13517638479410043,8861.695882966014,8861.695882966014,12.914779308717476,12.914779308717476,601-above,601-above,-0.13517638479424932,-0.0014108392942961954,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.13517638479424932,False,False,False,,False
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,2.2891494141129978,16.94157897705322,0.41494041295175105,LT-A,206.54885510342336,196.54625506863385,4.0321526400961405,10.002600034789461,25,150,178.69003831895117,0.0,30,upper-middle,112596.59401203739,5,0.9056059902486513,0.9131076695790628,3.6806,1879.6322160432137,1788.6067331850725,0.0,9.1,30,1.0,206.54885510342336,196.54625506863385,1827.18877051321,1733.8255985480616,0.03581206050453081,1585.5945814411525,1496.6431680833878,8.84627886026431,8.821281208752202,201-300,76-200,93.36317196514847,5.109662092490048,91.02548285814123,10.00260003478951,4.842728384904867,-0.007501679330411459,-0.8283601711105876,0.943764098401747,True,-85.3268663538027,False,True,False,0.5224867197045463,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,2.1309659713479836,15.287353625277056,0.44008259670880423,LT-A,176.71666423334503,176.71666423334503,0.0,0.0,0,0,0.0,0.0,0,upper-middle,122947.57133679508,4,0.9728447772494944,0.9728447772494944,2.3800000000000003,1502.1238449580171,1502.1238449580171,0.0,8.5,30,1.0,176.71666423334503,176.71666423334503,1499.4542282826044,1499.4864272571892,0.03219897458475344,1328.0916459834327,1328.0916459834327,8.485075444286647,8.485075444286647,76-200,76-200,-0.03219897458484411,-0.0021473796250335107,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03219897458484411,False,False,False,,False
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.8814824867709768,20.296420716600025,0.3494072353236943,LT-A,125.77903603831048,125.77903603831048,0.0,0.0,0,0,0.0,0.0,0,middle,53546.145812606715,4,0.7631324280611624,0.7631324280611624,2.2843999999999998,1069.1447241189453,1069.1447241189453,0.0,8.5,30,1.0,125.77903603831048,125.77903603831048,1040.619936641921,1040.6428544352273,0.022917793306377676,895.121806325639,895.121806325639,8.273397295913153,8.273397295913153,76-200,76-200,-0.02291779330630561,-0.0022023211836841505,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.02291779330630561,False,False,False,,False
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,1.3545743690674348,18.996613699464877,0.410064197023275,LT-A,196.82248550892285,196.82248550892285,0.0,0.0,0,0,0.0,0.0,0,middle,59531.87269822272,5,0.9916189913789257,0.9916189913789257,3.5601,1673.0269892174078,1673.0269892174078,0.0,8.5,30,1.0,196.82248550892285,196.82248550892285,1730.9410931671366,1730.9769555587006,0.035862391563941574,1498.9911268258443,1498.9911268258443,8.794427571074776,8.794427571074776,76-200,76-200,-0.03586239156402371,-0.0020718435598756045,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03586239156402371,False,False,False,,False
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,3.294708550330959,30.654584092625228,0.26969991655302733,LT-A,114.42690706294435,114.42690706294435,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2689426569645353,0.2689426569645353,0.38070000000000004,972.6495593934524,972.6495593934524,0.0,8.5,30,1.0,114.42690706294435,114.42690706294435,860.6101455367783,860.6309948952037,0.020849358425341226,798.628710035027,798.628710035027,7.5210469952086605,7.5210469952086605,76-200,76-200,-0.02084935842538016,-0.0024226252192711523,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.02084935842538016,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,3.368434981796543,21.03050655633284,0.3025223374839223,LT-A,149.25384920148198,149.25384920148198,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2511246302574692,1.2511246302574692,1.9195,1268.6849132760508,1268.6849132760508,0.0,8.5,30,1.0,149.25384920148198,149.25384920148198,1234.0405541232267,1234.0677491866802,0.027195063453491333,1094.6577182125968,1094.6577182125968,8.268065183748531,8.268065183748531,76-200,76-200,-0.027195063453518742,-0.0022037414704608764,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.027195063453518742,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.958195354437911,18.025530948896996,0.3590640949863418,LT-A,188.3564219134829,188.3564219134829,0.0,0.0,0,0,0.0,0.0,0,middle,43471.247693859405,5,0.922622061291981,0.922622061291981,2.2004,1601.063906081971,1601.063906081971,0.0,8.5,30,1.0,188.3564219134829,188.3564219134829,1595.4187055778348,1595.4530253952012,0.03431981736628399,1427.0295862646046,1427.0295862646046,8.47021136508238,8.47021136508238,76-200,76-200,-0.034319817366395,-0.002151147986820483,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.034319817366395,False,False,False,,False
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,1.225327892006244,18.6717274672704,0.41414587042128215,LT-A,398.077109371363,387.6256614738084,0.0,10.451447897554571,0,48,195.14658678151517,0.0,12,upper-middle,177614.14505977277,4,2.560466022218713,2.560466022218713,3.9807,3829.5743245013027,3729.0294914021465,0.0,9.62,30,1.0,398.077109371363,387.6256614738084,3724.025751760138,3618.5263045710494,0.07062802411046362,3379.5017921525123,3278.9588633780368,9.355036157796311,9.33492293257637,301-400,301-400,105.49944718908864,2.832940860820443,100.54483309915622,10.451447897554601,2.6254832673145563,0.0,0.0,0.9737451673268546,True,-89.64713959242653,False,False,False,0.5406164100999887,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.8157646555528526,23.248261484397293,0.3230992493504371,LT-A,196.77862878463787,196.77862878463787,0.0,0.0,0,0,0.0,0.0,0,upper-middle,156299.7761650142,6,0.9831174001378662,0.9831174001378662,3.7399000000000004,1672.6541990699936,1672.6541990699936,0.0,8.5,30,1.0,196.77862878463787,196.77862878463787,1738.4788519028932,1738.5147063034647,0.035854400571373055,1498.618344669422,1498.618344669422,8.834693394502468,8.834693394502468,76-200,76-200,-0.03585440057145206,-0.002062400732238231,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03585440057145206,False,False,False,,False
DHNC0011,Dhanmondi,Residential,Res-A,597.3547737671756,0.3692491721558849,2.485346922333847,20.579846039237896,0.3491485285830399,LT-A,495.66845075302064,495.66845075302064,0.0,0.0,0,0,0.0,0.0,0,upper-middle,199144.37502718804,4,2.681841055030918,2.681841055030918,5.570199999999999,7440.073759955822,7440.073759955822,0.0,15.01,30,1.0,495.66845075302064,495.66845075302064,5321.328438092982,5321.418752245965,0.09031415298325382,4833.98344580284,4833.98344580284,10.735660964519342,10.735660964519342,401-600,401-600,-0.09031415298341017,-0.0016972106501995257,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.09031415298341017,False,False,False,,False
DHNC0012,Dhanmondi,Residential,Res-A,597.3547737671756,0.5386261237165179,2.408977113564393,20.594169461062933,0.3788994379258158,LT-A,157.25263141484473,157.25263141484473,0.0,0.0,0,0,0.0,0.0,0,upper-middle,104924.43749387428,4,0.9674737262491748,0.9674737262491748,2.9512,1336.676019521995,1336.676019521995,0.0,8.5,30,1.0,157.25263141484473,157.25263141484473,1350.9276553774891,1350.9563078733038,0.02865249581457846,1162.6473670261803,1162.6473670261803,8.590811124893907,8.590811124893907,76-200,76-200,-0.028652495814640133,-0.00212094968228582,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.028652495814640133,False,False,False,,False
DHNC0013,Dhanmondi,Residential,Res-B,597.3547737671756,0.4151720167605782,1.6924710884998417,21.58504930244223,0.42377541672191993,LT-A,185.82639660692382,185.82639660692382,0.0,0.0,0,0,0.0,0.0,0,middle,56263.97878643399,5,1.0613030785431088,1.0613030785431088,1.7252,1579.558229988451,1579.558229988451,0.0,8.5,30,1.0,185.82639660692382,185.82639660692382,1551.8819097167952,1551.915768546394,0.0338588295986725,1405.5243711588525,1405.5243711588525,8.351245775913478,8.351245775913478,76-200,76-200,-0.03385882959878472,-0.002181791629039845,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03385882959878472,False,False,False,,False
DHNC0014,Dhanmondi,Residential,Res-B,597.3547737671756,0.3658805028771735,1.3716573692530845,16.91677503786368,0.3233193602958268,LT-A,139.96076086458442,139.96076086458442,0.0,0.0,0,0,0.0,0.0,0,middle,52192.10494958036,4,0.8231676560421688,0.8231676560421688,2.8141,1189.6919691487074,1189.6919691487074,0.0,8.5,30,1.0,139.96076086458442,139.96076086458442,1190.551600716416,1190.5771025161557,0.025501799739671347,1015.6664673489676,1015.6664673489676,8.50632415372695,8.50632415372695,76-200,76-200,-0.02550179973968625,-0.002142015493015213,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.02550179973968625,False,False,False,,False
DHNC0015,Dhanmondi,Residential,Res-A,597.3547737671756,0.5129785330001845,1.316171549000022,18.17328596237249,0.4865116293721594,LT-A,578.3988813460238,575.9968561981152,0.0,2.402025147908563,0,6,43.65268990175238,0.0,2,upper-middle,83791.43714369864,5,3.202978446236219,3.202978446236219,4.6006,8681.872597202273,8645.817762066896,0.0,15.01,30,1.0,578.3988813460238,575.9968561981152,6582.442029454009,6544.689862643578,0.10495053318305798,6075.767209003818,6039.712811533709,11.380454288112809,11.36218859822973,401-600,401-600,37.752166810430936,0.5735282839029021,36.05483513537729,2.4020251479086028,0.41528869183127015,0.0,0.0,0.9958471130816874,True,-5.900523091321446,False,False,False,0.8648302520508689,True
DHNC0016,Dhanmondi,Residential,Res-A,597.3547737671756,0.5202448578294103,1.449290396516837,27.850003669213212,0.3477793964255179,LT-A,205.91342095875007,205.91342095875007,0.0,0.0,0,0,0.0,0.0,0,upper-middle,140591.20841218322,5,0.8430372817850791,0.8430372817850791,2.6751000000000005,1873.8496495462773,1873.8496495462773,0.0,9.1,30,1.0,205.91342095875007,205.91342095875007,1776.774647260857,1776.8121660825077,0.0375188216508863,1579.8121307246256,1579.8121307246256,8.628746193366348,8.628746193366348,201-300,201-300,-0.03751882165079223,-0.002111625225440529,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03751882165079223,False,False,False,,False
DHNC0017,Dhanmondi,Residential,Res-A,597.3547737671756,0.6267937956030032,1.7266259395684538,22.191994917413318,0.41451152558965887,LT-A,445.16895505283173,413.01068403269187,0.0,32.15827102013982,0,60,713.6561870317428,0.0,30,upper-middle,125784.29300369692,5,3.889339225488028,3.889339225488028,5.3001,6682.067128145419,6199.365620678069,0.0,15.01,30,1.0,445.16895505283173,413.01068403269187,4513.519726110155,4006.764549044604,0.07525334736310031,4075.9860153430045,3593.290367330705,10.138891481268049,9.701175903188236,401-600,401-600,506.7551770655509,11.227494457020644,482.70150746735,32.158271020139864,7.223835052990923,0.0,0.0,0.9277616494700909,True,-206.90100996619185,False,True,False,0.7100830711960336,True
DHNC0018,Dhanmondi,Residential,Res-B,597.3547737671756,0.2257660077084152,1.493458400861342,16.960060365187232,0.3785107765602678,LT-A,166.20105462023224,166.20105462023224,0.0,0.0,0,0,0.0,0.0,0,middle,48210.726844112214,5,0.8779939686360916,0.8779939686360916,2.4252,1412.7392472311785,1412.7392472311785,0.0,8.5,30,1.0,166.20105462023224,166.20105462023224,1407.5957324855729,1407.626015444777,0.030282959204173853,1238.708964271974,1238.708964271974,8.469234661006906,8.469234661006906,76-200,76-200,-0.03028295920421442,-0.0021513960653134338,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.03028295920421442,False,False,False,,False
DHNC0019,Dhanmondi,Residential,Res-B,597.3547737671756,0.41725187886000425,1.9210553598697473,18.434665121911685,0.4507181261917123,LT-A,159.37148827089507,159.37148827089507,0.0,0.0,0,0,0.0,0.0,0,middle,41001.29658024218,4,1.0075919079701723,1.0075919079701723,2.9,1354.6866888685104,1354.6866888685104,0.0,8.5,30,1.0,159.37148827089507,159.37148827089507,1367.5805328177385,1367.6095713836407,0.029038565902267575,1180.657650302608,1180.657650302608,8.581086539727636,8.581086539727636,76-200,76-200,-0.029038565902283153,-0.002123353265525988,0.0,0.0,0.0,0.0,0.0,1.0,True,-0.029038565902283153,False,False,False,,False
