household_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,741.8844889317587,705.6283568746072,0.0,36.25613205715144,0,237,741.2736095278526,108.76839617145431,10,upper-middle,174354.85781382807,4,4.522244194721653,4.522244194721653,6.269699999999999,12871.695882966014,12133.883595602985,108.76839617145431,17.35,30,1.0,741.8844889317587,705.6283568746072,9581.274447114316,8920.778361363158,0.0,8861.695882966014,8232.651991774435,12.914779308717476,12.642318402388714,601-above,601-above,660.4960857511578,6.8936140948356375,737.8122873630291,36.25613205715149,4.887031956869294,0.0,0.0,0.9511296804313071,True,27.99087239475955,True,False,True,0.891028733873117,True
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,2.2891494141129978,16.94157897705322,0.41494041295175105,LT-A,206.54885510342336,196.37674189308515,0.0,10.172113210338132,0,216,172.33165931646977,30.516339631014393,10,upper-middle,112596.59401203739,5,0.9056059902486513,0.9056059902486513,3.6806,1879.5945814411518,1756.5120115960603,30.516339631014393,9.1,30,1.0,206.54885510342336,196.37674189308515,1827.18877051321,1732.276881395785,0.0,1585.5945814411525,1495.2023060912238,8.84627886026431,8.821191678283885,201-300,76-200,94.91188911742506,5.1944216519438635,123.08256984509148,10.17211321033821,4.924797673288878,0.0,0.0,0.9507520232671116,True,-46.903430568030316,False,True,False,0.5507513215730658,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,2.1309659713479836,15.287353625277056,0.44008259670880423,LT-A,176.71666423334503,167.95761337156392,0.0,8.759050861781084,0,232,133.9027079458352,26.277152585343252,10,upper-middle,122947.57133679508,4,0.9728447772494944,0.9728447772494944,2.3800000000000003,1502.0916459834327,1401.36256107295,26.277152585343252,8.5,30,1.0,176.71666423334503,167.95761337156392,1499.4542282826044,1421.279699341208,0.0,1328.0916459834327,1253.6397136582932,8.485075444286647,8.462133218081544,76-200,76-200,78.17452894139637,5.2135321950396145,100.7290849104827,8.759050861781105,4.95655058892196,0.0,0.0,0.9504344941107805,True,-29.45102641909557,False,True,False,0.5838158924539348,True
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.8814824867709768,20.296420716600025,0.3494072353236943,LT-A,125.77903603831048,122.71850322906353,0.0,3.060532809246934,0,230,62.11786151343354,9.181598427740802,10,middle,53546.145812606715,4,0.7631324280611624,0.7631324280611624,2.2843999999999998,1069.1218063256392,1033.9256790192994,9.181598427740802,8.5,30,1.0,125.77903603831048,122.71850322906353,1040.619936641921,1013.304681319392,0.0,895.121806325639,869.10727744704,8.273397295913153,8.257146678426976,76-200,76-200,27.31525532252897,2.624902172321939,35.196127306339804,3.0605328092469506,2.433261460450974,0.0,0.0,0.9756673853954904,True,-25.621007763163767,False,False,False,0.4397327058115451,True
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,1.3545743690674348,18.996613699464877,0.410064197023275,LT-A,196.82248550892285,187.11799653938596,0.0,9.704488969536873,0,266,184.35242810500998,29.113466908610622,10,middle,59531.87269822272,5,0.9916189913789257,0.9916189913789257,3.5601,1672.9911268258438,1561.3895036761696,29.113466908610622,8.5,30,1.0,196.82248550892285,187.11799653938596,1730.9410931671366,1644.3285291140196,0.0,1498.9911268258443,1416.5029705847805,8.794427571074776,8.787655701347301,76-200,76-200,86.61256405311701,5.003784611447426,111.6016231496742,9.704488969536897,4.9305794225919115,0.0,0.0,0.950694205774081,True,-68.62639714328235,False,False,False,0.46982057650893083,True
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,3.294708550330959,30.654584092625228,0.26969991655302733,LT-A,114.42690706294435,114.42690706294435,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2689426569645353,0.2689426569645353,0.38070000000000004,972.6287100350271,972.6287100350271,0.0,8.5,30,1.0,114.42690706294435,114.42690706294435,860.6101455367783,860.6101455367783,0.0,798.628710035027,798.628710035027,7.5210469952086605,7.5210469952086605,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,3.368434981796543,21.03050655633284,0.3025223374839223,LT-A,149.25384920148198,149.25384920148198,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2511246302574692,1.2511246302574692,1.9195,1268.6577182125968,1268.6577182125968,0.0,8.5,30,1.0,149.25384920148198,149.25384920148198,1234.0405541232267,1234.0405541232267,0.0,1094.6577182125968,1094.6577182125968,8.268065183748531,8.268065183748531,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.958195354437911,18.025530948896996,0.3590640949863418,LT-A,188.3564219134829,178.99722762082774,0.0,9.359194292655198,0,310,168.7044463789964,28.077582877965593,10,middle,43471.247693859405,5,0.922622061291981,0.922622061291981,2.2004,1601.0295862646053,1493.3988518990705,28.077582877965593,8.5,30,1.0,188.3564219134829,178.99722762082774,1595.4187055778348,1511.8878965158876,0.0,1427.0295862646046,1347.4764347770358,8.47021136508238,8.446431917473829,76-200,76-200,83.53080906194714,5.23566689859598,107.63073436553486,9.359194292655161,4.968874539862563,0.0,0.0,0.9503112546013742,True,-57.09605443908367,False,False,False,0.49513104636432786,True
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,1.225327892006244,18.6717274672704,0.41414587042128215,LT-A,398.077109371363,378.5379484857394,0.0,19.53916088562352,0,229,364.8298869955121,58.617482656870564,10,upper-middle,177614.14505977277,4,2.560466022218713,2.560466022218713,3.9807,3829.5017921525105,3582.9175817759415,58.617482656870564,9.62,30,1.0,398.077109371363,378.5379484857394,3724.025751760138,3526.660687654454,0.0,3379.5017921525123,3191.5350644328128,9.355036157796311,9.316531411875904,301-400,301-400,197.36506410568427,5.2997771031094745,246.584210376569,19.53916088562363,4.908385944743108,0.0,0.0,0.9509161405525692,True,-108.84734023295727,False,True,False,0.5409783330281605,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.8157646555528526,23.248261484397293,0.3230992493504371,LT-A,196.77862878463787,189.6038849691359,0.0,7.17474381550201,0,290,166.8003203063531,21.52423144650603,10,upper-middle,156299.7761650142,6,0.9831174001378662,0.9831174001378662,3.7399000000000004,1672.6183446694224,1590.1087907911487,21.52423144650603,8.5,30,1.0,196.77862878463787,189.6038849691359,1738.4788519028932,1674.4442633495378,0.0,1498.618344669422,1437.633022237655,8.834693394502468,8.831276129295068,76-200,76-200,64.03458855335543,3.6833688533665425,82.50955387827366,7.174743815501984,3.6460991012160675,0.0,0.0,0.9635390089878392,True,-81.24150030649162,False,False,False,0.3838996737880754,True
DHNC0011,Dhanmondi,Residential,Res-A,597.3547737671756,0.3692491721558849,2.485346922333847,20.579846039237896,0.3491485285830399,LT-A,495.66845075302064,471.5045673104553,0.0,24.16388344256532,0,196,497.2890009580841,72.49165032769596,10,upper-middle,199144.37502718804,4,2.681841055030918,2.681841055030918,5.570199999999999,7439.983445802839,7004.791905002239,72.49165032769596,15.01,30,1.0,495.66845075302064,471.5045673104553,5321.328438092982,4940.49355309643,0.0,4833.98344580284,4471.283555329934,10.735660964519342,10.478145697035071,401-600,401-600,380.8348849965514,7.15676338018016,435.1915408005998,24.16388344256535,4.875009374886685,0.0,0.0,0.9512499062511333,True,-43.9624656338367,False,False,False,0.7658220557117279,True
DHNC0012,Dhanmondi,Residential,Res-A,597.3547737671756,0.5386261237165179,2.408977113564393,20.594169461062933,0.3788994379258158,LT-A,157.25263141484473,151.2278266913731,0.0,6.02480472347155,0,230,124.07584944498551,18.07441417041465,10,upper-middle,104924.43749387428,4,0.9674737262491748,0.9674737262491748,2.9512,1336.64736702618,1267.3621127062572,18.07441417041465,8.5,30,1.0,157.25263141484473,151.2278266913731,1350.9276553774891,1297.156273220505,0.0,1162.6473670261803,1111.4365268766715,8.590811124893907,8.57749728737259,76-200,76-200,53.771382156984146,3.980330252544784,69.28525431992284,6.024804723471618,3.831290242500116,0.0,0.0,0.9616870975749993,True,-52.230053117586706,False,False,False,0.4333750878798219,True
DHNC0013,Dhanmondi,Residential,Res-B,597.3547737671756,0.4151720167605782,1.6924710884998417,21.58504930244223,0.42377541672191993,LT-A,185.82639660692382,176.61292328360426,0.0,9.213473323319523,0,263,198.87327593058816,27.64041996995857,10,middle,56263.97878643399,5,1.0613030785431088,1.0613030785431088,1.7252,1579.5243711588523,1473.5694279406778,27.64041996995857,8.5,30,1.0,185.82639660692382,176.61292328360426,1551.8819097167952,1469.651660306168,0.0,1405.5243711588525,1327.2098479106362,8.351245775913478,8.321314391847803,76-200,76-200,82.23024941062727,5.298743989201701,105.95494321817455,9.213473323319562,4.95810793921205,0.0,0.0,0.9504189206078797,True,-89.00260655000233,False,False,False,0.413480639999754,True
DHNC0014,Dhanmondi,Residential,Res-B,597.3547737671756,0.3658805028771735,1.3716573692530845,16.91677503786368,0.3233193602958268,LT-A,139.96076086458442,137.2718492710457,0.0,2.6889115935386863,0,160,45.4877125245975,8.06673478061606,10,middle,52192.10494958036,4,0.8231676560421688,0.8231676560421688,2.8141,1189.6664673489672,1158.743984023272,8.06673478061606,8.5,30,1.0,139.96076086458442,137.2718492710457,1190.551600716416,1166.553064744083,0.0,1015.6664673489676,992.8107188038886,8.50632415372695,8.498123037890334,76-200,76-200,23.998535972333002,2.0157493348370497,30.92248332569511,2.6889115935387053,1.921189608379091,0.0,0.0,0.9807881039162092,True,-13.422441771648437,False,False,False,0.5275828271064583,True
DHNC0015,Dhanmondi,Residential,Res-A,597.3547737671756,0.5129785330001845,1.316171549000022,18.17328596237249,0.4865116293721594,LT-A,578.3988813460238,550.0330861099596,0.0,28.365795236064343,0,130,515.4997083751005,85.09738570819302,10,upper-middle,83791.43714369864,5,3.202978446236219,3.202978446236219,4.6006,8681.76720900382,8170.899236802302,85.09738570819302,15.01,30,1.0,578.3988813460238,550.0330861099596,6582.442029454009,6135.382913636019,0.0,6075.767209003818,5649.9966225104945,11.380454288112809,11.154570640518644,401-600,401-600,447.05911581798955,6.79169089249194,510.86797220151766,28.365795236064173,4.904192617048735,0.0,0.0,0.9509580738295124,True,16.65679315108207,True,True,True,0.8672344689139756,True
DHNC0016,Dhanmondi,Residential,Res-A,597.3547737671756,0.5202448578294103,1.449290396516837,27.850003669213212,0.3477793964255179,LT-A,205.91342095875007,198.33001203741102,0.0,7.583408921339037,0,290,211.19796628443632,22.750226764017107,10,upper-middle,140591.20841218322,5,0.8430372817850791,0.8430372817850791,2.6751000000000005,1873.812130724626,1782.0528827764235,22.750226764017107,9.1,30,1.0,205.91342095875007,198.33001203741102,1776.774647260857,1705.3672674338934,0.0,1579.8121307246256,1511.8051023179937,8.628746193366348,8.598634417025144,201-300,76-200,71.4073798269635,4.01893284199253,91.75924794820253,7.583408921339043,3.6828143042012793,0.0,0.0,0.9631718569579872,True,-117.04035969345571,False,False,False,0.338106379920315,True
DHNC0017,Dhanmondi,Residential,Res-A,597.3547737671756,0.6267937956030032,1.7266259395684538,22.191994917413318,0.41451152558965887,LT-A,445.16895505283173,423.4846642085606,0.0,21.684290844271107,0,149,481.2176722037766,65.05287253281332,10,upper-middle,125784.29300369692,5,3.889339225488028,3.889339225488028,5.3001,6681.986015343003,6291.451937237681,65.05287253281332,15.01,30,1.0,445.16895505283173,423.4846642085606,4513.519726110155,4171.764460259019,0.0,4075.9860153430045,3750.504809770495,10.138891481268049,9.851040221386812,401-600,401-600,341.75526585113585,7.57181283321138,390.5340781053219,21.684290844271118,4.871024944158038,0.0,0.0,0.9512897505584197,True,-74.4095338198274,False,True,False,0.7101885188173556,True
DHNC0018,Dhanmondi,Residential,Res-B,597.3547737671756,0.2257660077084152,1.493458400861342,16.960060365187232,0.3785107765602678,LT-A,166.20105462023224,162.0753978501583,0.0,4.125656770073921,0,188,69.97138786649708,12.376970310221765,5,middle,48210.726844112214,5,0.8779939686360916,0.8779939686360916,2.4252,1412.708964271974,1365.2639114161243,12.376970310221765,8.5,30,1.0,166.20105462023224,162.0753978501583,1407.5957324855729,1370.7742458126631,0.0,1238.708964271974,1203.6408817263457,8.469234661006906,8.457633076921207,76-200,76-200,36.821486672909714,2.615913491573982,47.44505285584978,4.125656770073931,2.482328875409976,0.0,0.0,0.9751767112459003,True,-20.772930883365603,False,False,False,0.5262363345309629,True
DHNC0019,Dhanmondi,Residential,Res-B,597.3547737671756,0.41725187886000425,1.9210553598697473,18.434665121911685,0.4507181261917123,LT-A,159.37148827089507,151.60312493354706,0.0,7.7683633373479735,0,320,143.20717666934615,23.30509001204392,10,middle,41001.29658024218,4,1.0075919079701723,1.0075919079701723,2.9,1354.6576503026076,1265.3214719231066,23.30509001204392,8.5,30,1.0,159.37148827089507,151.60312493354706,1367.5805328177385,1298.2478900319074,0.0,1180.657650302608,1114.62656193515,8.581086539727636,8.563463916729782,76-200,76-200,69.33264278583101,5.069730163749792,89.336178379501,7.768363337348006,4.874374595877254,0.0,0.0,0.9512562540412277,True,-50.56944387147122,False,False,False,0.48414223643214827,True
DHNC0020,Dhanmondi,Residential,Res-A,597.3547737671756,0.4524087566689231,1.669019248356296,18.06735840768602,0.43758001754558074,LT-A,275.89435902555635,262.2883237231898,0.0,13.606035302366493,0,229,245.82511631548405,40.81810590709948,10,upper-middle,196485.8508143802,5,1.8755679711321622,1.8755679711321622,5.2801,2510.6386671325627,2346.0056399739283,40.81810590709948,9.1,30,1.0,275.89435902555635,262.2883237231898,2560.323010489191,2430.317343175079,0.0,2216.6386671325627,2092.823745881027,9.280084665493382,9.265823612262485,201-300,201-300,130.0056673141121,5.077705695004179,164.63302715863438,13.606035302366536,4.931610544855756,0.0,0.0,0.9506838945514426,True,-75.00134309427247,False,False,False,0.5288542898410226,True
DHNC0021,Dhanmondi,Residential,Res-A,597.3547737671756,0.593499683187066,1.5735730355305488,25.14225263506083,0.36812831116610345,LT-A,657.973080885311,625.7946915729999,0.0,32.17838931231136,0,230,809.0371934794734,96.53516793693409,10,upper-middle,154326.830346587,4,3.292968961196623,3.292968961196623,5.964899999999999,11415.832953360152,10761.002730854614,96.53516793693409,17.35,30,1.0,657.973080885311,625.7946915729999,8039.176691028153,7452.9668837311265,0.0,7405.832953360145,6847.537898791548,12.218093603785949,11.909603875030196,601-above,601-above,586.2098072970266,7.291913461128997,654.8302225055377,32.17838931231108,4.890532796419978,0.0,0.0,0.9510946720357998,True,-126.2922182455128,False,True,False,0.7245770800423648,True
DHNC0022,Dhanmondi,Residential,Res-B,597.3547737671756,0.3775815483160288,2.0624570062445944,14.334308694458459,0.2780412155954435,LT-A,133.95380611275885,128.6094986380808,0.0,5.344307474678009,0,290,76.60695310013631,16.032922424034027,10,middle,39560.95363024633,5,0.6353992997170809,0.6353992997170809,1.2202,1138.60735195845,1077.147815999653,16.032922424034027,8.5,30,1.0,133.95380611275885,128.6094986380808,1066.6485395563727,1018.9505953448711,0.0,964.6073519584503,919.1807384236868,7.9628087510891294,7.922825344435046,76-200,76-200,47.697944211501635,4.471758263630078,61.459535958797005,5.344307474678061,3.9896645192592444,0.0,0.0,0.9601033548074079,True,-12.876086464600647,False,False,False,0.6226320494584031,True
DHNC0023,Dhanmondi,Residential,Res-C,597.3547737671756,0.213198259329218,2.8827300304863437,33.724644661196976,0.3274178334648801,LT-A,272.03224092858227,272.03224092858227,0.0,0.0,0,0,0.0,0.0,0,lower-middle,15421.258152628776,3,1.0955845399535906,1.0955845399535906,2.0695,2475.493392450099,2475.493392450099,0.0,9.1,30,1.0,272.03224092858227,272.03224092858227,2381.8330120726037,2381.8330120726037,0.0,2181.493392450099,2181.493392450099,8.755701176971579,8.755701176971579,201-300,201-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0024,Dhanmondi,Residential,Res-A,597.3547737671756,0.5438622565982701,2.1514496998727797,19.1830401460924,0.3976973462845833,LT-A,431.11695257040515,409.9401703076851,0.0,21.176782262720053,0,241,406.23506431081614,63.53034678816016,10,upper-middle,101357.95179186048,4,2.596500948654084,2.596500948654084,5.3059,6471.065458081782,6089.671609530192,63.53034678816016,15.01,30,1.0,431.11695257040515,409.9401703076851,4292.308920985871,3958.552244134271,0.0,3865.0654580817813,3547.201956318353,9.956251767401561,9.656414596215678,401-600,401-600,333.7566768515999,7.775690962498143,381.39384855159005,21.176782262720053,4.912073658078129,0.0,0.0,0.9508792634192187,True,-8.948040671056106,False,True,False,0.8215851022555699,True
DHNC0025,Dhanmondi,Residential,Res-A,597.3547737671756,0.5916118861150873,3.0040159166063707,19.287078447991448,0.40669407087305026,LT-A,567.3292533741046,539.6038158845787,0.0,27.72543748952593,0,231,534.7426878653697,83.17631246857779,10,upper-middle,148933.5771814863,5,3.3153360078658327,3.3153360078658327,6.1248,8515.612093145312,8016.27696395895,83.17631246857779,15.01,30,1.0,567.3292533741046,539.6038158845787,6475.196377802576,6038.229620248903,0.0,5909.61209314531,5493.453276427526,11.413471699709346,11.190116604995398,401-600,401-600,436.9667575536723,6.748316685060315,499.3351291863619,27.725437489525916,4.887010025418764,0.0,0.0,0.9511298997458123,True,-14.599617843119631,False,True,False,0.8171533103107824,True
DHNC0026,Dhanmondi,Residential,Res-A,597.3547737671756,0.5556293189257726,2.0643005858025623,19.53619905640408,0.4003143373493477,LT-A,470.1141317899835,447.01076508959216,0.0,23.10336670039134,0,237,451.3519707319428,69.31010010117403,10,upper-middle,102517.59120326015,5,3.371064558176016,3.371064558176016,5.2899,7056.413118167653,6640.321483893603,69.31010010117403,15.01,30,1.0,470.1141317899835,447.01076508959216,4906.218364076035,4542.097753194517,0.0,4450.413118167652,4103.631583994778,10.436228209935656,10.161047804484456,401-600,401-600,364.1206108815177,7.421614446426923,416.0916342740502,23.103366700391348,4.91441655081163,0.0,0.0,0.9508558344918837,True,-17.921259749251078,False,True,False,0.8067331805177125,True
