household_id,substation,category,archetype,income_band,w_h,A_energy_kwh,B_energy_kwh,energy_reduction_kwh,energy_reduction_pct,A_bill_tk,B_bill_tk,bill_reduction_tk,bill_reduction_pct,incentive_tk,discomfort_tk,net_benefit_tk,gained,A_qoe,B_qoe,qoe_difference,A_peak_kw,B_peak_kw,peak_reduction_pct,n_dr_events,A_slab,B_slab
DHNC0001,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,741.8844889317587,741.8844889317587,0.0,0.0,9581.274447114316,9581.274447114316,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,4.522244194721653,4.522244194721653,0.0,0,601-above,601-above
DHNC0002,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,206.54885510342336,175.5665268379098,30.98232826551356,15.000000000000027,1827.18877051321,1546.545712028345,280.64305848486515,15.359281044948617,30.516339631014393,524.889561203185,-213.73016308730553,False,1.0,0.8500000000000001,0.1499999999999999,0.9056059902486513,0.9026743952136419,0.32371639173946587,30,201-300,76-200
DHNC0003,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,176.71666423334503,167.9576133715639,8.759050861781134,4.956550588921976,1499.4542282826044,1421.279699341208,78.17452894139637,5.2135321950396145,26.277152585343252,133.9027079458352,-29.45102641909557,False,1.0,0.9504344941107805,0.049565505889219486,0.9728447772494944,0.9728447772494944,0.0,10,76-200,76-200
DHNC0004,Dhanmondi,Residential,Res-B,middle,597.3547737671756,125.77903603831048,125.77903603831048,0.0,0.0,1040.619936641921,1040.619936641921,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.7631324280611624,0.7631324280611624,0.0,0,76-200,76-200
DHNC0005,Dhanmondi,Residential,Res-B,middle,597.3547737671756,196.82248550892285,196.82248550892285,0.0,0.0,1730.9410931671366,1730.9410931671366,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.9916189913789257,0.9916189913789257,0.0,0,76-200,76-200
DHNC0006,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,114.42690706294435,114.42690706294435,0.0,0.0,860.6101455367783,860.6101455367783,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.2689426569645353,0.2689426569645353,0.0,0,76-200,76-200
DHNC0007,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,149.25384920148198,149.25384920148198,0.0,0.0,1234.0405541232267,1234.0405541232267,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,1.2511246302574692,1.2511246302574692,0.0,0,76-200,76-200
DHNC0008,Dhanmondi,Residential,Res-B,middle,597.3547737671756,188.3564219134829,188.3564219134829,0.0,0.0,1595.4187055778348,1595.4187055778348,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.922622061291981,0.922622061291981,0.0,0,76-200,76-200
DHNC0009,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,398.077109371363,354.0787659192838,43.99834345207921,11.052718786458405,3724.025751760138,3279.598484550686,444.4272672094521,11.934054618161442,58.61748265687057,821.5250779485822,-318.4803280822595,False,1.0,0.8894728121354163,0.11052718786458371,2.560466022218713,2.4069607680131333,5.9952076252339115,22,301-400,301-400
DHNC0010,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,196.77862878463787,196.77862878463787,0.0,0.0,1738.4788519028932,1738.4788519028932,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.9831174001378662,0.9831174001378662,0.0,0,76-200,76-200
DHNC0011,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,495.66845075302064,495.66845075302064,0.0,0.0,5321.328438092982,5321.328438092982,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,2.681841055030918,2.681841055030918,0.0,0,401-600,401-600
DHNC0012,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,157.25263141484473,157.25263141484473,0.0,0.0,1350.9276553774891,1350.9276553774891,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.9674737262491748,0.9674737262491748,0.0,0,76-200,76-200
DHNC0013,Dhanmondi,Residential,Res-B,middle,597.3547737671756,185.82639660692382,185.82639660692382,0.0,0.0,1551.8819097167952,1551.8819097167952,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,1.0613030785431088,1.0613030785431088,0.0,0,76-200,76-200
DHNC0014,Dhanmondi,Residential,Res-B,middle,597.3547737671756,139.96076086458442,139.96076086458442,0.0,0.0,1190.551600716416,1190.551600716416,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.8231676560421688,0.8231676560421688,0.0,0,76-200,76-200
DHNC0015,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,578.3988813460238,543.9449031255871,34.45397822043674,5.956785071965733,6582.442029454009,6039.430105710815,543.0119237431936,8.249399255070001,85.09738570819302,626.141998741353,1.9673107100336438,True,1.0,0.9404321492803425,0.059567850719657534,3.202978446236219,3.125401791823939,2.4220161238811766,12,401-600,401-600
DHNC0016,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,205.91342095875007,205.91342095875007,0.0,0.0,1776.774647260857,1776.774647260857,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.8430372817850791,0.8430372817850791,0.0,0,201-300,201-300
