household_id,substation,category,archetype,income_band,w_h,A_energy_kwh,B_energy_kwh,energy_reduction_kwh,energy_reduction_pct,A_bill_tk,B_bill_tk,bill_reduction_tk,bill_reduction_pct,incentive_tk,discomfort_tk,net_benefit_tk,gained,A_qoe,B_qoe,qoe_difference,A_peak_kw,B_peak_kw,peak_reduction_pct,n_dr_events,A_slab,B_slab
DHNC0001,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,741.8844889317587,630.6018155919948,111.28267333976396,15.000000000000021,9581.274447114316,7553.982345547164,2027.2921015671518,21.1588981482284,0.0,2275.2264034796426,-247.9343019124908,False,1.0,0.8500000000000001,0.1499999999999999,4.522244194721653,4.421243345264988,2.2334231657492714,30,601-above,601-above
DHNC0002,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,206.54885510342336,175.5665268379098,30.98232826551356,15.000000000000027,1827.18877051321,1546.545712028345,280.64305848486515,15.359281044948617,0.0,524.8895612031852,-244.24650271832002,False,1.0,0.8500000000000001,0.1499999999999999,0.9056059902486513,0.9045794922039998,0.11334929933156107,30,201-300,76-200
DHNC0003,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,176.71666423334503,150.20916459834322,26.507499635001807,15.000000000000028,1499.4542282826044,1262.8747940402134,236.57943424239102,15.777702965522101,0.0,405.2295206421743,-168.65008639978328,False,1.0,0.85,0.15000000000000002,0.9728447772494944,0.9668433080169715,0.6168989517002611,30,76-200,76-200
DHNC0004,Dhanmondi,Residential,Res-B,middle,597.3547737671756,125.77903603831048,122.10754389415983,3.6714921441506476,2.9190016554367326,1040.619936641921,1007.8518692553764,32.768067386544544,3.1488986740237794,0.0,74.51814921537304,-41.7500818288285,False,1.0,0.9708099834456329,0.02919001655436715,0.7631324280611624,0.7631324280611624,0.0,12,76-200,76-200
DHNC0005,Dhanmondi,Residential,Res-B,middle,597.3547737671756,196.82248550892285,191.9681486433955,4.854336865527358,2.4663527914381964,1730.9410931671366,1687.6161366423048,43.324956524831805,2.5029711696057366,0.0,92.215962201494,-48.89100567666219,False,1.0,0.9753364720856181,0.024663527914381866,0.9916189913789257,0.9916189913789257,0.0,5,76-200,76-200
DHNC0006,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,114.42690706294435,114.42690706294435,0.0,0.0,860.6101455367783,860.6101455367783,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.2689426569645353,0.2689426569645353,0.0,0,76-200,76-200
DHNC0007,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,149.25384920148198,149.25384920148198,0.0,0.0,1234.0405541232267,1234.0405541232267,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,1.2511246302574692,1.2511246302574692,0.0,0,76-200,76-200
DHNC0008,Dhanmondi,Residential,Res-B,middle,597.3547737671756,188.3564219134829,168.61978370731657,19.736638206166333,10.478346321120867,1595.4187055778348,1419.2692095878006,176.1494959900342,11.040957171568056,0.0,355.7633828124348,-179.61388682240062,False,1.0,0.8952165367887911,0.1047834632112089,0.922622061291981,0.922622061291981,0.0,21,76-200,76-200
DHNC0009,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,398.077109371363,338.3655429656584,59.711566405704616,15.00000000000004,3724.025751760138,3120.8792194961156,603.1465322640224,16.196089191352904,0.0,1114.9180945711319,-511.77156230710943,False,1.0,0.8500000000000001,0.1499999999999999,2.560466022218713,2.2501332784056722,12.120166450954464,30,301-400,301-400
DHNC0010,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,196.77862878463787,178.6770755167557,18.101553267882167,9.198942679742528,1738.4788519028932,1576.9224889870447,161.55636291584847,9.292972574214126,0.0,420.82964364547223,-259.27328072962376,False,1.0,0.9080105732025745,0.0919894267974255,0.9831174001378662,0.9822815322352695,0.08502218580196962,25,76-200,76-200
DHNC0011,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,495.66845075302064,436.5728160126629,59.09563474035775,11.922411977316598,5321.328438092982,4389.951686767574,931.3767513254079,17.502711252665843,0.0,1216.179064547601,-284.8023132221931,False,1.0,0.880775880226834,0.11922411977316605,2.681841055030918,2.681841055030918,0.0,24,401-600,401-600
DHNC0012,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,157.25263141484473,139.06315792833087,18.18947348651386,11.567039179477137,1350.9276553774891,1188.586604510353,162.34105086713612,12.017005516240854,0.0,374.5970993887771,-212.256048521641,False,1.0,0.8843296082052288,0.11567039179477123,0.9674737262491748,0.8776915511837206,9.280063388753018,30,76-200,76-200
DHNC0013,Dhanmondi,Residential,Res-B,middle,597.3547737671756,185.82639660692382,174.77253590698479,11.053860699939037,5.948487890727993,1551.8819097167952,1453.226202969839,98.65570674695618,6.357165846785338,0.0,238.5981281905118,-139.94242144355562,False,1.0,0.9405151210927203,0.059484878907279715,1.0613030785431088,1.0613030785431088,0.0,12,76-200,76-200
DHNC0014,Dhanmondi,Residential,Res-B,middle,597.3547737671756,139.96076086458442,133.46576754102898,6.494993323555434,4.640581605468339,1190.551600716416,1132.5837853036837,57.96781541273231,4.868988070559067,0.0,109.8743409270134,-51.9065255142811,False,1.0,0.9535941839453168,0.04640581605468319,0.8231676560421688,0.8231676560421688,0.0,24,76-200,76-200
DHNC0015,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,578.3988813460238,491.63904914412024,86.75983220190358,15.0,6582.442029454009,5215.063694035906,1367.3783354181023,20.773116258367136,0.0,1576.711240652647,-209.33290523454457,False,1.0,0.85,0.15000000000000002,3.202978446236219,3.202978446236219,0.0,30,401-600,401-600
DHNC0016,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,205.91342095875007,196.05624749218063,9.857173466569435,4.7870475953794625,1776.774647260857,1685.073918867712,91.7007283931448,5.1610781668071475,0.0,274.52231721203003,-182.82158881888523,False,1.0,0.9521295240462053,0.04787047595379468,0.8430372817850791,0.8430372817850791,0.0,13,201-300,76-200
DHNC0017,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,445.16895505283173,378.39361179490703,66.7753432579247,14.999999999999988,4513.519726110155,3583.388282740356,930.131443369799,20.60767427223378,0.0,1481.8780781883956,-551.7466348185967,False,1.0,0.85,0.15000000000000002,3.889339225488028,3.83692173301608,1.3477223104747456,30,401-600,301-400
DHNC0018,Dhanmondi,Residential,Res-B,middle,597.3547737671756,166.20105462023224,166.20105462023224,0.0,0.0,1407.5957324855729,1407.5957324855729,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.8779939686360916,0.8779939686360916,0.0,0,76-200,76-200
