household_id,substation,category,archetype,income_band,w_h,A_energy_kwh,B_energy_kwh,energy_reduction_kwh,energy_reduction_pct,A_bill_tk,B_bill_tk,bill_reduction_tk,bill_reduction_pct,incentive_tk,discomfort_tk,net_benefit_tk,gained,A_qoe,B_qoe,qoe_difference,A_peak_kw,B_peak_kw,peak_reduction_pct,n_dr_events,A_slab,B_slab
DHNC0001,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,741.8844889317587,630.6018155919948,111.28267333976396,15.000000000000021,9581.274447114316,7553.982345547164,2027.2921015671518,21.1588981482284,108.76839617145431,2275.226403479643,-139.16590574103702,False,1.0,0.8500000000000001,0.1499999999999999,4.522244194721653,4.522244194721653,0.0,30,601-above,601-above
DHNC0002,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,206.54885510342336,175.5665268379098,30.98232826551356,15.000000000000027,1827.18877051321,1546.545712028345,280.64305848486515,15.359281044948617,30.516339631014397,524.8895612031853,-213.73016308730575,False,1.0,0.85,0.15000000000000002,0.9056059902486513,0.8866376581247521,2.094545787919427,30,201-300,76-200
DHNC0003,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,176.71666423334503,150.20916459834325,26.50749963500178,15.000000000000012,1499.4542282826044,1262.8747940402136,236.5794342423908,15.777702965522085,26.277152585343252,405.22952064217435,-142.37293381444033,False,1.0,0.8500000000000001,0.1499999999999999,0.9728447772494944,0.9668433080169715,0.6168989517002611,30,76-200,76-200
DHNC0004,Dhanmondi,Residential,Res-B,middle,597.3547737671756,125.77903603831048,122.10754389415983,3.6714921441506476,2.9190016554367326,1040.619936641921,1007.8518692553764,32.768067386544544,3.1488986740237794,9.181598427740802,74.51814921537304,-32.5684834010877,False,1.0,0.9708099834456329,0.02919001655436715,0.7631324280611624,0.7631324280611624,0.0,12,76-200,76-200
DHNC0005,Dhanmondi,Residential,Res-B,middle,597.3547737671756,196.82248550892285,187.11799653938596,9.704488969536897,4.9305794225919115,1730.9410931671366,1644.3285291140196,86.61256405311701,5.003784611447426,29.113466908610626,184.35242810500998,-68.62639714328233,False,1.0,0.950694205774081,0.049305794225918964,0.9916189913789257,0.9916189913789257,0.0,10,76-200,76-200
DHNC0006,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,114.42690706294435,114.42690706294435,0.0,0.0,860.6101455367783,860.6101455367783,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.2689426569645353,0.2689426569645353,0.0,0,76-200,76-200
DHNC0007,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,149.25384920148198,149.23404213449462,0.01980706698736867,0.013270724402310424,1234.0405541232267,1233.8637760503643,0.17677807286236202,0.014325142903262289,0.059421200962112036,0.4165526521396228,-0.18035337831514872,False,1.0,0.9998672927559769,0.0001327072440231447,1.2511246302574692,1.2511246302574692,0.0,1,76-200,76-200
DHNC0008,Dhanmondi,Residential,Res-B,middle,597.3547737671756,188.3564219134829,168.61978370731657,19.736638206166333,10.478346321120867,1595.4187055778348,1419.2692095878006,176.1494959900342,11.040957171568056,28.077582877965593,355.7633828124348,-151.53630394443502,False,1.0,0.8952165367887911,0.1047834632112089,0.922622061291981,0.922622061291981,0.0,21,76-200,76-200
DHNC0009,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,398.077109371363,338.3655429656584,59.711566405704616,15.00000000000004,3724.025751760138,3120.8792194961156,603.1465322640224,16.196089191352904,58.617482656870564,1114.9180945711319,-453.1540796502388,False,1.0,0.8500000000000001,0.1499999999999999,2.560466022218713,2.4541614152170417,4.151767923464007,30,301-400,301-400
DHNC0010,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,196.77862878463787,178.6770755167557,18.101553267882167,9.198942679742528,1738.4788519028932,1576.9224889870447,161.55636291584847,9.292972574214126,21.52423144650603,420.82964364547223,-237.74904928311773,False,1.0,0.9080105732025745,0.0919894267974255,0.9831174001378662,0.9822815322352695,0.08502218580196962,25,76-200,76-200
